learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.339433148,7.151376552548674E-10,10000.0,72.45,38.83890082116159,40.81632653061226,23.873998342083457,10000.0,8144.0
20000.0,0.652938401,1.3756489013176825E-9,20000.0,72.495,38.995471780587216,40.843101408753625,23.40573656363129,20000.0,8144.0
30000.0,0.866514587,1.8256237307480641E-9,30000.0,69.68333333333334,36.843035631888505,36.05427828165646,20.906165753543775,30000.0,8144.0
40000.0,1.064073647,2.2418527401280073E-9,40000.0,70.055,38.13481795997161,37.634072685619074,23.997461928934015,40000.0,8144.0
50000.0,1.259864826,2.654357074176272E-9,50000.0,70.53,39.2365855997687,39.02842719410767,26.57098719290379,50000.0,8144.0
60000.0,1.446572982,3.0477247628817955E-9,60000.0,65.77666666666667,31.30133770922469,27.7175443537032,11.02734087265482,60000.0,8144.0
70000.0,1.639268573,3.4537071306548184E-9,70000.0,65.73571428571428,31.20637386199273,26.35182853809071,7.8456986975064495,70000.0,8144.0
80000.0,1.826626433,3.8484436538360186E-9,80000.0,66.5,32.1777089792057,27.037107620266266,7.516046656083939,80000.0,8144.0
90000.0,2.021403409,4.258811205546889E-9,90000.0,65.21000000000001,30.773299984805647,24.834357595544454,5.96167707832774,90000.0,8144.0
100000.0,2.22313758,4.683836583544811E-9,100000.0,65.137,30.91221110678401,25.24925491541413,7.173096892723052,100000.0,8144.0
