learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,13.457040687,1.7908044080231336E-8,10000.0,80.66,55.90307559859067,57.16500553709856,46.58933996133664,10000.0,5144.0
20000.0,26.477112889,3.523458951800026E-8,20000.0,85.105,67.14849897422593,68.2544757033248,61.06900156821746,20000.0,5144.0
30000.0,39.542263807,5.262112374914396E-8,30000.0,87.78,73.34527061922907,74.36005035669325,68.5537828100875,30000.0,5144.0
40000.0,52.606981436,7.00070813781437E-8,40000.0,89.3575,76.94214368408106,77.66995383969785,72.87671232876713,40000.0,5144.0
50000.0,65.523994729,8.719648050505875E-8,50000.0,90.294,79.04863741956494,79.6468713303137,75.3979519415999,50000.0,5144.0
60000.0,78.507984587,1.0447500912977796E-7,60000.0,91.00666666666667,80.63380720625366,81.13286713286713,77.2685146179122,60000.0,5144.0
70000.0,91.540016841,1.2181747048423314E-7,70000.0,91.50285714285714,81.76902074920397,82.21929929451154,78.65728946140874,70000.0,5144.0
80000.0,104.329099754,1.388366254291228E-7,80000.0,91.915,82.6870964291128,83.06628966383916,79.748896333636,80000.0,5144.0
90000.0,117.169712188,1.559243536179347E-7,90000.0,92.27444444444444,83.48731090683167,83.8512634708287,80.69844266163285,90000.0,5144.0
100000.0,130.212060937,1.7328054371495006E-7,100000.0,92.559,84.11625821428636,84.47592422598682,81.44157625639107,100000.0,5144.0
