learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,8.55777141,1.8030014500394466E-8,10000.0,63.800000000000004,-0.0199984737279744,22.234156820622992,-0.027631942525556504,10000.0,8144.0
20000.0,17.221833601,3.628396864942792E-8,20000.0,64.08500000000001,-0.009999607645589142,22.755134960748467,-0.013923698134222917,20000.0,8144.0
30000.0,25.94783991,5.4668430297697586E-8,30000.0,63.260000000000005,14.608242652043945,22.50580046403713,4.148186798852081,30000.0,8144.0
40000.0,34.960561822,7.365696118688419E-8,40000.0,65.4,24.15620489924612,27.939185671144433,12.182741116751279,40000.0,8144.0
50000.0,43.650476155,9.196538214424833E-8,50000.0,67.718,31.35746670929419,33.21057640584268,19.564459062141832,50000.0,8144.0
60000.0,52.351558937,1.1029733344470876E-7,60000.0,67.10000000000001,28.07553310759181,30.512531681216572,14.467697907188374,60000.0,8144.0
70000.0,61.04854963,1.2862066329216794E-7,70000.0,67.58857142857143,26.526931891852833,30.334387570239823,12.828985284512257,70000.0,8144.0
80000.0,70.002255462,1.4748485564423106E-7,80000.0,67.9475,25.010589892663415,30.189757970107,11.512181655048677,80000.0,8144.0
90000.0,78.698318682,1.658062314372013E-7,90000.0,65.82555555555555,22.434292747826383,26.164298060303437,7.625540605478156,90000.0,8144.0
100000.0,87.469281545,1.8428541018898704E-7,100000.0,65.839,23.923266014342918,26.754432985269837,9.042255771227731,100000.0,8144.0
