learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.084003929,1.117887727647192E-10,10000.0,80.71000000000001,55.99217322283666,57.27574750830566,46.72742336371169,10000.0,5144.0
20000.0,0.167010446,2.222502330483662E-10,20000.0,84.675,66.17909986220494,67.33802216538788,59.945112388917934,20000.0,5144.0
30000.0,0.262609685,3.4946953971973725E-10,30000.0,87.16666666666667,71.95838501973519,73.073157084907,66.97546749013553,30000.0,5144.0
40000.0,0.346812075,4.615224157460034E-10,40000.0,88.7325,75.54011995598417,76.35858161980697,71.28384835935012,40000.0,5144.0
50000.0,0.436578093,5.809791257791222E-10,50000.0,90.114,78.66591863038592,79.26941788290556,74.94170130791849,50000.0,5144.0
60000.0,0.530185323,7.055475535678367E-10,60000.0,91.03999999999999,80.73156963763896,81.2027972027972,77.35276771421348,60000.0,5144.0
70000.0,0.619870524,8.248967158546051E-10,70000.0,91.64142857142858,82.10087077111363,82.50926700944638,79.00534644228354,70000.0,5144.0
80000.0,0.709188178,9.437567625898455E-10,80000.0,92.12875,83.18209805407314,83.5139805215206,80.28429193149442,80000.0,5144.0
90000.0,0.793947073,1.0565502112503682E-9,90000.0,92.52,84.04987171585186,84.36454849498328,81.31193959414819,90000.0,5144.0
100000.0,0.882526748,1.174428187650111E-9,100000.0,92.879,84.84023769212939,85.14353667695903,82.23968075819927,100000.0,5144.0
