learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.148252841,1.8992463039648201E-10,10000.0,77.91,55.78807191401343,54.96432212028542,54.88153594771242,10000.0,4952.0
20000.0,0.255967752,3.279166885713736E-10,20000.0,76.63,53.24448839146876,52.96367112810707,52.70188221007892,20000.0,4952.0
30000.0,0.355467768,4.5538476025064787E-10,30000.0,75.90333333333334,51.792943724646946,51.75198558366147,51.20485993925076,30000.0,4952.0
40000.0,0.44171388,5.658734418451786E-10,40000.0,77.69500000000001,55.384571194622964,55.479041916167674,55.061952251435486,40000.0,4952.0
50000.0,0.536757283,6.87632209263328E-10,50000.0,77.876,55.74479907693909,55.78560294176425,55.348349075643824,50000.0,4952.0
60000.0,0.621934657,7.967517456308834E-10,60000.0,77.58500000000001,55.16582474270555,55.074158204168896,54.89183296998156,60000.0,4952.0
70000.0,0.70986109,9.093930628357661E-10,70000.0,77.60857142857142,55.214228564735976,55.12225848937754,55.017936576266315,70000.0,4952.0
80000.0,0.798506428,1.022955359129442E-9,80000.0,77.55250000000001,55.1024340199213,54.92809276409909,54.8918640576725,80000.0,4952.0
90000.0,0.880221205,1.1276390111591253E-9,90000.0,77.43333333333334,54.86422893382225,54.65606929963609,54.66720235703764,90000.0,4952.0
100000.0,0.972214943,1.245490895619409E-9,100000.0,77.229,54.456491926925885,54.23006572732207,54.32279547460483,100000.0,4952.0
