learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.234100161,2.6744125798344615E-10,10000.0,87.98,69.24914653590102,71.65762791794388,60.07970773829294,10000.0,4416.0
20000.0,0.322131898,3.6801068256298706E-10,20000.0,88.125,69.40577276870052,71.72282414573164,60.14431951669743,20000.0,4416.0
30000.0,0.448567352,5.124533720811208E-10,30000.0,88.22,69.6139773090527,71.8742538798249,60.3411513859275,30000.0,4416.0
40000.0,0.555151946,6.342179953058561E-10,40000.0,88.3325,69.84983382523048,72.06058429118775,60.56944913822239,40000.0,4416.0
50000.0,0.674447696,7.705041273434958E-10,50000.0,88.288,69.66613403381689,71.8231246692008,60.31444835998916,50000.0,4416.0
60000.0,0.795487505,9.087827113767466E-10,60000.0,83.17166666666667,61.28360720551142,60.72276033765122,47.06129082996906,60000.0,4416.0
70000.0,0.92218105,1.0535202498237292E-9,70000.0,81.07142857142857,58.598383173614444,56.82492098145916,43.213474478206834,70000.0,4416.0
80000.0,1.023421923,1.1691800867021083E-9,80000.0,79.76625,57.053089898650754,54.595944012790675,41.43844289280418,80000.0,4416.0
90000.0,1.10900417,1.2669511591394741E-9,90000.0,78.85111111111112,55.96683099871249,52.99666625509324,40.2630009729153,90000.0,4416.0
100000.0,1.182571574,1.3509962063034374E-9,100000.0,78.012,54.85152480001966,51.484930056043424,38.986625228925035,100000.0,4416.0
