learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,43.226530637,3.192176838837608E-4,1000.0,76.6,13.0596321753669,-265.6250000000003,8.949416342412459,1000.0,2.8545584E7
2000.0,88.947664606,6.575996584500142E-4,2000.0,67.35,22.374277236762012,-95.5089820359281,19.183168316831686,2000.0,2.8608336E7
3000.0,135.071553022,9.994461044838573E-4,3000.0,69.39999999999999,41.092320355105926,-100.0,33.57452966714905,3000.0,2.8648872E7
4000.0,181.283482914,0.0013421478262857585,4000.0,71.1,45.59207564584112,-116.07476635514016,29.383017715332922,4000.0,2.8665832E7
5000.0,227.560491679,0.0016857750289798177,5000.0,70.19999999999999,44.415122488925164,-152.1150592216583,18.977705274605754,5000.0,2.8702824E7
6000.0,273.979053239,0.0020306738960200123,6000.0,73.71666666666667,49.15035630219585,-140.03044140030434,20.6341217916457,6000.0,2.8721192E7
7000.0,320.330690154,0.002375268510418623,7000.0,75.5142857142857,51.10167940748179,-128.83845126835786,24.791575252303648,7000.0,2.8737288E7
8000.0,367.126002764,0.0027232701347434706,8000.0,78.14999999999999,54.253139649815374,-130.30303030303023,25.26720820863617,8000.0,2.8746256E7
9000.0,414.052346906,0.003072452867543261,9000.0,80.5111111111111,56.820167788085875,-129.28104575163408,25.39344959591664,9000.0,2.876328E7
9324.0,430.286738694,0.0031932745536255554,9324.0,80.94165594165594,57.18679502744284,-127.23785166240407,25.555090071219105,9324.0,2.8768104E7
