learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,2.859227363,3.662915978367544E-9,10000.0,63.480000000000004,26.87885307598961,25.54536187563712,25.408496732026155,10000.0,4952.0
20000.0,5.708807587,7.313473142586235E-9,20000.0,66.79,33.54453936620582,33.15890107678375,32.78688524590165,20000.0,4952.0
30000.0,8.641898843,1.1071015115862505E-8,30000.0,69.63333333333334,39.23755821638877,39.19775745845291,38.50826864664192,30000.0,4952.0
40000.0,11.639348806,1.491100612389131E-8,40000.0,71.655,43.29734396717348,43.423153692614775,42.89311977435277,40000.0,4952.0
50000.0,14.554120601,1.8645079293224133E-8,50000.0,72.756,45.49840477327642,45.55337943163195,45.01493501251312,50000.0,4952.0
60000.0,17.37561043,2.2259650247316392E-8,60000.0,72.51166666666666,45.015261207113596,44.90579903794762,44.68220694281401,60000.0,4952.0
70000.0,20.189259007,2.5864175883707484E-8,70000.0,72.53,45.05446875671684,44.943595029490915,44.815611995982195,70000.0,4952.0
80000.0,23.026966672,2.9499523279501328E-8,80000.0,72.01625,44.02722729484521,43.81196195065634,43.76679812112231,80000.0,4952.0
90000.0,25.902963063,3.318392182389274E-8,90000.0,72.54777777777778,45.090565060719044,44.83936505101471,44.852908352305704,90000.0,4952.0
100000.0,28.716935748,3.678886267048617E-8,100000.0,72.756,45.508696780791894,45.23929167252919,45.350236700633864,100000.0,4952.0
