learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,84.529434512,6.243442524990692E-4,1000.0,86.5,66.8050200645212,-110.9375000000002,47.47081712062256,1000.0,2.8550816E7
2000.0,168.85421644,0.0012485458446040956,2000.0,76.5,49.902790094822294,-40.718562874251454,41.83168316831684,2000.0,2.8613568E7
3000.0,252.776270934,0.0018706463718380425,3000.0,81.73333333333333,63.46666666666667,-19.389978213507593,60.34732272069465,3000.0,2.8654104E7
4000.0,336.794910346,0.002493831504513323,4000.0,83.275,65.47857581838738,-25.04672897196259,59.13255956017104,4000.0,2.8671064E7
5000.0,421.037287819,0.0031194823401683373,5000.0,84.72,67.03059026118159,-29.272419627749645,58.45568243610657,5000.0,2.8708056E7
6000.0,504.909830099,0.00374278503258467,6000.0,85.9,67.83581820013649,-28.767123287671197,57.42325113236034,6000.0,2.8726424E7
7000.0,588.780514486,0.004366423159430409,7000.0,86.1,67.72897455748752,-29.906542056074798,57.3058358929355,7000.0,2.874252E7
8000.0,672.769052339,0.004991132466289012,8000.0,87.3,68.59053989414919,-33.86034255599467,56.56263360410433,8000.0,2.8751488E7
9000.0,756.798087466,0.0056165130671432285,9000.0,88.66666666666667,69.90021231826272,-33.33333333333333,56.614206720544466,9000.0,2.8768512E7
9324.0,784.63217476,0.0058237011784498085,9324.0,88.73873873873875,69.70520080214287,-34.27109974424547,56.01173020527861,9324.0,2.8773336E7
