learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,63.76158956,7.284266550739607E-8,10000.0,80.53,55.356807107838335,56.87707641196014,46.23032311516156,10000.0,4416.0
20000.0,359.178311522,4.1033333366145694E-7,20000.0,84.93,66.6822989399444,67.88150042625747,60.61160480920022,20000.0,4416.0
30000.0,921.142973068,1.052334327527086E-6,30000.0,87.69333333333333,73.11965272571672,74.17820674220171,68.33075999313776,30000.0,4416.0
40000.0,1748.123822533,1.997095739754985E-6,40000.0,89.305,76.8070360990107,77.55979857322703,72.74291175533611,40000.0,4416.0
50000.0,2778.481645068,3.1741995531600714E-6,50000.0,90.41,79.29903491176879,79.8901191075323,75.69198012775018,50000.0,4416.0
60000.0,4244.746602819,4.8492934239326416E-6,60000.0,91.16,80.9691267903893,81.45454545454544,77.65607886089812,60000.0,4416.0
70000.0,5997.383818608,6.851545365054607E-6,70000.0,91.70142857142856,82.20451019592858,82.63482004065526,79.15605152678602,70000.0,4416.0
80000.0,7869.068637946,8.989799950160483E-6,80000.0,92.105,83.10306959607068,83.46423709288932,80.22480353173236,80000.0,4416.0
90000.0,9971.14680363,1.1391261045311391E-5,90000.0,92.44555555555556,83.86084482863394,84.20893719806764,81.12594731143993,90000.0,4416.0
100000.0,12212.265104131,1.3951564699163685E-5,100000.0,92.768,84.5731585924711,84.91195860802803,81.96283825913454,100000.0,4416.0
