learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,51.441886979,3.7988550460870893E-4,1000.0,88.9,66.15399626779201,-73.43750000000013,56.80933852140079,1000.0,2.8545536E7
2000.0,107.826105456,7.971842352900843E-4,2000.0,72.89999999999999,37.2173622952035,-62.27544910179639,32.92079207920792,2000.0,2.8608288E7
3000.0,166.043008814,0.001228657141234794,3000.0,70.06666666666666,42.31164559564189,-95.64270152505443,35.02170767004341,3000.0,2.8648824E7
4000.0,223.502033803,0.0016547651585878443,4000.0,71.325,45.90013079244754,-114.39252336448588,29.932803909590728,4000.0,2.8665784E7
5000.0,281.842352328,0.0020879670328815742,5000.0,72.96000000000001,48.568961794498925,-128.76480541455163,26.481783578031546,5000.0,2.8702776E7
6000.0,340.425326581,0.0025232408608485786,6000.0,75.58333333333334,51.8922491462653,-122.98325722983247,26.27075993960747,6000.0,2.87206E7
7000.0,399.285849994,0.002960830271707894,7000.0,77.07142857142857,53.55024164623732,-114.28571428571435,29.574374725756915,7000.0,2.873724E7
8000.0,458.478760003,0.0034010278432398244,8000.0,79.55,56.56115421473965,-115.54677206851112,30.05557930739633,8000.0,2.8746192E7
9000.0,517.777923281,0.003842276990393334,9000.0,81.5111111111111,58.518850407108566,-117.51633986928111,29.221607826456836,9000.0,2.8763232E7
9324.0,538.405547327,0.003995794300513467,9324.0,81.76748176748177,58.56946457564804,-117.39130434782612,28.780896522831988,9324.0,2.8768056E7
