learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,45.354645917,3.34994887104194E-4,1000.0,90.2,71.67122432343368,-53.125000000000085,61.86770428015566,1000.0,2.8550832E7
2000.0,92.92344401,6.871160005966532E-4,2000.0,70.65,32.61919629738466,-75.74850299401193,27.351485148514858,2000.0,2.8613584E7
3000.0,140.972827039,0.0010432986521984517,3000.0,65.8,34.21513829781778,-123.52941176470583,25.759768451519545,3000.0,2.8654136E7
4000.0,189.115833456,0.0014003865500364476,4000.0,67.125,38.502635033482164,-145.79439252336442,19.670128283445333,4000.0,2.8671096E7
5000.0,236.546507788,0.001752585332908348,5000.0,68.88,41.52617290004177,-163.28257191201362,15.388798259923867,5000.0,2.870324E7
6000.0,284.365113825,0.0021079517219699615,6000.0,70.91666666666666,43.91646284827234,-165.60121765601212,12.179164569703067,6000.0,2.872644E7
7000.0,332.967162141,0.0024692819285532432,7000.0,72.25714285714285,45.25098400421753,-159.27903871829113,14.787187362878457,7000.0,2.8737704E7
8000.0,381.318520693,0.0028289210086945163,8000.0,74.45,47.555227533402935,-169.30171277997349,12.612227447627225,8000.0,2.8751504E7
9000.0,429.566876381,0.003188006441559911,9000.0,76.23333333333333,49.003000851936775,-179.60784313725503,9.017439387494681,9000.0,2.8768528E7
9324.0,446.251759892,0.0033121826309108777,9324.0,76.37280137280136,48.83608204929345,-181.71355498721232,7.708420611646394,9324.0,2.876852E7
