learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.347271158,6.123446478943031E-10,10000.0,71.28,36.32348944439894,38.30290010741139,20.64106106659298,10000.0,6816.0
20000.0,0.699218622,1.2329350452125073E-9,20000.0,71.58,37.062429419456485,38.87514786536187,20.85769980506822,20000.0,6816.0
30000.0,0.994937037,1.7543765313178302E-9,30000.0,69.05333333333333,35.56714356835515,34.72544470224284,19.26254456909296,30000.0,6816.0
40000.0,1.204601318,2.1240784123043222E-9,40000.0,69.5875,37.12009735762781,36.660418619181506,22.810913705583765,40000.0,6816.0
50000.0,1.39194161,2.4458864606420204E-9,50000.0,70.116,38.335302330902955,38.17188728431332,25.53944286639758,50000.0,6640.0
60000.0,1.58704854,2.7899193052947525E-9,60000.0,65.53999999999999,30.75036411573094,27.21768515911011,10.412062914337717,60000.0,6816.0
70000.0,1.768007796,3.109005498737097E-9,70000.0,65.45,30.589862473423814,25.737709951791693,7.077265916163988,70000.0,6816.0
80000.0,1.958616732,3.4451070122420793E-9,80000.0,66.2425,31.641134413526608,26.476273447496666,6.805162537097124,80000.0,6816.0
90000.0,2.149198464,3.781160556823016E-9,90000.0,64.99555555555555,30.335772691188883,24.37103898598039,5.382027871215758,90000.0,6816.0
100000.0,2.343387273,4.123574474975467E-9,100000.0,64.95400000000001,30.542367806955482,24.856879435665427,6.685837526959014,100000.0,6816.0
