learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.149460362,1.9765804897993802E-10,10000.0,87.99,69.29035612856586,71.68120726243811,60.11291929591499,10000.0,5112.0
20000.0,0.292356565,3.866351417265832E-10,20000.0,88.13,69.42979393144324,71.73473032503868,60.16110085584829,20000.0,5112.0
30000.0,0.451720381,5.973902912996709E-10,30000.0,88.22333333333333,69.62999552189282,71.88221249502585,60.352373470990905,30000.0,5112.0
40000.0,0.573644059,7.586316799558698E-10,40000.0,88.335,69.86344666528896,72.06657088122604,60.57789793849273,40000.0,5112.0
50000.0,0.708875843,9.374727467633782E-10,50000.0,88.29,69.677106542129,71.82793629408651,60.32122526429929,50000.0,5112.0
60000.0,0.85548154,1.1313555639237165E-9,60000.0,83.15333333333334,61.25495645784246,60.679970436068,47.00361767944214,60000.0,5112.0
70000.0,0.985777445,1.3036690390668809E-9,70000.0,81.03714285714285,58.53721134366956,56.74671706474632,43.11061586594093,70000.0,5112.0
80000.0,1.131900922,1.496914130859077E-9,80000.0,79.7425,57.01219437530494,54.542649575046994,41.36970442458668,80000.0,5112.0
90000.0,1.276806391,1.6885484337992968E-9,90000.0,78.85333333333332,55.9732418170202,53.001605136436595,40.269277845777225,90000.0,5112.0
100000.0,1.413791267,1.8697079263068737E-9,100000.0,78.03,54.88124109309081,51.524645867349186,39.036572506798386,100000.0,5112.0
