learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.693300543,7.92042041271925E-10,10000.0,80.49,55.41733533046608,56.78848283499446,46.11985639326151,10000.0,4416.0
20000.0,2.011492646,2.297974172135194E-9,20000.0,84.91499999999999,66.6949518554941,67.84953111679454,60.572399372713015,20000.0,4416.0
30000.0,4.297794607,4.9098966499666364E-9,30000.0,87.67333333333333,73.09866014741527,74.1362428311652,68.27929318922628,30000.0,4416.0
40000.0,7.889135009,9.012724221100409E-9,40000.0,89.29,76.78859261188326,77.52832563994964,72.70468302007009,40000.0,4416.0
50000.0,12.814798308,1.4639912102818488E-8,50000.0,90.398,79.28294317978869,79.86495554437175,75.66156341883809,50000.0,4416.0
60000.0,19.99386209,2.284143507828315E-8,60000.0,91.14833333333333,80.95128646532365,81.43006993006992,77.62659027719268,60000.0,4416.0
70000.0,28.155769611,3.216578071579337E-8,70000.0,91.69142857142857,82.18873580110031,82.61389453545378,79.13093401270228,70000.0,4416.0
80000.0,37.485883378,4.2824711287717027E-8,80000.0,92.09375,83.08346118904628,83.44067441616923,80.19662481605559,80000.0,4416.0
90000.0,47.799954159,5.460773635193706E-8,90000.0,92.43555555555557,83.84322995101402,84.1880341880342,81.10096327346419,90000.0,4416.0
100000.0,59.592994333,6.808036911780636E-8,100000.0,92.759,84.55715798270084,84.89318200784444,81.9403915700212,100000.0,4416.0
