learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,28.748401832,3.682917342833346E-8,10000.0,63.480000000000004,26.87885307598961,25.54536187563712,25.408496732026155,10000.0,4952.0
20000.0,57.517870555,7.36853353545587E-8,20000.0,66.79,33.54453936620582,33.15890107678375,32.78688524590165,20000.0,4952.0
30000.0,87.76042489,1.124286465489823E-7,30000.0,69.65666666666667,39.28370378077835,39.24447707401721,38.555518056024304,30000.0,4952.0
40000.0,118.104941172,1.5130257976027827E-7,40000.0,71.6725,43.33212732604337,43.45808383233532,42.92837715321848,40000.0,4952.0
50000.0,147.388554017,1.8881740449311627E-7,50000.0,72.77,45.52619694841332,45.58135816779247,45.043190441591996,50000.0,4952.0
60000.0,176.076893003,2.2556963225383107E-7,60000.0,72.52333333333333,45.038475017778225,44.929182255478345,44.705685057856776,60000.0,4952.0
70000.0,204.798178971,2.623640679300018E-7,70000.0,72.54,45.07439530162214,44.963637404798725,44.83570096140049,70000.0,4952.0
80000.0,233.587080937,2.992451255106326E-7,80000.0,72.0975,44.18963170531819,43.97510227643502,43.93006957875964,80000.0,4952.0
90000.0,262.373423908,3.3612290479874447E-7,90000.0,72.61999999999999,45.23493251393319,44.98448348998682,44.99799116110887,90000.0,4952.0
100000.0,291.054375961,3.7286566926344195E-7,100000.0,72.821,45.63865068854622,45.369942312717335,45.48062264302335,100000.0,4952.0
