learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,11.292976021,1.4934712974186987E-8,10000.0,72.92,30.295411033906955,36.14713510964395,10.063101959481896,10000.0,5112.0
20000.0,22.56278063,2.9838782264478504E-8,20000.0,73.11,30.224176435422528,35.96856768662936,9.749958046652129,20000.0,5112.0
30000.0,33.842077251,4.475540453234687E-8,30000.0,73.37666666666667,30.947823528769618,36.43454038997214,10.369206598586032,30000.0,5112.0
40000.0,45.14147401,5.969860879164188E-8,40000.0,73.5125,31.051410736292993,36.572078544061306,10.484961135518782,40000.0,5112.0
50000.0,56.461398029,7.466895990183576E-8,50000.0,73.508,30.95239711675725,36.2652167637011,10.233125508267824,50000.0,5112.0
60000.0,67.773012221,8.962832144817336E-8,60000.0,69.865,31.02199026275116,29.665071770334926,5.2010695747915765,60000.0,5112.0
70000.0,79.091269241,1.0459646798877044E-7,70000.0,68.95857142857142,32.60497977716052,29.196128906122716,6.874383919770268,70000.0,5112.0
80000.0,91.321091302,1.2077013929266483E-7,80000.0,69.085,34.68744574101687,30.627471880171658,10.524221265511366,80000.0,5112.0
90000.0,103.256535948,1.3655450292505325E-7,90000.0,69.63777777777777,36.83960850110917,32.520064205457466,14.239086087311293,90000.0,5112.0
100000.0,114.846711118,1.5188225525204094E-7,100000.0,70.158,38.5471371579448,34.15559772296014,17.1929629835174,100000.0,5112.0
