learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.119241994,1.586820560652349E-10,10000.0,80.67,55.91756013615613,57.18715393133997,46.61695664181164,10000.0,5144.0
20000.0,0.216857561,2.8858460428607136E-10,20000.0,84.665,66.16229099229375,67.31670929241261,59.91897543125981,20000.0,5144.0
30000.0,0.303367662,4.037084816768766E-10,30000.0,87.15666666666667,71.93881125608932,73.05217512938874,66.9497340881798,30000.0,5144.0
40000.0,0.386990302,5.149898516345356E-10,40000.0,88.72,75.51384264965729,76.33235417540915,71.25199107996177,40000.0,5144.0
50000.0,0.47206306,6.282009755157763E-10,50000.0,90.106,78.64943214878271,79.25264217413185,74.92142350197707,50000.0,5144.0
60000.0,0.551787064,7.342942103577986E-10,60000.0,91.03333333333333,80.71781003370904,81.18881118881119,77.33591709495323,60000.0,5144.0
70000.0,0.643158068,8.55886765908864E-10,70000.0,91.63428571428571,82.0859099503251,82.49432022001673,78.98740536079514,70000.0,5144.0
80000.0,0.741524789,9.867889171818066E-10,80000.0,92.1225,83.16901592153205,83.50089014556498,80.26863708945176,80000.0,5144.0
90000.0,0.826032543,1.099248158329477E-9,90000.0,92.51444444444445,84.03825154449851,84.35293571163136,81.29805957305055,90000.0,5144.0
100000.0,0.919643041,1.2238209350303645E-9,100000.0,92.874,84.82978521928591,85.13310523241259,82.22721037535852,100000.0,5144.0
