learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,1.005339011,2.1181071657232114E-9,10000.0,63.800000000000004,-0.0199984737279744,22.234156820622992,-0.027631942525556504,10000.0,8144.0
20000.0,2.001474296,4.216823381947147E-9,20000.0,64.08500000000001,-0.009999607645589142,22.755134960748467,-0.013923698134222917,20000.0,8144.0
30000.0,3.021591403,6.366065906679465E-9,30000.0,63.260000000000005,14.608242652043945,22.50580046403713,4.148186798852081,30000.0,8144.0
40000.0,4.026156617,8.482542791519728E-9,40000.0,65.3875,24.289767476349645,27.913152139956253,12.151015228426395,40000.0,8144.0
50000.0,5.040162145,1.0618909083327486E-8,50000.0,67.708,31.441483446302875,33.18988703604088,19.53954253251608,50000.0,8144.0
60000.0,6.065412615,1.2778966878168286E-8,60000.0,67.09166666666667,28.16781134324303,30.494931005350622,14.446033190346224,60000.0,8144.0
70000.0,7.07141729,1.4898476503830817E-8,70000.0,67.58142857142857,26.622225036084224,30.31903460558234,12.809774464978684,70000.0,8144.0
80000.0,8.124125135,1.7116383105992444E-8,80000.0,67.94125,25.106412036274172,30.17614549018539,11.494927186141208,80000.0,8144.0
90000.0,9.125400666,1.922592909383277E-8,90000.0,65.82000000000001,22.51469082369206,26.1522949875168,7.610523786641049,90000.0,8144.0
100000.0,10.12970565,2.134185771085322E-8,100000.0,65.547,23.192101398785688,26.128347520315607,8.2647708815933,100000.0,8144.0
