learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.266061794,3.0395494212706884E-10,10000.0,87.96000000000001,69.21677714281273,71.61046922895545,60.01328462304885,10000.0,4416.0
20000.0,0.507108173,5.793317148586115E-10,20000.0,88.11,69.381472131352,71.68710560781045,60.09397549924485,20000.0,4416.0
30000.0,0.834391855,9.532279106477898E-10,30000.0,88.22333333333333,69.63847110443537,71.88221249502585,60.352373470990905,30000.0,4416.0
40000.0,1.3042755,1.4900334924459459E-9,40000.0,88.3325,69.86096093434199,72.06058429118775,60.56944913822239,40000.0,4416.0
50000.0,1.852239389,2.116039690723022E-9,50000.0,88.302,69.71460736034891,71.85680604340087,60.36188669015995,50000.0,4416.0
60000.0,2.59328897,2.9626313005884494E-9,60000.0,84.29333333333334,62.411591206967664,63.34072431633406,50.58983903947988,60000.0,4416.0
70000.0,3.498359804,3.996604457100233E-9,70000.0,80.15142857142857,55.826010977704556,54.726449216331595,40.453435049072134,70000.0,4416.0
80000.0,4.435411952,5.067113781770071E-9,80000.0,78.87875,54.5001910886956,52.6044150234215,38.869794869939575,80000.0,4416.0
90000.0,5.517070652,6.302824864586195E-9,90000.0,78.34333333333333,54.21857369682187,51.868131868131876,38.82873552396195,90000.0,4416.0
100000.0,6.789586627,7.756575565586489E-9,100000.0,77.993,54.05674575902303,51.44300781077622,38.93390310228094,100000.0,4416.0
