learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.466836281,9.601961258041778E-8,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,1.348905442,2.7877395969722836E-7,200.0,51.0,9.719023491478575,-30.666666666666664,-81.48148148148147,200.0,800880.0
300.0,1.787294127,3.6958660360233654E-7,300.0,53.333333333333336,1.9607843137254843,-16.666666666666664,-57.30337078651687,300.0,800736.0
400.0,2.192790309,4.5358721184685E-7,400.0,55.00000000000001,-1.2800675200450036,-19.205298013245038,-52.542372881355895,400.0,800752.0
500.0,2.629758806,5.441165146518665E-7,500.0,58.4,0.602121762400833,-10.052910052910063,-44.44444444444444,500.0,800832.0
600.0,3.094498966,6.40389815976446E-7,600.0,59.333333333333336,0.6312360008145099,-4.72103004291845,-37.07865168539326,600.0,800752.0
700.0,3.682354791,7.621841898684867E-7,700.0,60.0,0.07749092540480901,-0.7194244604316633,-35.2657004830918,700.0,800864.0
800.0,4.270381425,8.839993488682476E-7,800.0,60.75000000000001,-0.2546275971615545,0.9463722397476418,-33.050847457627086,800.0,800768.0
900.0,4.797543901,9.93201570210076E-7,900.0,62.0,0.9627017426445685,3.6619718309859244,-29.05660377358493,900.0,800736.0
1000.0,5.355397368,1.1087683875081233E-6,1000.0,62.5,0.9498251434246646,6.015037593984967,-25.838926174496624,1000.0,800784.0
1100.0,6.073331294,1.2574861292039562E-6,1100.0,62.54545454545455,-0.2158222473818091,5.720823798626998,-27.55417956656348,1100.0,800720.0
1200.0,6.87199623,1.4229105150257755E-6,1200.0,63.33333333333333,-0.18975332068314166,7.36842105263158,-26.07449856733523,1200.0,800640.0
1300.0,7.573426572,1.5682183016080865E-6,1300.0,63.0,-0.20833333333332657,7.321772639691727,-23.650385604113126,1300.0,800768.0
1400.0,8.30356044,1.7194481118042478E-6,1400.0,62.78571428571429,-0.7341689638218766,8.435852372583499,-22.588235294117624,1400.0,800640.0
1500.0,9.076492503,1.8795617429306068E-6,1500.0,63.46666666666667,-0.16840966198644328,9.121061359867348,-21.777777777777747,1500.0,800736.0
1600.0,9.962860208,2.0631846845849685E-6,1600.0,63.5625,-0.29762416777054995,10.16949152542373,-20.954356846473026,1600.0,800784.0
1700.0,11.011018906,2.280324797386535E-6,1700.0,64.05882352941177,-0.2954694681549302,11.06259097525475,-20.990099009900955,1700.0,800784.0
1800.0,11.949014934,2.4746471201980526E-6,1800.0,64.27777777777777,-0.4942224938960431,11.554332874828054,-20.86466165413533,1800.0,800800.0
1900.0,12.906134514,2.672927260373723E-6,1900.0,64.63157894736841,-0.27786896962289614,12.271540469973893,-19.57295373665483,1900.0,800784.0
2000.0,13.932482776,2.8855532975123404E-6,2000.0,64.9,-0.4205647583898296,13.11881188118813,-19.185059422750424,2000.0,800800.0
2100.0,14.961996106,3.098822249859306E-6,2100.0,65.42857142857143,-0.3951007506914526,13.87900355871886,-19.21182266009852,2100.0,800752.0
2200.0,15.931937098,3.2997504876726198E-6,2200.0,65.4090909090909,-0.3065154300203303,13.71882086167799,-17.984496124031008,2200.0,800752.0
2300.0,17.022783991,3.5257385470586097E-6,2300.0,65.43478260869566,-0.44495715227421606,13.586956521739136,-17.9525222551929,2300.0,800800.0
2400.0,18.072567039,3.7432238562664136E-6,2400.0,65.625,-0.3466520707900042,14.1519250780437,-17.1875,2400.0,800816.0
2500.0,19.258360465,3.988842488635538E-6,2500.0,65.88000000000001,-0.10364776284190484,15.124378109452755,-16.530054644808743,2500.0,800672.0
2600.0,20.457164813,4.237200789716086E-6,2600.0,65.8076923076923,-0.4327725250278045,15.89403973509934,-16.3612565445026,2600.0,800816.0
2700.0,21.651592367,4.4846375111014055E-6,2700.0,65.85185185185185,-0.6245073667616913,16.862037871956716,-16.12090680100757,2700.0,800768.0
2800.0,22.917965638,4.746988937142987E-6,2800.0,65.96428571428572,-0.7192723934679274,16.913687881429844,-15.795868772782484,2800.0,800800.0
2900.0,24.144054189,5.000989602096539E-6,2900.0,66.20689655172414,-0.6873095727343821,17.716204869857272,-15.429917550058889,2900.0,800784.0
3000.0,25.402753007,5.26174071060412E-6,3000.0,66.4,-0.5972629826689251,18.644067796610184,-15.068493150684906,3000.0,800768.0
3100.0,26.919959388,5.576050333128091E-6,3100.0,66.35483870967742,-0.6858332949269857,18.76947040498443,-14.489571899012082,3100.0,800784.0
3200.0,28.337433471,5.8697166760319135E-6,3200.0,66.28125,-0.7403811142129226,18.627450980392172,-14.059196617336134,3200.0,800832.0
3300.0,29.904466627,6.19435506863349E-6,3300.0,66.33333333333333,-0.7593987690001149,18.548387096774192,-13.599182004089972,3300.0,800800.0
3400.0,31.406574127,6.505499450488172E-6,3400.0,66.44117647058823,-0.7814367212910172,18.5,-13.306852035749758,3400.0,800688.0
3500.0,32.965929278,6.828547209737772E-6,3500.0,66.45714285714286,-0.775992308748788,18.64171864171864,-12.993262752646784,3500.0,800800.0
3600.0,34.579755627,7.162852912806768E-6,3600.0,66.44444444444444,-0.7121270017716331,18.707940780619104,-12.476722532588468,3600.0,800736.0
3700.0,36.223006659,7.503260769437153E-6,3700.0,66.32432432432432,-0.8009942351329071,18.508829300196204,-12.050359712230202,3700.0,800752.0
3800.0,37.853163918,7.840956184014963E-6,3800.0,66.55263157894737,-0.7191184063782546,18.629961587708046,-11.78540017590151,3800.0,800752.0
3900.0,39.628466457,8.208763275889208E-6,3900.0,66.58974358974359,-0.7610066384841692,19.018023617153514,-11.558219178082187,3900.0,800848.0
4000.0,41.474192877,8.59109202526475E-6,4000.0,66.64999999999999,-0.7552870090634278,19.298245614035086,-11.259382819015867,4000.0,800704.0
4100.0,43.380461685,8.985985359549075E-6,4100.0,66.48780487804878,-0.819924740308257,19.22398589065257,-10.98546042003228,4100.0,800752.0
4200.0,45.34249122,9.392454177417034E-6,4200.0,66.57142857142857,-0.7998966154906232,19.495412844036682,-10.725552050473192,4200.0,800800.0
4300.0,47.280601635,9.793951685712411E-6,4300.0,66.67441860465117,-0.8034964101463546,19.267605633802813,-10.570987654320978,4300.0,800768.0
4400.0,49.313271395,1.0215054864703622E-5,4400.0,66.63636363636364,-0.8640087946819721,19.384953322350356,-10.375939849624064,4400.0,800800.0
4500.0,51.408164258,1.0649048650420836E-5,4500.0,66.66666666666666,-0.8620341855054907,19.7002141327623,-10.132158590308391,4500.0,800800.0
4600.0,53.493931161,1.108115183352125E-5,4600.0,66.76086956521739,-0.8338064353341184,20.15665796344648,-9.920920201294003,4600.0,800800.0
4700.0,55.784059402,1.1555611009446255E-5,4700.0,66.59574468085107,-1.0282454656404145,19.979612640163104,-9.94397759103642,4700.0,800832.0
4800.0,57.837643876,1.198104703813416E-5,4800.0,66.5,-1.0981641378153986,20.079522862823072,-9.761092150170647,4800.0,800800.0
4900.0,59.951063227,1.2418861414880973E-5,4900.0,66.53061224489795,-1.1183162315533948,20.38834951456311,-9.625668449197867,4900.0,800768.0
5000.0,62.128426419,1.2869895312345613E-5,5000.0,66.58,-1.100868051690084,20.2767175572519,-9.430255402750506,5000.0,800720.0
5100.0,64.286047784,1.3316884407052693E-5,5100.0,66.49019607843137,-1.1613493286783254,20.214752567693754,-9.271099744245529,5100.0,800800.0
5200.0,66.457466452,1.3766713879058325E-5,5200.0,66.42307692307692,-1.239964317573639,20.383036935704503,-9.19324577861165,5200.0,800768.0
5300.0,68.823976107,1.4256948458964959E-5,5300.0,66.30188679245283,-1.276630346397749,20.516243880729874,-8.968883465527757,5300.0,800752.0
5400.0,71.481915967,1.4807598303624906E-5,5400.0,66.25925925925927,-1.2852441519167024,20.401922236784625,-8.77611940298505,5400.0,800816.0
5500.0,74.139631442,1.535815765868403E-5,5500.0,66.25454545454545,-1.2806927726383306,20.445777968281188,-8.601521357519012,5500.0,800752.0
5600.0,76.854270057,1.5920508933360255E-5,5600.0,66.41071428571429,-1.225048336940168,20.699831365935932,-8.477508650519031,5600.0,800752.0
5700.0,79.384645636,1.6444720598888564E-5,5700.0,66.19298245614034,-1.3949502196480386,20.503300330032985,-8.502252252252257,5700.0,800800.0
5800.0,82.14697389,1.701696246008042E-5,5800.0,66.06896551724138,-1.423540668223864,20.613150463896748,-8.310401761144727,5800.0,800768.0
5900.0,84.685081709,1.754277599469184E-5,5900.0,65.93220338983052,-1.4540116211425165,20.710059171597653,-8.122646584185041,5900.0,800800.0
6000.0,87.210990553,1.8066030931938562E-5,6000.0,65.95,-1.4383088252818055,20.84463386284386,-7.980972515856237,6000.0,800752.0
6100.0,89.806470295,1.8603697836566318E-5,6100.0,65.88524590163935,-1.445965225102154,20.9946848899013,-7.823834196891208,6100.0,800752.0
6200.0,92.533547063,1.91686483141533E-5,6200.0,65.7258064516129,-1.2682551883166568,20.70895522388059,-7.649442755825753,6200.0,800784.0
6300.0,95.136787645,1.9707998344026768E-5,6300.0,65.4920634920635,-1.3266375080640007,20.395459538630533,-7.464162135442414,6300.0,800864.0
6400.0,97.748471095,2.024906517088998E-5,6400.0,65.390625,-1.3454581849897889,20.523860782203084,-7.315891472868207,6400.0,800816.0
6500.0,100.503017025,2.0819683449997353E-5,6500.0,65.27692307692308,-1.4159030201137812,20.27552101730837,-7.271863117870712,6500.0,800752.0
6600.0,103.241644104,2.1387015393450505E-5,6600.0,64.93939393939394,-1.3698510117271547,20.151828847481024,-7.328385899814467,6600.0,800768.0
6700.0,106.138377075,2.1987100435588606E-5,6700.0,65.02985074626866,-1.3351783301866098,20.27900646478395,-7.231121281464542,6700.0,800768.0
6800.0,108.999110546,2.2579680483429166E-5,6800.0,64.92647058823529,-1.3544423218354134,20.314066154360187,-7.09474629546474,6800.0,800704.0
6900.0,111.990403958,2.3199379359201624E-5,6900.0,64.78260869565217,-1.4302592106623921,20.09207497533707,-7.048458149779741,6900.0,800800.0
7000.0,114.942487747,2.3810979712716722E-5,7000.0,64.67142857142856,-1.4719678047049176,19.96763754045306,-6.96366782006921,7000.0,800832.0
7100.0,118.016760982,2.4447856588617757E-5,7100.0,64.56338028169014,-1.3889530561586954,19.719208679004456,-7.2463768115941924,7100.0,800784.0
7200.0,120.992669318,2.5064331222413242E-5,7200.0,64.30555555555556,-1.4116074857813037,19.283919597989954,-7.217355027117225,7200.0,800752.0
7300.0,124.221150418,2.57331810496635E-5,7300.0,64.15068493150685,-1.3426128390827365,19.15353722582638,-7.34208367514354,7300.0,800816.0
7400.0,127.36141805,2.6383768543494024E-5,7400.0,63.95945945945945,-0.8679144376280647,18.91152325934933,-7.410390656463979,7400.0,800832.0
7500.0,130.800819058,2.7096243818685886E-5,7500.0,63.6,-0.6125399538661702,18.091809180918098,-8.333333333333341,7500.0,800736.0
7600.0,133.845188484,2.772695092261351E-5,7600.0,63.35526315789474,-0.7259156750006871,17.846607669616517,-8.53468433359315,7600.0,800816.0
7700.0,137.138034569,2.840910809184696E-5,7700.0,63.103896103896105,-0.05314653074815166,17.508710801393732,-8.850574712643686,7700.0,800784.0
