learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.502837782,1.1583072533024818E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.7889304E7
200.0,5.827774229,2.6986645393654635E-5,200.0,60.5,20.999999999999996,60.30150753768844,20.999999999999996,200.0,1.7907728E7
300.0,8.885710556,4.116148392659771E-5,300.0,67.0,34.00000000000001,66.88963210702342,34.00000000000001,300.0,1.7918104E7
400.0,11.869214536,5.50006205613783E-5,400.0,69.25,38.5,69.17293233082708,38.5,400.0,1.7930184E7
500.0,14.997040813,6.952041546433377E-5,500.0,70.19999999999999,40.39999999999999,70.14028056112224,40.39999999999999,500.0,1.794404E7
600.0,18.182342729,8.431404751125356E-5,600.0,72.33333333333334,44.66666666666668,72.28714524207011,44.66666666666668,600.0,1.7952568E7
700.0,21.051878686,9.764629146449264E-5,700.0,73.14285714285714,46.285714285714285,73.10443490701002,46.285714285714285,700.0,1.7959488E7
800.0,24.389134772,1.1316388463600876E-4,800.0,73.625,47.24999999999999,73.59198998748435,47.24999999999999,800.0,1.7973688E7
900.0,27.45780494,1.2743800370738196E-4,900.0,74.55555555555556,49.11111111111111,74.52725250278085,49.11111111111111,900.0,1.7980488E7
1000.0,30.366057429,1.409739828372933E-4,1000.0,75.1,50.2,75.07507507507508,50.2,1000.0,1.7991192E7
1100.0,33.957276115,1.576944601711465E-4,1100.0,74.72727272727273,49.45454545454546,74.70427661510465,49.45454545454546,1100.0,1.7997376E7
1200.0,36.991713101,1.718268376932834E-4,1200.0,75.16666666666667,50.33333333333334,75.14595496246874,50.33333333333334,1200.0,1.8002776E7
1300.0,39.970976213,1.8570740691258597E-4,1300.0,75.0,50.0,74.98075442648191,50.0,1300.0,1.8009464E7
1400.0,42.715711828,1.9849799073311123E-4,1400.0,74.5,49.0,74.481772694782,49.0,1400.0,1.8013256E7
1500.0,45.76505068,2.127114400860888E-4,1500.0,75.0,50.0,74.98332221480987,50.0,1500.0,1.8017568E7
1600.0,48.891092667,2.272850350675998E-4,1600.0,74.875,49.75000000000001,74.85928705440901,49.75000000000001,1600.0,1.8020808E7
1700.0,52.028846931,2.4191635620938925E-4,1700.0,74.6470588235294,49.29411764705882,74.63213655091229,49.29411764705882,1700.0,1.8024656E7
1800.0,54.873111397,2.551816033937492E-4,1800.0,74.44444444444444,48.88888888888889,74.43023902167872,48.88888888888889,1800.0,1.8028008E7
1900.0,58.06087219,2.7005189047689957E-4,1900.0,74.26315789473684,48.526315789473685,74.24960505529225,48.526315789473685,1900.0,1.8031672E7
