learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.51797403,1.0653770435489713E-7,100.0,33.0,0.0,-42.55319148936171,-179.16666666666669,100.0,795056.0
200.0,1.001514222,2.0599300333775576E-7,200.0,41.5,0.0,-17.000000000000004,-58.10810810810811,200.0,795056.0
300.0,1.284814348,2.6426261401204594E-7,300.0,38.666666666666664,0.0,-26.027397260273965,-71.96261682242991,300.0,795056.0
400.0,1.657010155,3.4081642665840264E-7,400.0,38.0,0.0,-31.914893617021285,-73.4265734265734,400.0,795056.0
500.0,1.978283023,4.068963299852816E-7,500.0,37.4,0.0,-28.80658436213992,-75.84269662921349,500.0,795056.0
600.0,2.281675271,4.6929851957187464E-7,600.0,36.333333333333336,0.0,-32.63888888888889,-82.77511961722486,600.0,795056.0
700.0,2.57579894,5.297943334096834E-7,700.0,35.85714285714286,0.0,-34.029850746268664,-85.5371900826446,700.0,795056.0
800.0,2.871789703,5.906741740462389E-7,800.0,36.875,0.0,-32.89473684210527,-76.57342657342654,800.0,795056.0
900.0,3.189848167,6.560929337574251E-7,900.0,36.333333333333336,0.0,-36.10451306413302,-80.18867924528298,900.0,795056.0
1000.0,3.473978406,7.145332833650458E-7,1000.0,37.3,0.0,-32.27848101265823,-72.25274725274727,1000.0,795056.0
1100.0,4.746590254,9.764809697447963E-7,1100.0,39.72727272727273,0.34707039790117417,-26.768642447418735,-65.33665835411473,1100.0,795648.0
1200.0,5.143493949,1.0581775253632414E-6,1200.0,41.75,1.156241014739364,-22.84710017574694,-61.43187066974596,1200.0,795648.0
1300.0,5.492909085,1.1300992873719083E-6,1300.0,42.769230769230774,-0.4962469763846267,-20.19386106623586,-55.9748427672956,1300.0,795648.0
1400.0,5.835604008,1.200637796309267E-6,1400.0,44.642857142857146,0.637385984834615,-16.541353383458645,-51.66340508806262,1400.0,795648.0
1500.0,6.171500498,1.2697769517845656E-6,1500.0,45.800000000000004,0.5408879305001485,-13.706293706293698,-48.357664233576656,1500.0,795648.0
1600.0,6.523121694,1.3421527975061283E-6,1600.0,46.375,-0.5902938573095015,-12.010443864229764,-44.688026981450264,1600.0,795648.0
1700.0,6.867557717,1.4130496852511908E-6,1700.0,47.588235294117645,0.10420239005987739,-10.408921933085495,-42.55999999999999,1700.0,795648.0
1800.0,7.20996117,1.4835281995466098E-6,1800.0,48.27777777777777,-0.22847163243580698,-7.5057736720554225,-40.0,1800.0,795648.0
1900.0,7.491550745,1.54148910710521E-6,1900.0,48.89473684210526,-0.5022661901856482,-5.543478260869576,-37.73049645390069,1900.0,795648.0
2000.0,7.799156157,1.604804976840292E-6,2000.0,49.65,-0.32378580323785555,-4.78668054110301,-35.897435897435884,2000.0,795648.0
