learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.525089665,1.5539353546243904E-5,100.0,100.0,?,?,?,100.0,2.3788032E7
200.0,5.900545733,3.7724003001476936E-5,200.0,98.0,59.01639344262287,0.0,33.33333333333333,200.0,2.5405192E7
300.0,9.130820386,5.896617676766071E-5,300.0,98.66666666666667,59.3495934959351,0.0,33.33333333333352,300.0,2.54192E7
400.0,12.344786957,8.010674974759854E-5,400.0,99.0,59.51417004048588,0.0,33.33333333333333,400.0,2.5425984E7
500.0,15.551324473,1.0120283641920038E-4,500.0,98.8,49.46091644204845,0.0,25.0,500.0,2.5431168E7
600.0,18.76106642,1.223252532097586E-4,600.0,98.66666666666667,42.3076923076929,0.0,20.0000000000004,600.0,2.5437584E7
700.0,22.006371659,1.4369391942662952E-4,700.0,97.28571428571429,28.800856531049252,-58.333333333333435,13.636363636363779,700.0,2.5452136E7
800.0,25.43742686,1.663261715430001E-4,800.0,85.125,5.16039051603899,-815.3846153846164,2.459016393442571,800.0,2.5497784E7
900.0,28.861990321,1.8893104588162433E-4,900.0,78.0,2.8300343530181626,-607.1428571428576,1.4925373134328699,900.0,2.5515216E7
1000.0,32.246045403,2.112769227091069E-4,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,1000.0,2.55248E7
1100.0,35.909019444,2.354794619702416E-4,1100.0,71.63636363636363,5.778997940974593,-225.00000000000006,3.9999999999999702,1100.0,2.5540504E7
1200.0,39.095774646,2.5654144024195064E-4,1200.0,71.83333333333334,8.211620191633168,-188.88888888888874,5.8495821727019734,1200.0,2.554776E7
1300.0,42.284267192,2.7761888015916044E-4,1300.0,70.0,9.305894937945176,-212.00000000000006,6.921241050119314,1300.0,2.5552584E7
1400.0,45.490840493,2.988239520070852E-4,1400.0,68.5,10.183822031876467,-204.13793103448282,7.740585774058589,1400.0,2.556236E7
1500.0,48.68848933,3.1997435430943774E-4,1500.0,67.0,9.702291190348795,-176.53631284916207,7.4766355140187075,1500.0,2.5567616E7
1600.0,51.896115162,3.4119441251733736E-4,1600.0,65.3125,8.43132968433557,-148.87892376681611,6.565656565656545,1600.0,2.5572032E7
1700.0,55.096067968,3.6236657740236494E-4,1700.0,63.8235294117647,7.525995322787791,-156.24999999999994,5.819295558958649,1700.0,2.5575496E7
1800.0,58.276862299,3.834211391098222E-4,1800.0,63.388888888888886,7.588033655344314,-132.04225352112678,5.857142857142832,1800.0,2.5586624E7
1900.0,61.494717335,4.047238462926247E-4,1900.0,61.8421052631579,7.013886826281017,-140.0662251655629,5.59895833333334,1900.0,2.5590024E7
2000.0,64.689419841,4.2587611653136794E-4,2000.0,61.550000000000004,6.274375975039025,-130.23952095808374,4.826732673267344,2000.0,2.5593456E7
2100.0,68.148262729,4.4878226881545834E-4,2100.0,62.0,11.32545115121346,-115.09433962264156,9.52380952380953,2100.0,2.559904E7
2200.0,71.369182612,4.701147448688029E-4,2200.0,62.227272727272734,14.772409420627694,-108.79396984924621,12.984293193717283,2200.0,2.56014E7
2300.0,74.594904318,4.914813471166989E-4,2300.0,62.73913043478261,17.363306306230783,-110.56511056511053,15.566502463054189,2300.0,2.5604184E7
2400.0,77.806367239,5.127578883941247E-4,2400.0,62.708333333333336,17.980956919383054,-107.65661252900233,16.198501872659165,2400.0,2.5609464E7
2500.0,80.993082944,5.338726775582831E-4,2500.0,63.160000000000004,19.469129308270443,-100.65359477124183,17.620751341681594,2500.0,2.5612136E7
2600.0,84.266258481,5.555635838461202E-4,2600.0,62.5,21.131132015595806,-112.41830065359477,19.95073891625616,2600.0,2.5615968E7
2700.0,87.558767941,5.773864294635945E-4,2700.0,62.18518518518519,23.009077929883443,-122.44008714596943,22.534142640364188,2700.0,2.5620448E7
2800.0,90.845543115,5.991741726659928E-4,2800.0,62.57142857142857,25.813263002904357,-128.322440087146,24.167872648335734,2800.0,2.5623864E7
2900.0,94.128838756,6.209442524768516E-4,2900.0,62.03448275862069,26.41785458809301,-139.86928104575168,20.3328509406657,2900.0,2.5630224E7
