learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.143537075,1.5619091543368994E-8,100.0,52.0,2.399349328995533,4.0000000000000036,-6.666666666666673,100.0,420624.0
200.0,0.250061765,2.7226967752041917E-8,200.0,51.5,2.1388216303470644,2.020202020202022,-3.1914893617021307,200.0,421216.0
300.0,0.295893424,3.222375336556592E-8,300.0,55.333333333333336,9.654800431499453,11.842105263157896,0.7407407407407333,300.0,421432.0
400.0,0.33587224,3.658624023466268E-8,400.0,58.5,13.799818252628851,19.024390243902438,4.046242774566465,400.0,421800.0
500.0,0.374117311,4.076167802571216E-8,500.0,59.599999999999994,14.97600808148834,19.521912350597606,6.912442396313369,500.0,422016.0
600.0,0.412866834,4.499331253539565E-8,600.0,60.333333333333336,16.039510818438394,20.401337792642146,9.160305343511459,600.0,422128.0
700.0,0.450591855,4.911486223934012E-8,700.0,61.0,18.03770865858051,21.999999999999996,12.218649517684884,700.0,422312.0
800.0,0.507647628,5.535082305264143E-8,800.0,61.375,18.86782544767107,23.325062034739457,13.687150837988831,800.0,422480.0
900.0,0.537468186,5.861483931944189E-8,900.0,61.22222222222222,19.67573649754501,22.787610619469028,15.29126213592232,900.0,423096.0
1000.0,0.566770335,6.182399296662874E-8,1000.0,62.3,21.60532335204824,24.448897795591183,17.505470459518595,1000.0,423344.0
1100.0,0.872455061,9.57705580659128E-8,1100.0,61.727272727272734,21.96294124387467,23.45454545454546,18.72586872586874,1100.0,429264.0
1200.0,0.926415001,1.0176687850057251E-7,1200.0,61.5,21.634702370182737,22.48322147651007,18.66197183098592,1200.0,429552.0
1300.0,0.956357631,1.0509724005695847E-7,1300.0,60.0,18.315659226463783,20.12288786482334,15.309446254071657,1300.0,429936.0
1400.0,0.986324631,1.0843328911450175E-7,1400.0,58.857142857142854,15.484986637321155,18.758815232722135,12.328767123287665,1400.0,430320.0
1500.0,1.015902384,1.117298008890864E-7,1500.0,57.333333333333336,12.685202870473972,15.900131406044684,9.732016925246835,1500.0,430816.0
1600.0,1.045446826,1.1502467901430197E-7,1600.0,56.3125,9.992274014936902,13.38289962825279,6.799999999999998,1600.0,431088.0
1700.0,1.074782905,1.1829753420211789E-7,1700.0,55.352941176470594,8.017838964564465,11.01992966002346,4.887218045112784,1700.0,431248.0
1800.0,1.104158517,1.2157583338699822E-7,1800.0,54.11111111111111,6.1672857808222235,8.628318584070795,3.391812865497069,1800.0,431384.0
1900.0,1.133698111,1.2487316648013062E-7,1900.0,53.57894736842105,4.894003180415357,7.740585774058566,2.108768035516095,1900.0,431480.0
2000.0,1.163079812,1.2815451672637214E-7,2000.0,52.849999999999994,3.7986770532810508,5.98205383848454,1.2565445026178022,2000.0,431696.0
2100.0,1.202895775,1.3260215486004122E-7,2100.0,52.90476190476191,4.283970917885816,5.9885931558935415,1.9821605550049712,2100.0,431792.0
2200.0,1.233658195,1.3603904088017015E-7,2200.0,53.04545454545454,4.269175230459957,6.936936936936922,1.899335232668555,2200.0,431864.0
2300.0,1.263400823,1.3936260769775345E-7,2300.0,53.04347826086957,4.55580795583441,6.735751295336796,2.3508137432188203,2300.0,431944.0
2400.0,1.293521791,1.427299479488449E-7,2400.0,53.25,5.117950705590101,6.887966804979246,3.025064822817621,2400.0,432136.0
2500.0,1.323359221,1.4607108628602493E-7,2500.0,52.52,3.8582408795731675,5.191693290734829,1.9008264462809887,2500.0,432848.0
