learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.863056187,1.3250172348194327E-5,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.7889328E7
200.0,6.910235319,3.200038772047445E-5,200.0,49.5,-1.0000000000000009,49.246231155778894,-1.0000000000000009,200.0,1.7908376E7
300.0,10.606785001,4.9136091089476014E-5,300.0,50.0,0.0,49.832775919732434,0.0,300.0,1.7918752E7
400.0,14.05829032,6.514665460535177E-5,400.0,50.24999999999999,0.49999999999998934,50.125313283208015,0.49999999999998934,400.0,1.7930832E7
500.0,17.529500657,8.126106691553313E-5,500.0,45.2,-9.599999999999998,45.09018036072144,-9.599999999999998,500.0,1.7944688E7
600.0,21.139793604,9.802910795668701E-5,600.0,46.0,-7.9999999999999964,45.90984974958264,-7.9999999999999964,600.0,1.7953216E7
700.0,24.625019141,1.1422251146602722E-4,700.0,46.57142857142857,-6.857142857142861,46.49499284692418,-6.857142857142861,700.0,1.7960136E7
800.0,28.135063968,1.3054412716890338E-4,800.0,47.125,-5.75,47.05882352941176,-5.75,800.0,1.7974336E7
900.0,31.473655328,1.460743619129992E-4,900.0,47.44444444444444,-5.111111111111111,47.38598442714127,-5.111111111111111,900.0,1.7981136E7
1000.0,34.996748702,1.6247260662893343E-4,1000.0,47.699999999999996,-4.600000000000004,47.647647647647645,-4.600000000000004,1000.0,1.799184E7
1100.0,38.228802346,1.7752089541858896E-4,1100.0,47.90909090909091,-4.181818181818187,47.8616924476797,-4.181818181818187,1100.0,1.7997448E7
1200.0,41.758960705,1.9396198955347248E-4,1200.0,48.083333333333336,-3.833333333333333,48.04003336113428,-3.833333333333333,1200.0,1.8002752E7
1300.0,45.245362831,2.1020532883791709E-4,1300.0,48.23076923076923,-3.5384615384615348,48.19091608929946,-3.5384615384615348,1300.0,1.800944E7
1400.0,48.883439361,2.271588964418939E-4,1400.0,48.35714285714286,-3.2857142857142807,48.32022873481058,-3.2857142857142807,1400.0,1.8013232E7
1500.0,52.231144536,2.427630575015822E-4,1500.0,48.46666666666667,-3.066666666666662,48.43228819212809,-3.066666666666662,1500.0,1.8017544E7
1600.0,55.861250236,2.5968657291662605E-4,1600.0,48.5625,-2.8750000000000053,48.53033145716073,-2.8750000000000053,1600.0,1.8020784E7
1700.0,59.116129983,2.748640289691674E-4,1700.0,48.64705882352941,-2.70588235294118,48.61683343143025,-2.70588235294118,1700.0,1.8024632E7
1800.0,62.464955745,2.9048245788204104E-4,1800.0,48.72222222222222,-2.5555555555555554,48.693718732629236,-2.5555555555555554,1800.0,1.8027984E7
1900.0,66.07440996,3.073198407462989E-4,1900.0,48.78947368421053,-2.421052631578946,48.762506582411795,-2.421052631578946,1900.0,1.8031648E7
2000.0,69.909194453,3.252119316382941E-4,2000.0,48.85,-2.300000000000002,48.82441220610305,-2.300000000000002,2000.0,1.8035264E7
2100.0,73.660252376,3.427165904533409E-4,2100.0,48.904761904761905,-2.190476190476187,48.880419247260605,-2.190476190476187,2100.0,1.8038576E7
2200.0,77.278436037,3.596045264638006E-4,2200.0,48.95454545454545,-2.0909090909090877,48.93133242382902,-2.0909090909090877,2200.0,1.8042152E7
2300.0,81.001742525,3.7698615349226723E-4,2300.0,49.0,-2.0000000000000018,48.977816441931274,-2.0000000000000018,2300.0,1.8045296E7
2400.0,84.243125119,3.921210056320625E-4,2400.0,48.91666666666667,-2.166666666666661,48.89537307211338,-2.166666666666661,2400.0,1.804888E7
2500.0,88.008313699,4.0970427699842826E-4,2500.0,48.96,-2.080000000000004,48.939575830332124,-2.080000000000004,2500.0,1.8051584E7
2600.0,91.374154494,4.254248123493656E-4,2600.0,49.0,-2.0000000000000018,48.980377068103124,-2.0000000000000018,2600.0,1.8054112E7
2700.0,94.980636079,4.422717355765823E-4,2700.0,49.03703703703704,-1.925925925925931,49.01815487217488,-1.925925925925931,2700.0,1.8056736E7
2800.0,98.863197887,4.604112747837061E-4,2800.0,49.07142857142857,-1.8571428571428572,49.05323329760629,-1.8571428571428572,2800.0,1.8059688E7
2900.0,102.582064818,4.777890089292518E-4,2900.0,49.137931034482754,-1.7241379310344862,49.12038634011728,-1.7241379310344862,2900.0,1.8062792E7
3000.0,106.293054717,4.951321621119545E-4,3000.0,49.166666666666664,-1.6666666666666718,49.14971657219072,-1.6666666666666718,3000.0,1.8065112E7
3100.0,110.174187107,5.132821240096855E-4,3100.0,49.0,-2.0000000000000018,48.45125529833714,-3.0638852672750927,3100.0,1.807672E7
3200.0,113.740692024,5.299667291927483E-4,3200.0,49.03125,-1.937500000000003,47.94127034790935,-4.084237396298652,3200.0,1.8083208E7
3300.0,117.452302888,5.473328947820081E-4,3300.0,48.54545454545455,-2.9090909090909056,46.93750000000001,-6.124999999999994,3300.0,1.8086056E7
3400.0,120.940310436,5.636553387532072E-4,3400.0,48.58823529411765,-2.8235294117647025,46.495255586164674,-6.976744186046507,3400.0,1.8088816E7
3500.0,124.653040981,5.81032413900225E-4,3500.0,47.68571428571428,-4.628571428571426,45.06450645064506,-9.838032393521287,3500.0,1.809196E7
3600.0,128.263499246,5.979330477573498E-4,3600.0,46.833333333333336,-6.333333333333336,43.70588235294118,-12.588235294117652,3600.0,1.8094352E7
3700.0,131.348284383,6.123759948568942E-4,3700.0,46.91891891891892,-6.162162162162166,43.35160080761465,-13.264129181084206,3700.0,1.8098112E7
3800.0,134.966183392,6.29318370076316E-4,3800.0,47.0,-6.000000000000005,42.9946221341636,-13.978494623655926,3800.0,1.8101736E7
3900.0,138.671822698,6.4667487889057E-4,3900.0,46.282051282051285,-7.435897435897432,41.80555555555556,-16.38888888888888,3900.0,1.8105128E7
4000.0,142.235783482,6.633697102471135E-4,4000.0,46.375,-7.250000000000001,41.50531769839106,-16.95747001090512,4000.0,1.8107208E7
4100.0,145.868591306,6.803888043986208E-4,4100.0,46.463414634146346,-7.073170731707313,41.20010715242432,-17.568291376539907,4100.0,1.810908E7
4200.0,149.462620085,6.972283600110989E-4,4200.0,46.54761904761905,-6.904761904761902,40.921052631578945,-18.157894736842117,4200.0,1.8111376E7
4300.0,153.133141221,7.144280089225814E-4,4300.0,46.627906976744185,-6.744186046511624,40.65166795965865,-18.665977249224397,4300.0,1.811316E7
4400.0,156.846537029,7.318302852207475E-4,4400.0,46.70454545454545,-6.590909090909092,40.37630307653191,-19.217081850533816,4400.0,1.8114952E7
4500.0,160.495336545,7.489316681003463E-4,4500.0,46.77777777777778,-6.444444444444441,40.12500000000001,-19.750000000000004,4500.0,1.8116888E7
4600.0,164.1823854,7.662173715145953E-4,4600.0,46.84782608695652,-6.304347826086953,39.852398523985244,-19.26829268292683,4600.0,1.8122184E7
4700.0,167.987952341,7.84061966819982E-4,4700.0,46.8936170212766,-6.222210068835452,39.59341723136496,-18.913768461171987,4700.0,1.8125488E7
4800.0,171.588646464,8.009488487650905E-4,4800.0,46.958333333333336,-6.091455960430311,39.35207241543593,-18.473708701721716,4800.0,1.8128656E7
4900.0,175.171659437,8.17755136393907E-4,4900.0,47.04081632653061,-5.91836734693878,39.155920281359904,-17.954545454545446,4900.0,1.8131168E7
5000.0,178.820647347,8.348729819546649E-4,5000.0,46.56,-6.886276362147978,38.31948291782087,-18.80835927078702,5000.0,1.8133392E7
5100.0,182.166751101,8.505724611122861E-4,5100.0,46.627450980392155,-6.751943953960596,38.10823101409731,-18.39930404523706,5100.0,1.813628E7
5200.0,185.276023433,8.65162431447613E-4,5200.0,46.71153846153846,-6.57692307692308,37.939529675251954,-17.914893617021292,5200.0,1.813836E7
5300.0,188.827438521,8.818303126779405E-4,5300.0,46.62264150943396,-6.760919680345986,37.577228596646066,-17.924135056273443,5300.0,1.814184E7
5400.0,192.56741544,8.993855177704582E-4,5400.0,46.68518518518518,-6.634866293845426,37.38581992170509,-17.5581870151082,5400.0,1.8144264E7
5500.0,196.262519653,9.167317451796377E-4,5500.0,46.72727272727273,-6.545454545454543,37.19185423365487,-17.19999999999999,5500.0,1.8145992E7
5600.0,199.780187519,9.332466859160969E-4,5600.0,46.5,-7.006019088573737,36.68639053254439,-17.536288740682615,5600.0,1.8147824E7
5700.0,203.483924451,9.50637002951202E-4,5700.0,46.578947368421055,-6.847261819222296,36.536056690287616,-17.160446325509803,5700.0,1.8149712E7
5800.0,207.207463626,9.681230956904056E-4,5800.0,46.06896551724138,-7.862068965517244,35.70400822199383,-18.037735849056613,5800.0,1.8152616E7
5900.0,210.883739308,9.853897453742614E-4,5900.0,45.559322033898304,-8.885847747123385,34.874290348742896,-19.007039644312727,5900.0,1.8155256E7
5995.0,214.389241454,0.0010018571536834111,5995.0,45.62135112593828,-8.759758004710832,34.73473473473474,-18.674918092464498,5995.0,1.8158392E7
