learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.529089119,1.0882387315328336E-7,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,1.398029577,2.888760911909615E-7,200.0,57.49999999999999,14.999999999999991,-13.333333333333345,-57.40740740740742,200.0,800960.0
300.0,1.704019825,3.522800014854678E-7,300.0,60.0,7.69230769230769,0.0,-34.83146067415733,300.0,800960.0
400.0,2.002996482,4.1423063312971345E-7,400.0,62.74999999999999,6.583072100313478,1.32450331125825,-26.27118644067797,400.0,800960.0
500.0,2.205306555,4.561510858369743E-7,500.0,65.0,6.417112299465274,7.407407407407414,-21.527777777777757,500.0,800960.0
600.0,2.472636476,5.115442313404919E-7,600.0,65.16666666666666,4.711246200607881,10.300429184549337,-17.41573033707868,600.0,800960.0
700.0,2.753272591,5.696945389962404E-7,700.0,66.0,4.25287356321841,14.388489208633098,-14.975845410628011,700.0,800960.0
800.0,3.032620221,6.275778610604878E-7,800.0,66.625,3.8703870387038988,15.772870662460567,-13.135593220338965,800.0,800960.0
900.0,3.316350311,6.863692679494165E-7,900.0,67.11111111111111,3.5481535119478926,16.61971830985916,-11.698113207547191,900.0,800960.0
1000.0,3.627514923,7.508453526450074E-7,1000.0,67.10000000000001,3.00707547169811,17.543859649122822,-10.40268456375836,1000.0,800960.0
1100.0,3.926536671,8.128053275468822E-7,1100.0,67.81818181818183,3.0378486055777176,18.993135011441648,-9.597523219814247,1100.0,800960.0
1200.0,4.210899572,8.717278585227373E-7,1200.0,68.33333333333333,2.978723404255309,20.00000000000001,-8.882521489971321,1200.0,800960.0
1300.0,4.496580821,9.309235629702153E-7,1300.0,67.6923076923077,2.3255813953488293,19.07514450867054,-7.96915167095116,1300.0,800960.0
1400.0,4.783028157,9.902780074812846E-7,1400.0,67.42857142857143,1.9656019656019559,19.859402460456945,-7.294117647058819,1400.0,800960.0
1500.0,5.061799255,1.0480418669696856E-6,1500.0,67.93333333333334,2.010050251256286,20.232172470978448,-6.88888888888887,1500.0,800960.0
1600.0,5.346740973,1.1070843339937801E-6,1600.0,67.9375,1.8416646735230375,20.9553158705701,-6.4315352697095545,1600.0,800960.0
1700.0,5.631878477,1.1661673696244302E-6,1700.0,67.64705882352942,1.398766588207535,19.941775836972365,-8.910891089108878,1700.0,800960.0
1800.0,5.872277753,1.2159802451326988E-6,1800.0,65.66666666666666,0.5611981285052322,14.993122420907824,-16.165413533834595,1800.0,800960.0
1900.0,6.11044734,1.265331109180587E-6,1900.0,64.73684210526316,-0.10112336578821571,12.53263707571803,-19.21708185053382,1900.0,800960.0
2000.0,6.298812007,1.304361949304363E-6,2000.0,64.8,-0.47095761381473644,12.871287128712883,-19.524617996604412,2000.0,800960.0
2100.0,6.544039155,1.3551752029789363E-6,2100.0,64.57142857142857,-1.357137296624048,11.743772241992884,-22.16748768472906,2100.0,800960.0
2200.0,6.802430458,1.4087161870572674E-6,2200.0,64.54545454545455,-1.5403841966238314,11.564625850340143,-20.930232558139505,2200.0,800960.0
2300.0,7.073287975,1.4648402819351562E-6,2300.0,64.82608695652175,-1.4724327861700404,12.065217391304367,-20.02967359050445,2300.0,800960.0
2400.0,7.36288947,1.5248482963413372E-6,2400.0,65.04166666666666,-1.4387619393060278,12.695109261186252,-19.17613636363637,2400.0,800960.0
2500.0,7.668757978,1.5882269810213355E-6,2500.0,64.60000000000001,-1.9780750595506096,11.940298507462696,-20.90163934426231,2500.0,800960.0
2600.0,7.945608636,1.645592908202149E-6,2600.0,63.46153846153846,-2.875944938461879,10.122989593188256,-24.345549738219898,2600.0,800960.0
2700.0,8.221678276,1.7027970014829147E-6,2700.0,62.74074074074074,-2.5240343785032526,9.287646528403968,-26.700251889168776,2700.0,800960.0
2800.0,8.497521031,1.7599540821667719E-6,2800.0,62.5,-2.379095163806541,8.456843940714922,-27.5820170109356,2800.0,800960.0
2900.0,8.780608318,1.8186122945371974E-6,2900.0,62.89655172413793,-2.2076645922044036,9.65575146935349,-26.73733804475854,2900.0,800960.0
3000.0,9.063724979,1.8772765934625805E-6,3000.0,62.866666666666674,-2.66505204214981,10.088781275221969,-27.168949771689466,3000.0,800960.0
3100.0,9.347768713,1.9361329901875263E-6,3100.0,62.87096774193548,-2.478956214450763,10.358255451713383,-26.344676180021985,3100.0,800960.0
3200.0,9.564923537,1.9811294077887673E-6,3200.0,62.0625,-2.2414264110700985,8.44645550527904,-28.329809725158555,3200.0,800960.0
3300.0,9.845970411,2.039364828375267E-6,3300.0,61.212121212121204,-1.9817388948791637,6.158357771260984,-30.87934560327199,3300.0,800960.0
3400.0,10.106369378,2.093321818352445E-6,3400.0,60.6764705882353,-1.8998226425718339,4.500000000000006,-32.770605759682226,3400.0,800960.0
3500.0,10.365453375,2.1470063348097477E-6,3500.0,60.71428571428571,-1.6406114699186285,4.712404712404695,-32.33878729547645,3500.0,800960.0
3600.0,10.630548858,2.201936484817701E-6,3600.0,60.16666666666667,-1.260261075095855,3.4993270524899147,-33.51955307262569,3600.0,800960.0
3700.0,10.893328434,2.256386758226193E-6,3700.0,59.56756756756757,-0.4385750032208188,2.158273381294969,-34.5323741007194,3700.0,800960.0
3800.0,11.158349167,2.311301419367016E-6,3800.0,59.23684210526316,-0.4108414094842184,0.8322663252240554,-36.235708003518035,3800.0,800960.0
3900.0,11.422032524,2.3659389642647943E-6,3900.0,59.07692307692308,-0.3812112124283891,0.8079552517091547,-36.643835616438324,3900.0,800960.0
4000.0,11.674534067,2.418259537506058E-6,4000.0,58.5,-0.9241245136186833,-0.42347247428917834,-38.44870725604674,4000.0,800960.0
4100.0,11.930523932,2.471302922198379E-6,4100.0,58.02439024390244,-0.516936920817836,-1.1757789535567322,-39.01453957996768,4100.0,800960.0
4200.0,12.229073558,2.5331650692082485E-6,4200.0,57.30952380952381,-0.849964886116914,-2.8096330275229473,-41.403785488958995,4200.0,800960.0
4300.0,12.540557962,2.5977074176603264E-6,4300.0,56.95348837209302,-0.6985755718183208,-4.2816901408450905,-42.82407407407408,4300.0,800960.0
4400.0,12.828735577,2.6574203914226298E-6,4400.0,56.61363636363637,-0.6936202758656994,-4.832509610104343,-43.53383458646617,4400.0,800960.0
4500.0,13.067292451,2.7068515047933862E-6,4500.0,56.13333333333333,-0.7421325758752839,-5.674518201284796,-44.93392070484582,4500.0,800960.0
4600.0,13.344482836,2.7642878264406033E-6,4600.0,55.69565217391305,-0.7090065314541072,-6.422976501305482,-46.51329978432779,4600.0,800960.0
4700.0,13.613940824,2.820121926419143E-6,4700.0,55.425531914893625,-0.6277725907382206,-6.778797145769608,-46.70868347338935,4700.0,800960.0
4800.0,13.871835281,2.873559959572011E-6,4800.0,55.104166666666664,-0.316116020669939,-7.107355864811131,-47.09897610921504,4800.0,800960.0
4900.0,14.152629231,2.931742972048409E-6,4900.0,54.63265306122449,-0.4291660304963429,-7.912621359223289,-48.596256684491976,4900.0,800960.0
5000.0,14.434600772,2.9901699918897986E-6,5000.0,54.17999999999999,-0.46800284871301234,-9.303435114503825,-50.03274394237067,5000.0,800960.0
5100.0,14.717875089,3.0488669585454337E-6,5100.0,53.86274509803921,-0.23035701160638639,-9.85060690943044,-50.44757033248085,5100.0,800960.0
