learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.352877049,1.4479268226538177E-5,100.0,100.0,?,?,?,100.0,2.3787552E7
200.0,5.986794917,3.841506675484802E-5,200.0,96.5,57.16034271725822,-75.0,-16.666666666666664,200.0,2.5460984E7
300.0,9.229137736,5.978339848999519E-5,300.0,85.66666666666667,15.884194053208148,-975.0000000000019,-616.666666666666,300.0,2.5474992E7
400.0,12.43968838,8.094776198181027E-5,400.0,88.75,15.934989725387583,-1024.9999999999995,-649.9999999999997,400.0,2.548168E7
500.0,15.622291689,1.019322402850288E-4,500.0,89.8,14.002428166734084,-749.9999999999991,-537.4999999999993,500.0,2.548696E7
600.0,18.753023107,1.225798980082174E-4,600.0,90.5,12.442396313364023,-612.5000000000011,-469.99999999999807,600.0,2.5493376E7
700.0,21.88418109,1.4324215659097342E-4,700.0,91.57142857142857,33.36130114883179,-391.6666666666672,-168.18181818181785,700.0,2.5507928E7
800.0,24.991879468,1.6378630647471154E-4,800.0,89.125,60.70194457619079,-569.2307692307699,28.68852459016391,800.0,2.5553576E7
900.0,28.039881591,1.8394956611733707E-4,900.0,88.55555555555556,67.30020318320352,-267.8571428571432,48.75621890547264,900.0,2.5571008E7
1000.0,31.174024097,2.0469043565408553E-4,1000.0,88.1,68.39779475031602,-85.93750000000014,53.69649805447471,1000.0,2.5580592E7
1100.0,34.441207441,2.263200150474936E-4,1100.0,84.0909090909091,59.43097997892518,-82.29166666666661,46.15384615384615,1100.0,2.5590392E7
1200.0,37.649405576,2.4756511966368753E-4,1200.0,83.41666666666666,57.5744224223086,-70.08547008547009,44.56824512534818,1200.0,2.5597648E7
1300.0,40.828644698,2.6862242153783317E-4,1300.0,81.15384615384616,53.006686772230715,-96.00000000000001,41.52744630071599,1300.0,2.5602472E7
1400.0,43.958413059,2.893599752373148E-4,1400.0,79.42857142857143,49.972206781545296,-98.6206896551725,39.74895397489539,1400.0,2.5612248E7
1500.0,47.12656686,3.1035617512438805E-4,1500.0,77.53333333333333,46.327323692425296,-88.26815642458108,37.00934579439252,1500.0,2.5617504E7
1600.0,50.310291338,3.314592031971975E-4,1600.0,75.8125,43.1101964315246,-73.54260089686092,34.84848484848486,1600.0,2.562192E7
1700.0,53.537113991,3.5285079528478994E-4,1700.0,74.23529411764706,40.27997670870968,-82.49999999999996,32.92496171516079,1700.0,2.5625384E7
1800.0,56.73915521,3.7408732178920455E-4,1800.0,73.66666666666667,39.26537585421413,-66.9014084507042,32.285714285714285,1800.0,2.5636512E7
1900.0,60.000667677,3.9572114132147034E-4,1900.0,72.15789473684211,37.069390842222056,-75.16556291390728,31.119791666666675,1900.0,2.5639912E7
2000.0,63.150919426,4.1661975842346104E-4,2000.0,72.05,36.72576789336425,-67.36526946107779,30.816831683168328,2000.0,2.5643344E7
2100.0,66.421120199,4.3831883560731293E-4,2100.0,70.57142857142857,34.78260869565218,-66.5768194070081,29.931972789115658,2100.0,2.5648928E7
2200.0,69.730850114,4.602822250041565E-4,2200.0,69.04545454545455,32.6161070082487,-71.10552763819096,28.691099476439785,2200.0,2.5651288E7
2300.0,72.882400628,4.811982046782924E-4,2300.0,68.34782608695652,31.726530995029535,-78.86977886977886,28.275862068965512,2300.0,2.5654072E7
2400.0,75.951253002,5.015695312601006E-4,2400.0,67.95833333333333,31.192455328781936,-78.42227378190258,27.99625468164793,2400.0,2.5659352E7
2500.0,79.00683748,5.218548964857607E-4,2500.0,67.44,30.223148770418746,-77.34204793028324,27.191413237924873,2500.0,2.5662024E7
2600.0,82.066453167,5.421700571599804E-4,2600.0,65.38461538461539,27.878747531234048,-96.07843137254902,26.10837438423646,2600.0,2.5665856E7
2700.0,85.115088308,5.624158427807883E-4,2700.0,64.22222222222223,27.370686294384576,-110.45751633986922,26.707132018209407,2700.0,2.5670336E7
2800.0,88.258592182,5.832944234052627E-4,2800.0,62.92857142857143,26.44081249190101,-126.14379084967318,24.891461649782933,2800.0,2.5673752E7
2900.0,91.412881058,6.04249825916961E-4,2900.0,61.689655172413794,25.51608643546191,-142.04793028322445,19.60926193921852,2900.0,2.5680112E7
3000.0,94.554410677,6.251235250862673E-4,3000.0,60.46666666666667,24.542419121689026,-158.3877995642701,14.182344428364694,3000.0,2.568388E7
3100.0,97.703556707,6.460505031983557E-4,3100.0,59.41935483870968,23.814532400410734,-174.07407407407402,8.972503617945016,3100.0,2.568716E7
3200.0,100.837692604,6.668788892575676E-4,3200.0,58.65625,23.372646119762813,-185.74514038876896,4.682997118155609,3200.0,2.5688584E7
3300.0,103.958471892,6.87620507664539E-4,3300.0,58.3939393939394,23.17258284182597,-190.27484143763215,3.3779028852920696,3300.0,2.5691056E7
3400.0,107.088833642,7.084266108061733E-4,3400.0,57.58823529411765,22.58449182374883,-202.3060796645703,-1.0511562718990852,3400.0,2.569204E7
3500.0,110.227760724,7.292904299050088E-4,3500.0,57.285714285714285,21.895384446367014,-207.61316872427975,-1.5624999999999976,3500.0,2.5693008E7
3600.0,113.345547473,7.500149917030016E-4,3600.0,57.30555555555556,21.464095925875455,-211.76470588235298,-1.4521452145214684,3600.0,2.5694568E7
3700.0,116.531130439,7.711923184542334E-4,3700.0,57.62162162162162,21.617095946911032,-215.492957746479,-0.448430493273538,3700.0,2.5697128E7
3800.0,119.706734225,7.923043302307595E-4,3800.0,57.36842105263158,21.510326951053603,-212.74131274131284,-2.208201892744473,3800.0,2.5698376E7
3900.0,122.865761096,8.133068678050521E-4,3900.0,57.333333333333336,21.28232566478081,-211.02803738317766,-1.6493585827733654,3900.0,2.5699272E7
4000.0,126.153499401,8.351664667043837E-4,4000.0,58.25,23.300397666770543,-212.1495327102803,-2.0158827122785534,4000.0,2.570084E7
4100.0,129.404120126,8.567815579079185E-4,4100.0,59.048780487804876,24.803759429706222,-212.66294227188084,-1.942926533090469,4100.0,2.5703552E7
4200.0,132.820375143,8.794987034636987E-4,4200.0,59.71428571428572,25.876415632791623,-209.32358318098713,-1.4388489208632986,4200.0,2.5704304E7
4300.0,136.202660422,9.019913247106248E-4,4300.0,60.581395348837205,27.50848394912415,-209.30656934306566,-1.4970059880239548,4300.0,2.5705864E7
