learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.58198519,1.1970361933232183E-7,100.0,33.0,0.0,-42.55319148936171,-179.16666666666669,100.0,795056.0
200.0,0.996286308,2.0491771785264215E-7,200.0,41.5,0.0,-17.000000000000004,-58.10810810810811,200.0,795056.0
300.0,1.245833738,2.5624502150117523E-7,300.0,38.666666666666664,0.0,-26.027397260273965,-71.96261682242991,300.0,795056.0
400.0,1.544683427,3.177128904853306E-7,400.0,38.0,0.0,-31.914893617021285,-73.4265734265734,400.0,795056.0
500.0,1.832572826,3.7692642997025617E-7,500.0,37.4,0.0,-28.80658436213992,-75.84269662921349,500.0,795056.0
600.0,2.126049332,4.372891343153682E-7,600.0,36.333333333333336,0.0,-32.63888888888889,-82.77511961722486,600.0,795056.0
700.0,2.403840847,4.944257253088761E-7,700.0,35.85714285714286,0.0,-34.029850746268664,-85.5371900826446,700.0,795056.0
800.0,2.691793673,5.536523105578414E-7,800.0,36.875,0.0,-32.89473684210527,-76.57342657342654,800.0,795056.0
900.0,2.953511621,6.074828652835181E-7,900.0,36.333333333333336,0.0,-36.10451306413302,-80.18867924528298,900.0,795056.0
1000.0,3.20943636,6.601218637689948E-7,1000.0,37.3,0.0,-32.27848101265823,-72.25274725274727,1000.0,795056.0
1100.0,3.856508883,7.942010655425489E-7,1100.0,39.63636363636363,0.08207934336525612,-26.95984703632887,-65.58603491271823,1100.0,800960.0
1200.0,4.158478135,8.567717895791762E-7,1200.0,42.0,1.323251417769366,-22.31985940246047,-60.739030023094685,1200.0,800960.0
1300.0,4.48581079,9.245980370812945E-7,1300.0,43.07692307692308,-0.22921441967075729,-19.547657512116313,-55.13626834381551,1300.0,800960.0
1400.0,4.782106491,9.859931507152815E-7,1400.0,44.714285714285715,0.4044117647058772,-16.390977443609035,-51.467710371819976,1400.0,800960.0
1500.0,5.034502335,1.0382918221804003E-6,1500.0,45.93333333333333,0.40933278755627567,-13.426573426573427,-47.99270072992703,1500.0,800960.0
1600.0,5.276840888,1.0885065331907735E-6,1600.0,46.5,-0.7651559741024072,-11.749347258485633,-44.35075885328836,1600.0,800960.0
1700.0,5.550477437,1.145206468301432E-6,1700.0,47.76470588235294,0.01324678765400686,-10.037174721189583,-42.079999999999984,1700.0,800960.0
1800.0,5.830498742,1.2032293818381096E-6,1800.0,48.44444444444444,-0.31227480182560013,-7.1593533487297805,-39.54887218045112,1800.0,800960.0
1900.0,6.112011491,1.2615613358824615E-6,1900.0,49.05263157894737,-0.5796784425243132,-5.217391304347833,-37.304964539007074,1900.0,800960.0
2000.0,6.390683339,1.319304629885074E-6,2000.0,49.8,-0.40000000000000036,-4.474505723204987,-35.492577597840736,2000.0,800960.0
2100.0,6.692214336,1.381784543574353E-6,2100.0,49.19047619047619,-0.5438440621382283,-5.853174603174608,-36.970474967907585,2100.0,800960.0
2200.0,6.974588371,1.4402949637647302E-6,2200.0,49.45454545454545,0.908527521133488,-4.2174320524835975,-33.33333333333331,2200.0,800960.0
2300.0,7.255834722,1.4985717177659271E-6,2300.0,48.82608695652174,0.6160330117332689,-5.845323741007183,-35.443037974683534,2300.0,800960.0
2400.0,7.53690735,1.556812474811077E-6,2400.0,48.625,0.9777742084445926,-6.568712186689717,-35.04928806133626,2400.0,800960.0
2500.0,7.815340328,1.614506272817817E-6,2500.0,48.559999999999995,1.4616773276039061,-5.930807248764413,-33.958333333333336,2500.0,800960.0
2600.0,8.149357702,1.6837176537566713E-6,2600.0,48.23076923076923,1.4666257471795028,-7.507987220447271,-34.60000000000001,2600.0,800960.0
2700.0,8.486750687,1.7536284914214577E-6,2700.0,47.96296296296296,1.5186915887850367,-7.662835249042158,-34.966378482228635,2700.0,800960.0
2800.0,8.802913618,1.8191402724229626E-6,2800.0,48.035714285714285,1.996632186673082,-7.698001480384888,-33.36388634280475,2800.0,800960.0
2900.0,9.08591061,1.877779774863521E-6,2900.0,47.758620689655174,1.9505010154210134,-8.21428571428572,-33.9522546419098,2900.0,800960.0
