learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.090443246,7.115156838777993E-9,100.0,100.0,?,?,?,100.0,304096.0
200.0,0.191855251,1.5659698186870664E-8,200.0,96.0,53.703703703703674,-100.0,-33.33333333333333,200.0,325688.0
300.0,0.25042795,2.0597813586747895E-8,300.0,91.66666666666666,26.122931442080354,-525.0000000000014,-316.66666666666646,300.0,325888.0
400.0,0.288037116,2.376893597546758E-8,400.0,91.5,20.671955202986478,-749.999999999999,-466.6666666666659,400.0,325928.0
500.0,0.318278562,2.6319078724928612E-8,500.0,89.60000000000001,13.7244491637909,-766.6666666666657,-549.9999999999993,500.0,325960.0
600.0,0.348252779,2.884786576039882E-8,600.0,88.66666666666667,14.572864321608103,-750.0000000000013,-579.9999999999976,600.0,326112.0
700.0,0.377216649,3.1297288950894855E-8,700.0,88.28571428571429,20.07352122089791,-583.3333333333337,-272.72727272727207,700.0,326896.0
800.0,0.405129099,3.366357219069161E-8,800.0,88.5,62.344466273739364,-607.6923076923082,24.590163934426222,800.0,327696.0
900.0,0.433418363,3.60627952183514E-8,900.0,88.55555555555556,69.44708115804461,-267.8571428571432,48.75621890547264,900.0,327832.0
1000.0,0.465021431,3.874365185183577E-8,1000.0,89.0,72.59195399434897,-71.87500000000013,57.19844357976655,1000.0,327904.0
1100.0,0.722867661,6.065971436058689E-8,1100.0,83.81818181818181,60.134378499440075,-85.4166666666667,45.230769230769205,1100.0,328552.0
1200.0,0.766554868,6.437343212817899E-8,1200.0,82.33333333333334,55.675890402366754,-81.1965811965811,40.94707520891367,1200.0,328592.0
1300.0,0.807748451,6.787517443681136E-8,1300.0,79.07692307692308,48.14595388861352,-117.60000000000002,35.08353221957041,1300.0,328592.0
1400.0,0.845331548,7.107077803668255E-8,1400.0,76.35714285714286,42.15222677725238,-128.2758620689656,30.753138075313803,1400.0,328672.0
1500.0,0.881184542,7.411934919134403E-8,1500.0,74.13333333333333,37.43348276195696,-116.75977653631296,27.47663551401868,1500.0,328680.0
1600.0,0.907841892,7.638618253643934E-8,1600.0,72.0625,33.3310961217938,-100.44843049327355,24.74747474747473,1600.0,328704.0
1700.0,0.929711626,7.824603214461977E-8,1700.0,70.23529411764706,29.900791936879738,-110.83333333333323,22.511485451761118,1700.0,328728.0
1800.0,0.954135791,8.03232677500012E-8,1800.0,69.27777777777779,27.806788511749343,-94.71830985915489,21.000000000000004,1800.0,328752.0
1900.0,0.977485422,8.230921263115894E-8,1900.0,67.3157894736842,24.71805158909416,-105.62913907284772,19.14062499999999,1900.0,328768.0
2000.0,0.999263455,8.416157929101959E-8,2000.0,66.95,23.58593518792542,-97.90419161676644,18.193069306930695,2000.0,328784.0
2100.0,1.029157532,8.670420764400314E-8,2100.0,65.0,20.92693002840177,-98.11320754716984,16.66666666666668,2100.0,328776.0
