learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.555413553,1.1423832369398324E-7,100.0,56.00000000000001,3.0409872190392555,12.00000000000001,-4.76190476190474,100.0,795056.0
200.0,1.033492762,2.1257039919719927E-7,200.0,53.5,6.155398587285586,3.1250000000000027,0.0,200.0,795056.0
300.0,1.364855091,2.807255185597514E-7,300.0,56.99999999999999,14.403255772803671,13.99999999999999,6.5217391304347645,300.0,795056.0
400.0,1.713775595,3.524920306733292E-7,400.0,57.25,14.61100569259963,18.181818181818187,8.064516129032254,400.0,795056.0
500.0,2.022408145,4.159720537281492E-7,500.0,55.800000000000004,11.404380872967524,12.648221343873528,5.555555555555561,500.0,795056.0
600.0,2.866348313,6.01610175193395E-7,600.0,54.50000000000001,9.000000000000007,9.000000000000007,2.8469750889679895,600.0,850272.0
700.0,3.227880793,6.811350194663265E-7,700.0,53.57142857142857,7.301768397033648,9.470752089136484,-0.6191950464396359,700.0,850272.0
800.0,3.573589521,7.571791767104923E-7,800.0,52.87500000000001,5.848858698366725,6.683168316831694,-1.6172506738544368,800.0,850272.0
900.0,3.910953994,8.313878817721912E-7,900.0,52.44444444444445,4.956475395274491,4.677060133630308,-1.6627078384798089,900.0,850272.0
1000.0,4.25179609,9.063615455659934E-7,1000.0,53.0,6.015037593984962,4.8582995951417045,-0.21321961620469104,1000.0,850272.0
1100.0,4.657018088,9.954982745403176E-7,1100.0,53.27272727272727,6.563060844733398,4.104477611940302,-0.7843137254902011,1100.0,850288.0
1200.0,5.072544106,1.086901579965622E-6,1200.0,54.333333333333336,8.690762159985557,5.190311418685126,2.1428571428571446,1200.0,850288.0
1300.0,5.42587801,1.1646244790030229E-6,1300.0,53.38461538461539,6.799010966909981,3.349282296650724,1.30293159609121,1300.0,850288.0
1400.0,5.754153451,1.236835265085134E-6,1400.0,53.92857142857142,7.862407862407847,4.302670623145395,4.0178571428571335,1400.0,850288.0
1500.0,6.077855745,1.3080400955016827E-6,1500.0,54.06666666666666,8.135293113746899,4.570637119113555,4.965517241379292,1500.0,850288.0
1600.0,6.435523177,1.38672216303048E-6,1600.0,53.625,7.251159360507992,3.3854166666666643,3.8860103626943094,1600.0,850352.0
1700.0,6.765726166,1.459362419185278E-6,1700.0,53.764705882352935,7.535170819810531,4.029304029304028,4.029304029304028,1700.0,850352.0
