learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.132265958,1.4392616723403334E-8,100.0,52.0,2.399349328995533,4.0000000000000036,-6.666666666666673,100.0,420624.0
200.0,0.498431491,5.482525334467076E-8,200.0,51.5,2.1388216303470644,2.020202020202022,-3.1914893617021307,200.0,426832.0
300.0,0.574253648,6.320159117775865E-8,300.0,57.333333333333336,13.746630727762795,15.789473684210531,5.1851851851851825,300.0,427032.0
400.0,0.630902855,6.946475057356886E-8,400.0,60.25,17.56959925346053,22.439024390243915,8.092485549132956,400.0,427368.0
500.0,0.682252035,7.514438109467426E-8,500.0,60.6,17.18513536236757,21.51394422310757,9.21658986175116,500.0,427552.0
600.0,0.731541819,8.059745005120832E-8,600.0,61.16666666666667,17.938483212021605,22.073578595317723,11.068702290076338,600.0,427648.0
700.0,0.784469564,8.645551638747047E-8,700.0,61.857142857142854,19.954430986928877,23.714285714285708,14.147909967845655,700.0,427832.0
800.0,0.828055502,9.128152169356535E-8,800.0,62.125,20.543347144280684,24.81389578163771,15.363128491620106,800.0,428000.0
900.0,0.865237705,9.540471359937968E-8,900.0,62.22222222222222,21.819110884006136,24.77876106194691,17.475728155339798,900.0,428648.0
1000.0,0.919099042,1.0138138194024148E-7,1000.0,63.1,23.33264076459588,26.052104208416832,19.256017505470453,1000.0,428928.0
1100.0,0.964400237,1.064121205880824E-7,1100.0,62.45454545454545,23.47471616750329,24.909090909090903,20.27027027027027,1100.0,429264.0
1200.0,1.010912743,1.1158122691919406E-7,1200.0,62.16666666666667,23.01605245308615,23.82550335570471,20.070422535211282,1200.0,429584.0
1300.0,1.048901641,1.1580668987184763E-7,1300.0,60.61538461538461,19.60032082564286,21.351766513056834,16.61237785016287,1300.0,429952.0
1400.0,1.102279181,1.2174933791417216E-7,1400.0,59.357142857142854,16.55143515608631,19.74612129760225,13.394216133942155,1400.0,430352.0
1500.0,1.148593715,1.2691139592742756E-7,1500.0,57.8,13.672714577173586,16.819973718791058,10.719322990126932,1500.0,430832.0
1600.0,1.185172896,1.3099095906856162E-7,1600.0,56.99999999999999,11.477097272259385,14.745972738537787,8.266666666666657,1600.0,431104.0
1700.0,1.220803493,1.3496649935524499E-7,1700.0,56.41176470588235,10.286212407380502,13.130128956623677,7.142857142857127,1700.0,431296.0
1800.0,1.257430528,1.3905481066373282E-7,1800.0,55.833333333333336,9.778019882881667,12.05752212389381,7.017543859649121,1800.0,431464.0
1900.0,1.296079492,1.4336992961257492E-7,1900.0,55.89473684210526,9.765521837741167,12.343096234309622,6.992230854606005,1900.0,431576.0
2000.0,1.332203184,1.4740497346275178E-7,2000.0,56.05,10.45104555280944,12.362911266201394,7.95811518324608,2000.0,431776.0
2100.0,1.369162283,1.5153333290973265E-7,2100.0,55.952380952380956,10.576508759589148,12.072243346007602,8.325074331020819,2100.0,431776.0
2200.0,1.411640698,1.5627899537069518E-7,2200.0,56.04545454545454,10.494907541416195,12.882882882882873,8.167141500474829,2200.0,431848.0
2300.0,1.453520686,1.6095901538526434E-7,2300.0,56.173913043478265,11.007658623167496,12.953367875647674,8.860759493670894,2300.0,431960.0
2400.0,1.495035366,1.656004467241011E-7,2400.0,56.375,11.533586818757922,13.11203319502074,9.507346585998262,2400.0,432168.0
2500.0,1.532950503,1.6984658205608943E-7,2500.0,55.36,9.669448459135621,10.862619808306711,7.768595041322307,2500.0,432896.0
2600.0,1.568994364,1.738847187724275E-7,2600.0,54.50000000000001,8.250367499665924,8.85978428351311,6.556082148499215,2600.0,433064.0
2700.0,1.607749689,1.782284763453218E-7,2700.0,53.925925925925924,7.02911692608166,7.851851851851843,5.3272450532724465,2700.0,433248.0
2800.0,1.641638366,1.820285959233613E-7,2800.0,53.607142857142854,6.010160784333978,7.015032211882589,4.1328413284132655,2800.0,433456.0
2900.0,1.677147533,1.860102092888662E-7,2900.0,53.310344827586206,5.353073578548559,6.8775790921595625,3.49251603706344,2900.0,433432.0
3000.0,1.711836104,1.8990052782396684E-7,3000.0,53.0,4.596551672808119,6.436629064366301,2.6915113871635636,3000.0,433512.0
3100.0,1.745299773,1.9365361227902275E-7,3100.0,52.96774193548387,4.481333939156989,6.418485237483948,2.605210420841682,3100.0,433528.0
3200.0,1.779297003,1.9746695990158869E-7,3200.0,52.96875,4.315346101883499,6.405472636815918,2.3994811932555185,3200.0,433576.0
3300.0,1.816072331,2.0159222127649935E-7,3300.0,53.03030303030303,4.44456981748632,6.570223025919226,2.576995600251419,3300.0,433608.0
3400.0,1.859532062,2.0646730355063455E-7,3400.0,52.852941176470594,4.312486744693304,6.2573099415204725,2.6123936816524997,3400.0,433608.0
3500.0,1.904381616,2.114986600860105E-7,3500.0,53.08571428571428,4.588136853848997,6.492027334851927,2.8402366863905253,3500.0,433640.0
3600.0,1.947506805,2.163367507245847E-7,3600.0,53.0,4.599138460304772,6.156405990016648,2.9816513761467967,3600.0,433656.0
