learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.197972949,1.9680264417792557E-5,100.0,100.0,?,?,?,100.0,2.3788032E7
200.0,7.362905301,4.705362149087866E-5,200.0,98.0,59.01639344262287,0.0,33.33333333333333,200.0,2.5405192E7
300.0,11.583273802,7.48066179651294E-5,300.0,98.66666666666667,59.3495934959351,0.0,33.33333333333352,300.0,2.54192E7
400.0,15.384582172,9.981056098692306E-5,400.0,99.0,59.51417004048588,0.0,33.33333333333333,400.0,2.5425984E7
500.0,19.144812775,1.2454944219766065E-4,500.0,98.8,49.46091644204845,0.0,25.0,500.0,2.5431264E7
600.0,22.843661049,1.488906232120572E-4,600.0,98.66666666666667,42.3076923076929,0.0,20.0000000000004,600.0,2.543768E7
700.0,26.605993448,1.736637408533714E-4,700.0,97.28571428571429,28.800856531049252,-58.333333333333435,13.636363636363779,700.0,2.5452232E7
800.0,30.621960291,2.0015434242123147E-4,800.0,85.125,5.16039051603899,-815.3846153846164,2.459016393442571,800.0,2.549788E7
900.0,34.705177191,2.2710696083534665E-4,900.0,78.0,2.8300343530181626,-607.1428571428576,1.4925373134328699,900.0,2.5515312E7
1000.0,38.614521331,2.5292156759217473E-4,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,1000.0,2.5524896E7
1100.0,42.828627928,2.807599791438954E-4,1100.0,72.0909090909091,7.8581173260573305,-219.7916666666666,5.538461538461537,1100.0,2.553532E7
1200.0,46.412874441,3.0444425959265354E-4,1200.0,72.66666666666667,11.88835609998523,-180.34188034188023,8.635097493036223,1200.0,2.5542576E7
1300.0,49.990609561,3.2808997843454155E-4,1300.0,71.07692307692308,13.561689861889691,-200.79999999999995,10.262529832935572,1300.0,2.55474E7
1400.0,53.627355406,3.521349044096203E-4,1400.0,70.64285714285714,17.780737201287167,-183.4482758620691,14.01673640167363,1400.0,2.5557176E7
1500.0,57.247262723,3.760734218676108E-4,1500.0,69.19999999999999,16.981132075471685,-158.10055865921802,13.644859813084103,1500.0,2.5562432E7
1600.0,60.873429141,4.0005747349578115E-4,1600.0,67.875,16.43838956943009,-130.49327354260086,13.468013468013451,1600.0,2.5566848E7
1700.0,64.461516597,4.2379288013183626E-4,1700.0,66.76470588235294,16.32721329983519,-135.4166666666666,13.47626339969372,1700.0,2.5570312E7
1800.0,68.128103638,4.4805812152558304E-4,1800.0,66.38888888888889,16.3594470046083,-113.0281690140845,13.571428571428553,1800.0,2.558144E7
1900.0,71.855133523,4.727266480723393E-4,1900.0,65.89473684210526,18.275230332156216,-114.56953642384109,15.624999999999995,1900.0,2.558484E7
2000.0,75.585238083,4.974188371422492E-4,2000.0,66.35,19.629891470498325,-101.49700598802391,16.707920792079207,2000.0,2.5588176E7
2100.0,79.61430599,5.240957954230355E-4,2100.0,67.0952380952381,24.622567414259557,-86.25336927223722,21.655328798185952,2100.0,2.559376E7
2200.0,83.357448341,5.488818904527302E-4,2200.0,67.95454545454545,28.924938135826228,-77.1356783919598,26.178010471204193,2200.0,2.559612E7
2300.0,87.038552735,5.73259837814452E-4,2300.0,68.69565217391305,31.664280143438994,-76.90417690417686,29.064039408867004,2300.0,2.5598904E7
2400.0,90.670376332,5.973163861792048E-4,2400.0,68.79166666666666,32.42328825211796,-73.78190255220422,29.868913857677885,2400.0,2.5604184E7
2500.0,94.460789486,6.224260234530383E-4,2500.0,69.48,34.315462088572026,-66.23093681917214,31.753130590339897,2500.0,2.5606856E7
2600.0,98.205939161,6.472395249898136E-4,2600.0,69.1923076923077,35.8153296144482,-74.5098039215686,34.236453201970455,2600.0,2.5610688E7
2700.0,101.961408678,6.721257531849035E-4,2700.0,69.22222222222221,37.56191769538162,-81.04575163398691,36.94992412746584,2700.0,2.5615168E7
2800.0,105.729478576,6.970988097744114E-4,2800.0,69.71428571428572,39.85498729416342,-84.74945533769062,38.63965267727931,2800.0,2.5618584E7
2900.0,109.671395566,7.232305317436393E-4,2900.0,69.72413793103448,40.88601787860158,-91.28540305010898,36.46888567293776,2900.0,2.5624944E7
3000.0,113.823286778,7.507582602051132E-4,3000.0,69.33333333333334,40.9699408672799,-100.43572984749451,33.42981186685962,3000.0,2.5628712E7
3100.0,118.275814291,7.802830354252451E-4,3100.0,70.0,42.815137584835114,-102.61437908496734,32.706222865412435,3100.0,2.5631992E7
3200.0,123.008633838,8.1166817475491E-4,3200.0,69.71875,42.73345793287876,-109.28725701943851,30.18731988472621,3200.0,2.5633416E7
3300.0,127.179262453,8.393278778174817E-4,3300.0,69.75757575757576,42.892060897101345,-110.9936575052854,29.767769176636193,3300.0,2.5635888E7
3400.0,131.61154374,8.687239955917377E-4,3400.0,69.85294117647058,43.31493603452438,-114.88469601677156,28.17098808689557,3400.0,2.5636872E7
3500.0,135.626880115,8.95355824695097E-4,3500.0,70.14285714285714,43.74298998432956,-115.02057613168719,29.008152173913043,3500.0,2.563784E7
3600.0,139.647511865,9.220243981378788E-4,3600.0,70.58333333333333,44.48715708544469,-114.80730223123736,30.099009900990087,3600.0,2.56394E7
3700.0,143.786010706,9.494775166956537E-4,3700.0,71.0,45.175783828451195,-115.8953722334005,31.262011531069824,3700.0,2.564196E7
3800.0,147.786479693,9.760162929116449E-4,3800.0,71.36842105263158,45.90414681664798,-110.03861003861009,31.356466876971616,3800.0,2.5643208E7
3900.0,151.535438854,0.0010008874429993232,3900.0,71.28205128205128,45.71438158763064,-109.34579439252342,31.58216249236408,3900.0,2.5644104E7
4000.0,155.352176229,0.0010262097920246196,4000.0,71.275,45.907673013060304,-114.76635514018687,29.81062919975565,4000.0,2.5645672E7
4100.0,159.222859891,0.0010518927662447443,4100.0,70.60975609756098,44.917049458145634,-124.39478584729984,26.836672738312078,4100.0,2.5648384E7
4200.0,162.992539931,0.0010769062890129424,4200.0,70.69047619047619,45.10737728310502,-125.04570383912244,26.199040767386094,4200.0,2.5649136E7
4300.0,166.765564541,0.0011019435271988646,4300.0,70.53488372093022,44.961793194299084,-131.20437956204378,24.131736526946103,4300.0,2.5650696E7
4400.0,170.415744741,0.0011261664415400602,4400.0,70.72727272727273,45.250199785761644,-130.8243727598566,24.590163934426233,4400.0,2.56516E7
