learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.460684464,9.475429728885492E-8,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,0.850706598,1.7497465660678845E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,1.134674929,2.3338170472507262E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.441942399,2.965809560016998E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,1.69019352,3.476416327983141E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,2.746752748,5.797775670246946E-7,600.0,29.833333333333336,0.0,-80.68669527896996,-136.5168539325843,600.0,849280.0
700.0,3.041464568,6.445285074833367E-7,700.0,29.714285714285715,0.0,-76.97841726618705,-137.68115942028987,700.0,849280.0
800.0,3.393048605,7.217748053956364E-7,800.0,29.625,0.0,-77.602523659306,-138.55932203389827,800.0,849280.0
900.0,3.669671652,7.825514734158915E-7,900.0,29.555555555555557,0.0,-78.59154929577463,-139.24528301886795,900.0,849280.0
1000.0,3.940664019,8.420910284305614E-7,1000.0,29.9,0.0,-75.6892230576441,-135.23489932885903,1000.0,849280.0
1100.0,4.533492396,9.723409618784986E-7,1100.0,29.454545454545457,0.0,-77.57437070938217,-140.2476780185759,1100.0,849280.0
1200.0,4.812499418,1.0336414114806388E-6,1200.0,29.166666666666668,0.0,-78.94736842105262,-143.5530085959885,1200.0,849280.0
1300.0,5.09260426,1.095183062394129E-6,1300.0,30.0,0.0,-75.33718689788053,-133.93316195372756,1300.0,849280.0
1400.0,5.354674454,1.1527623326374426E-6,1400.0,30.428571428571427,0.0,-71.1775043936731,-129.17647058823528,1400.0,849280.0
1500.0,5.666599953,1.2212952792063357E-6,1500.0,30.06666666666667,0.0,-73.96351575456052,-133.11111111111106,1500.0,849280.0
1600.0,6.597964522,1.4259247771090934E-6,1600.0,30.1875,0.0,-72.11093990755008,-131.7427385892116,1600.0,849280.0
1700.0,6.856471632,1.4827212045063578E-6,1700.0,29.764705882352942,0.0,-73.79912663755455,-136.43564356435638,1700.0,849280.0
1800.0,7.11386447,1.5392728159341551E-6,1800.0,29.61111111111111,0.0,-74.27785419532327,-138.1578947368421,1800.0,849280.0
1900.0,7.387689736,1.5994347853279781E-6,1900.0,29.63157894736842,0.0,-74.54308093994776,-137.90035587188615,1900.0,849280.0
2000.0,7.699621569,1.6679691235358522E-6,2000.0,29.5,0.0,-74.5049504950495,-139.38879456706283,2000.0,849280.0
2100.0,8.636187722,1.8737414580437878E-6,2100.0,29.04761904761905,0.0,-76.74970344009488,-144.66338259441704,2100.0,849280.0
2200.0,8.927894898,1.937832250142098E-6,2200.0,29.363636363636363,0.0,-76.1904761904762,-140.9302325581395,2200.0,849280.0
2300.0,9.199278965,1.99745786530657E-6,2300.0,29.347826086956523,0.0,-76.63043478260867,-141.09792284866472,2300.0,849280.0
2400.0,9.504257983,2.0644646050961485E-6,2400.0,29.375,0.0,-76.37877211238295,-140.76704545454547,2400.0,849280.0
2500.0,9.812056112,2.1320907299124536E-6,2500.0,29.32,0.0,-75.82089552238804,-141.39344262295086,2500.0,849280.0
2600.0,10.959584974,2.3842135426925292E-6,2600.0,29.423076923076923,0.0,-73.60454115421004,-140.18324607329842,2600.0,849280.0
2700.0,11.254432866,2.448994379440944E-6,2700.0,29.444444444444446,0.0,-71.77637511271415,-139.92443324937028,2700.0,849280.0
2800.0,11.537697576,2.511230282877883E-6,2800.0,29.428571428571427,0.0,-72.27550130775936,-140.09720534629406,2800.0,849280.0
2900.0,11.822321878,2.573764901380407E-6,2900.0,29.310344827586203,0.0,-72.12426532325776,-141.4605418138987,2900.0,849280.0
3000.0,12.138929289,2.643326507760585E-6,3000.0,29.233333333333334,0.0,-71.34786117836964,-142.35159817351595,3000.0,849280.0
3100.0,13.527498507,2.948408138885598E-6,3100.0,29.419354838709676,0.0,-70.40498442367603,-140.17563117453352,3100.0,849280.0
3200.0,13.782975744,3.0045388748755064E-6,3200.0,29.593750000000004,0.0,-69.90950226244341,-138.16067653276954,3200.0,849280.0
3300.0,14.076179579,3.068958496939971E-6,3300.0,29.666666666666668,0.0,-70.16129032258064,-137.321063394683,3300.0,849280.0
3400.0,14.352944646,3.129766368081173E-6,3400.0,29.64705882352941,0.0,-70.85714285714288,-137.53723932472695,3400.0,849280.0
3500.0,14.626355361,3.189837256746988E-6,3500.0,29.714285714285715,0.0,-70.47817047817048,-136.76612127045237,3500.0,849280.0
3600.0,16.096851417,3.5129189796542133E-6,3600.0,29.86111111111111,0.0,-69.91924629878868,-135.1024208566108,3600.0,849280.0
3700.0,16.393582431,3.578113555900753E-6,3700.0,30.08108108108108,0.0,-69.19555264879006,-132.6438848920863,3700.0,849280.0
3800.0,16.67106301,3.6390786317136554E-6,3800.0,29.947368421052634,0.0,-70.42253521126761,-134.1248900615655,3800.0,849280.0
3900.0,16.951896196,3.7007803066091405E-6,3900.0,29.97435897435897,0.0,-69.73275326289621,-133.81849315068493,3900.0,849280.0
4000.0,17.227401332,3.7613113591376277E-6,4000.0,30.0,0.0,-69.38898971566849,-133.52793994995832,4000.0,849280.0
4100.0,18.794147914,4.105540221912331E-6,4100.0,30.21951219512195,0.0,-68.19517930629041,-131.0985460420032,4100.0,849280.0
4200.0,19.120365575,4.17721329000973E-6,4200.0,30.214285714285715,0.0,-68.06192660550461,-131.15141955835963,4200.0,849280.0
4300.0,19.421467191,4.243368128351867E-6,4300.0,30.162790697674417,0.0,-69.18309859154932,-131.71296296296296,4300.0,849280.0
4400.0,19.751107985,4.315793290753E-6,4400.0,30.25,0.0,-68.53377265238882,-130.75187969924815,4400.0,849280.0
4500.0,20.127523638,4.3984953267117335E-6,4500.0,30.288888888888888,0.0,-67.93361884368309,-130.32305433186494,4500.0,849280.0
4600.0,21.875554231,4.782553980508611E-6,4600.0,30.26086956521739,0.0,-67.51958224543083,-130.6254493170381,4600.0,849280.0
4700.0,22.205378152,4.8550193776226696E-6,4700.0,30.404255319148938,0.0,-66.71763506625891,-129.06162464985997,4700.0,849280.0
4800.0,22.592777351,4.940134601261052E-6,4800.0,30.541666666666668,0.0,-65.70576540755467,-127.57679180887374,4800.0,849280.0
4900.0,22.925995209,5.013345678044855E-6,4900.0,30.551020408163264,0.0,-65.19417475728153,-127.47326203208556,4900.0,849280.0
5000.0,23.216402796,5.077150938297311E-6,5000.0,30.56,0.0,-65.64885496183206,-127.37393582187295,5000.0,849280.0
5100.0,25.432564011,5.564062263670066E-6,5100.0,30.686274509803923,0.0,-65.03267973856207,-126.02301790281332,5100.0,849280.0
