learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.462996862,9.522991490712597E-8,100.0,56.00000000000001,3.0409872190392555,12.00000000000001,-4.76190476190474,100.0,795056.0
200.0,1.319275794,2.8336594112686814E-7,200.0,56.00000000000001,11.254538120209775,8.333333333333341,5.37634408602151,200.0,849296.0
300.0,1.806836566,3.9048961631815466E-7,300.0,59.333333333333336,18.969181721572795,18.666666666666675,11.594202898550728,300.0,849296.0
400.0,2.358437961,5.116838798161224E-7,400.0,57.99999999999999,16.098584163607747,19.61722488038277,9.677419354838696,400.0,849296.0
500.0,2.936984777,6.387984156019034E-7,500.0,57.199999999999996,14.214703760121857,15.41501976284584,8.547008547008533,500.0,849296.0
600.0,3.505278292,7.636625152039321E-7,600.0,56.99999999999999,13.99999999999999,13.99999999999999,8.185053380782916,600.0,849312.0
700.0,4.249341781,9.271463754776659E-7,700.0,56.42857142857143,13.065784973207156,15.041782729805009,5.572755417956651,700.0,849312.0
800.0,5.046882016,1.1023800192042979E-6,800.0,56.875,13.96079604967829,14.6039603960396,7.0080862533692665,800.0,849312.0
900.0,5.795164799,1.2667909327214004E-6,900.0,56.888888888888886,13.927395342417137,13.585746102449898,7.8384798099762385,900.0,849312.0
1000.0,6.577709936,1.4387298891767652E-6,1000.0,58.099999999999994,16.33052438196413,15.182186234817804,10.660980810234529,1000.0,849312.0
1100.0,7.372353181,1.6133270131502094E-6,1100.0,56.99999999999999,14.258499993408302,11.753731343283578,7.2549019607843,1100.0,849312.0
1200.0,8.1907038,1.7931330649581344E-6,1200.0,57.41666666666667,15.057487186590949,11.591695501730118,8.750000000000012,1200.0,849312.0
1300.0,9.215360173,2.0182681263992727E-6,1300.0,57.38461538461539,14.92327501683345,11.642743221690603,9.771986970684052,1300.0,849312.0
1400.0,10.180597653,2.230347809980267E-6,1400.0,57.714285714285715,15.492555636446701,12.166172106824934,11.90476190476191,1400.0,849312.0
1500.0,11.201227179,2.4545981021751997E-6,1500.0,58.333333333333336,16.69450921292084,13.434903047091412,13.79310344827586,1500.0,849312.0
1600.0,12.430510025,2.7246932056218918E-6,1600.0,58.56249999999999,17.112825946310856,13.671874999999986,14.119170984455955,1600.0,849312.0
1700.0,13.666359217,2.9962310509956415E-6,1700.0,59.235294117647065,18.44349680170577,15.384615384615403,15.384615384615403,1700.0,849312.0
1800.0,14.954693547,3.2793008060707686E-6,1800.0,59.611111111111114,19.19049700993725,16.4367816091954,16.244239631336413,1800.0,849312.0
1900.0,16.351245682,3.5861479198972672E-6,1900.0,59.36842105263158,18.752776463784954,15.904139433551206,15.812431842966198,1900.0,849312.0
2000.0,17.79208458,3.902725615967491E-6,2000.0,59.3,18.58045931023445,15.822130299896589,15.560165975103727,2000.0,849312.0
2100.0,19.282643094,4.230239927295922E-6,2100.0,59.42857142857143,18.793208621390807,16.878048780487816,15.139442231075709,2100.0,849344.0
2200.0,20.806476221,4.565065532920456E-6,2200.0,59.54545454545455,19.055387116164198,17.28624535315986,15.958451369216236,2200.0,849344.0
2300.0,22.373294094,4.909342485946301E-6,2300.0,59.56521739130435,19.090790799575146,17.699115044247797,15.913200723327309,2300.0,849360.0
2400.0,23.960817073,5.258182114916647E-6,2400.0,59.958333333333336,19.894860267517274,18.902953586497897,17.1551724137931,2400.0,849392.0
2500.0,25.638771707,5.626899989047055E-6,2500.0,60.24,20.47470679648438,19.383617193836177,18.25657894736844,2500.0,849408.0
2600.0,27.330629839,5.998673051989878E-6,2600.0,60.15384615384616,20.317876531756898,18.681318681318686,17.908082408874815,2600.0,849408.0
2700.0,29.186359071,6.406463234345454E-6,2700.0,60.370370370370374,20.745611243643747,19.729932483120795,18.569254185692554,2700.0,849424.0
2800.0,31.23229528,6.856050752486131E-6,2800.0,60.464285714285715,20.930507824298175,20.01445086705203,18.722466960352424,2800.0,849424.0
2900.0,33.178777614,7.283783620108366E-6,2900.0,60.827586206896555,21.65517241379311,20.224719101123608,19.14590747330962,2900.0,849424.0
3000.0,35.14126362,7.715033240180636E-6,3000.0,61.16666666666667,22.327119502893563,21.177266576454677,19.48859709744298,3000.0,849424.0
3100.0,37.460998666,8.224796722692258E-6,3100.0,61.41935483870967,22.838709677419345,22.03389830508474,20.106880427521702,3100.0,849440.0
3200.0,39.771696199,8.732574205075086E-6,3200.0,61.46875000000001,22.93503151272816,22.060682680151718,19.93506493506494,3200.0,849440.0
3300.0,42.268378586,9.281242664507923E-6,3300.0,61.66666666666667,23.328489439920546,22.487745098039216,20.03792667509482,3300.0,849472.0
