learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.139455154,1.5174914331510664E-8,100.0,52.0,2.399349328995533,4.0000000000000036,-6.666666666666673,100.0,420624.0
200.0,0.601762348,6.56266415835917E-8,200.0,54.0,7.230009075325208,7.070707070707077,2.1276595744680873,200.0,421840.0
300.0,0.696248443,7.594282711619512E-8,300.0,59.0,17.167998563347385,19.078947368421044,8.888888888888873,300.0,422040.0
400.0,0.77438352,8.448089017404452E-8,400.0,61.75000000000001,20.864797765594307,25.365853658536597,11.560693641618508,400.0,422392.0
500.0,0.837679761,9.140100438964451E-8,500.0,62.4,21.22684991200871,25.099601593625497,13.364055299539181,500.0,422608.0
600.0,0.886289639,9.671668058408219E-8,600.0,62.66666666666667,21.348314606741585,25.08361204013378,14.503816793893135,600.0,422704.0
700.0,0.932837411,1.018090733128331E-7,700.0,62.71428571428571,21.921742252004304,25.428571428571423,16.07717041800642,700.0,422888.0
800.0,0.971726152,1.0606524728438095E-7,800.0,62.375,21.167042061704475,25.31017369727048,15.921787709497215,800.0,423056.0
900.0,1.011688925,1.1044533702290516E-7,900.0,61.33333333333333,19.9632014719411,23.00884955752212,15.53398058252425,900.0,423672.0
1000.0,1.064975802,1.1628900338118898E-7,1000.0,61.8,20.573864227050624,23.44689378757515,16.411378555798677,1000.0,423904.0
1100.0,1.128962679,1.2331190422138202E-7,1100.0,60.72727272727273,19.897511968174776,21.45454545454546,16.602316602316613,1100.0,424256.0
1200.0,1.207515364,1.3193933276540498E-7,1200.0,60.416666666666664,19.38814185424244,20.302013422818792,16.37323943661972,1200.0,424544.0
1300.0,1.271277398,1.389486407185077E-7,1300.0,59.23076923076923,16.679565814677947,18.58678955453149,13.680781758957657,1300.0,424928.0
1400.0,1.335273388,1.4599002469267904E-7,1400.0,58.285714285714285,14.203263550028844,17.630465444287733,11.111111111111112,1400.0,425312.0
1500.0,1.399139711,1.5302560099781181E-7,1500.0,57.199999999999996,12.302270305712643,15.637319316688561,9.449929478138214,1500.0,425824.0
