learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,9.555868313,9.777728893864124E-6,1000.0,34.9,0.0,-42.139737991266394,-86.5329512893983,1000.0,3955216.0
2000.0,19.173354848,1.9633196063802732E-5,2000.0,48.199999999999996,-3.124903569256436,-16.013437849944008,-42.11248285322358,2000.0,3961120.0
3000.0,28.292463654,2.897795335871181E-5,3000.0,53.6,-1.7551793776169764,-4.269662921348319,-28.413284132841337,3000.0,3961120.0
4000.0,37.440486858,3.835234052616508E-5,4000.0,56.35,-1.1737546240925554,3.2150776053214987,-21.418636995827526,4000.0,3961120.0
5000.0,46.537882741,4.7674847620981736E-5,5000.0,57.8,-1.0584410906878219,5.592841163310943,-17.092119866814645,5000.0,3961120.0
6000.0,55.862006098,5.7229692465209146E-5,6000.0,59.11666666666666,-0.6631539206513608,9.749816041206751,-14.358974358974361,6000.0,3961120.0
7000.0,65.283626035,6.68844464010557E-5,7000.0,59.81428571428572,-0.6041048886309096,11.457349700975774,-12.295409181636705,7000.0,3961120.0
8000.0,74.547874323,7.637793459303517E-5,8000.0,60.525,-0.4325149472077432,13.170195215837207,-10.807017543859676,8000.0,3961120.0
9000.0,83.754552042,8.58124276566441E-5,9000.0,60.644444444444446,-0.5654226056987443,13.588680165894122,-9.523809523809538,9000.0,3961120.0
10000.0,93.088950266,9.53778016151079E-5,10000.0,60.74,-0.639994487614754,14.335588042766764,-8.512990602542825,10000.0,3961120.0
11000.0,102.2696484,1.0478567223987854E-4,11000.0,61.07272727272727,-0.5609654535871372,15.459032576505416,-7.750377453447414,11000.0,3961120.0
12000.0,111.365588729,1.1410668776362735E-4,12000.0,61.324999999999996,-0.5089043829187776,16.01520086862106,-7.108239095315041,12000.0,3961120.0
13000.0,120.478118766,1.2344470350068114E-4,13000.0,61.46923076923076,-0.4933041090938719,16.78019604585478,-6.551797489895794,13000.0,3961120.0
14000.0,129.604655177,1.3279707219353314E-4,14000.0,61.650000000000006,-0.45563337379744145,17.349137931034488,-6.085753803596101,14000.0,3961120.0
15000.0,138.7046052,1.421221966294634E-4,15000.0,61.653333333333336,-0.4766609066879342,17.769835596854914,-5.657604702424676,15000.0,3961120.0
16000.0,147.806358625,1.5144916909181307E-4,16000.0,61.64375,-0.4930825651297487,17.899665551839455,-5.283925201578312,16000.0,3961120.0
17000.0,156.957943593,1.6082720615760945E-4,17000.0,61.78823529411764,-0.45576235036791934,18.103883005547143,-4.977375565610871,17000.0,3961120.0
18000.0,166.037161259,1.7013108522313805E-4,18000.0,61.983333333333334,-0.40404857190738663,18.370511749970188,-4.713083397092569,18000.0,3961120.0
19000.0,175.156027787,1.7947559424498052E-4,19000.0,62.11578947368422,-0.37189017555870824,18.380768794647924,-4.470246734397673,19000.0,3961120.0
20000.0,184.273697979,1.888188773279949E-4,20000.0,62.265,-0.33600796753252765,18.551694366501202,-4.254731316480168,20000.0,3961120.0
21000.0,193.436079592,1.9820797819720352E-4,21000.0,61.33333333333333,1.1237702167446635,16.80327868852457,-5.922254109052969,21000.0,3961120.0
22000.0,202.554183603,2.0755170583388547E-4,22000.0,60.59090909090909,2.6809088127564875,15.290669272105525,-6.826022671266606,22000.0,3961120.0
23000.0,211.747474128,2.169724804430433E-4,23000.0,59.81304347826087,3.4945040953313695,13.608748481166465,-8.193842912325863,23000.0,3961120.0
24000.0,220.932329043,2.2638461070660095E-4,24000.0,59.12083333333334,4.20317402455376,12.393963746763097,-9.314763231197785,24000.0,3961120.0
25000.0,230.030888006,2.3570830966134008E-4,25000.0,58.492,4.7860644072754175,11.003430531732425,-10.288022106493775,25000.0,3961120.0
26000.0,239.13345774,2.4503611863191057E-4,26000.0,57.81923076923077,4.946547759101079,9.981121234507102,-11.691618291068353,26000.0,3961120.0
27000.0,248.289667082,2.5441889449988493E-4,27000.0,57.28888888888889,5.346045984012244,8.989030068660728,-12.463428905792863,27000.0,3961120.0
28000.0,257.41787923,2.6377298039513997E-4,28000.0,56.746428571428574,5.517155294815187,8.08287795992714,-13.451990632318497,28000.0,3961120.0
29000.0,266.651264435,2.7323484181018945E-4,29000.0,56.30344827586207,5.81783583345126,7.26673984632271,-14.01835522764081,29000.0,3961120.0
30000.0,275.814869808,2.826251967208215E-4,30000.0,55.94,6.190725142713874,6.546945701357474,-14.263485477178406,30000.0,3961120.0
31000.0,284.937925127,2.919739981835249E-4,31000.0,55.53548387096774,6.330348430480484,5.956198403493209,-14.847525412431276,31000.0,3961120.0
32000.0,294.064345156,3.0132624761455357E-4,32000.0,55.137499999999996,6.390070931234898,5.2471784040657266,-15.49477071600967,32000.0,3961120.0
