learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.912585128,1.7923993220860162E-5,100.0,100.0,?,?,?,100.0,2.3788032E7
200.0,7.304545036,4.678945288544066E-5,200.0,98.0,59.01639344262287,0.0,33.33333333333333,200.0,2.5405192E7
300.0,11.383749848,7.361416185063125E-5,300.0,98.66666666666667,59.3495934959351,0.0,33.33333333333352,300.0,2.54192E7
400.0,15.487508371,1.0060753736683336E-4,400.0,99.0,59.51417004048588,0.0,33.33333333333333,400.0,2.5425984E7
500.0,19.425217506,1.265140651354978E-4,500.0,98.8,49.46091644204845,0.0,25.0,500.0,2.5431264E7
600.0,23.712636108,1.547284779864784E-4,600.0,98.66666666666667,42.3076923076929,0.0,20.0000000000004,600.0,2.5437584E7
700.0,27.459320036,1.7939846505438722E-4,700.0,97.28571428571429,28.800856531049252,-58.333333333333435,13.636363636363779,700.0,2.5452136E7
800.0,31.485698743,2.0595764661061837E-4,800.0,85.125,5.16039051603899,-815.3846153846164,2.459016393442571,800.0,2.5497784E7
900.0,35.695121224,2.337432219999555E-4,900.0,78.0,2.8300343530181626,-607.1428571428576,1.4925373134328699,900.0,2.5515216E7
1000.0,39.719679411,2.6031852274198354E-4,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,1000.0,2.55248E7
1100.0,44.630047281,2.927630254411741E-4,1100.0,71.63636363636363,5.778997940974593,-225.00000000000006,3.9999999999999702,1100.0,2.5540504E7
1200.0,48.658830466,3.1939015508409185E-4,1200.0,71.83333333333334,8.211620191633168,-188.88888888888874,5.8495821727019734,1200.0,2.554776E7
1300.0,52.738414751,3.4635813177331216E-4,1300.0,70.0,9.305894937945176,-212.00000000000006,6.921241050119314,1300.0,2.5552584E7
1400.0,56.572932714,3.717158021818493E-4,1400.0,68.64285714285714,10.706502472787713,-202.75862068965532,8.158995815899566,1400.0,2.556236E7
1500.0,60.344240146,3.9666058926093536E-4,1500.0,67.2,10.296459262680644,-174.86033519553078,8.03738317757011,1500.0,2.5567616E7
1600.0,64.297874455,4.2281586876166764E-4,1600.0,65.5625,9.091284064989024,-147.08520179372192,7.239057239057235,1600.0,2.5572032E7
1700.0,67.942050497,4.4692719186825323E-4,1700.0,64.05882352941177,8.191441218480888,-154.5833333333332,6.431852986217475,1700.0,2.5575496E7
1800.0,72.10596516,4.744893002895033E-4,1800.0,63.61111111111111,8.206166303332283,-130.6338028169014,6.4285714285714075,1800.0,2.5586624E7
1900.0,75.755667155,4.986509023611186E-4,1900.0,62.10526315789474,7.723191158694529,-138.41059602649005,6.250000000000008,1900.0,2.5590024E7
2000.0,79.899341412,5.26086357618932E-4,2000.0,61.8,6.949099696001272,-128.74251497005983,5.4455445544554495,2000.0,2.5593456E7
2100.0,84.264014549,5.549913616285853E-4,2100.0,62.28571428571429,12.02346041055718,-113.47708894878707,10.204081632653077,2100.0,2.559904E7
2200.0,88.245944128,5.813640813719288E-4,2200.0,62.5,15.410642879114123,-107.28643216080403,13.612565445026176,2200.0,2.56014E7
2300.0,92.179562388,6.07419663476283E-4,2300.0,63.0,17.96043255930923,-109.09090909090907,16.157635467980295,2300.0,2.5604184E7
2400.0,95.921550519,6.322110332935213E-4,2400.0,62.958333333333336,18.547227032425354,-106.2645011600928,16.760299625468168,2400.0,2.5609464E7
2500.0,100.367767343,6.616711230874096E-4,2500.0,63.36000000000001,19.91371664703563,-99.56427015250543,18.06797853309483,2500.0,2.5612136E7
2600.0,104.806220237,6.910841700500459E-4,2600.0,62.57692307692307,21.284881644174554,-111.98257080610023,20.11494252873563,2600.0,2.5615968E7
2700.0,108.831848166,7.177661455690956E-4,2700.0,62.25925925925926,23.15714563414835,-122.0043572984749,22.68588770864946,2700.0,2.5620448E7
2800.0,113.090854689,7.459987247715037E-4,2800.0,62.57142857142857,25.815963725057944,-128.322440087146,24.167872648335734,2800.0,2.5623864E7
2900.0,117.147135081,7.728941242495008E-4,2900.0,62.03448275862069,26.42707826394727,-139.86928104575168,20.3328509406657,2900.0,2.5630224E7
3000.0,120.996937874,7.984242149078415E-4,3000.0,61.33333333333333,26.52027027027027,-152.72331154684096,16.06367583212734,3000.0,2.5633992E7
3100.0,125.576552578,8.287979626326865E-4,3100.0,62.483870967741936,29.65553788256009,-153.37690631808277,15.846599131693207,3100.0,2.5637272E7
3200.0,129.601130183,8.554919756824616E-4,3200.0,63.1875,31.58720018584121,-154.427645788337,15.12968299711814,3200.0,2.5638696E7
3300.0,133.876721861,8.83853636347518E-4,3300.0,63.848484848484844,32.858790793115226,-152.2198731501058,16.045038705137227,3300.0,2.5641168E7
3400.0,137.939335398,9.108035644464483E-4,3400.0,64.64705882352942,34.64656405126058,-151.99161425576523,15.767344078486333,3400.0,2.5642152E7
3500.0,141.741750024,9.360283780543507E-4,3500.0,65.37142857142857,35.779660955366104,-149.38271604938265,17.66304347826087,3500.0,2.564312E7
3600.0,145.673811592,9.621148425402438E-4,3600.0,66.08333333333334,36.92693132215823,-147.66734279918865,19.40594059405941,3600.0,2.564468E7
3700.0,149.597844265,9.881506397358233E-4,3700.0,66.8918918918919,38.2376394882302,-146.47887323943664,21.52466367713006,3700.0,2.564724E7
3800.0,154.104668376,0.0010180546894869378,3800.0,67.55263157894737,39.47794007471284,-138.03088803088815,22.208201892744473,3800.0,2.5648488E7
3900.0,158.202492529,0.0010452458589601697,3900.0,68.12820512820514,40.36048706647954,-132.3364485981309,24.068417837507642,3900.0,2.5649384E7
4000.0,162.753271589,0.0010754444630435478,4000.0,68.875,41.90446948281444,-132.71028037383172,23.946243127672563,4000.0,2.5650952E7
4100.0,167.023866912,0.0011037867866013872,4100.0,69.26829268292683,42.72713303735329,-134.6368715083799,23.497267759562835,4100.0,2.5653664E7
4200.0,171.034076961,0.001130401811881541,4200.0,69.95238095238095,43.925637041325174,-130.71297989031072,24.340527577937653,4200.0,2.5654416E7
4300.0,175.266669113,0.0011584944543694734,4300.0,70.65116279069767,45.19493740430878,-130.29197080291968,24.4311377245509,4300.0,2.5655976E7
4400.0,179.021412176,0.0011834163857471433,4400.0,71.0,45.71901041223542,-128.67383512544802,25.292740046838396,4400.0,2.565688E7
4500.0,183.358915534,0.0012122079592047144,4500.0,71.55555555555554,46.63616033832673,-128.16399286987522,26.479035037334842,4500.0,2.5658304E7
4600.0,187.083130977,0.001236929785337204,4600.0,72.1304347826087,47.62788194515368,-128.11387900355874,26.617057813394396,4600.0,2.5659496E7
4700.0,191.305246593,0.0012649577336732928,4700.0,72.59574468085106,48.34513464174804,-127.96460176991158,28.00447177193961,4700.0,2.5660408E7
4800.0,195.21049568,0.0012909072208465609,4800.0,72.91666666666666,48.851494741294296,-125.30329289428074,28.37465564738292,4800.0,2.5685168E7
4900.0,199.108603088,0.001316811052258578,4900.0,73.26530612244898,49.3758138001579,-124.69982847341339,28.454396504642283,4900.0,2.5686952E7
5000.0,202.904568127,0.0013420370980071566,5000.0,73.6,49.83671851877862,-123.35025380710667,28.221859706362153,5000.0,2.5687944E7
5100.0,206.829839084,0.0013681243133395753,5100.0,74.05882352941177,50.543767149855626,-123.10286677908925,28.56371490280778,5100.0,2.5689784E7
5200.0,211.057078977,0.001396219786098464,5200.0,74.51923076923077,51.25417558571398,-121.94304857621445,28.60991379310345,5200.0,2.5691048E7
5300.0,215.119068541,0.0014232179320157236,5300.0,74.9245283018868,51.843032776573885,-120.39800995024876,28.62513426423201,5300.0,2.5691976E7
5400.0,219.431242471,0.0014518813996308997,5400.0,75.12962962962963,52.03632334827496,-120.52545155993431,28.715498938428897,5400.0,2.5694184E7
5500.0,223.332666009,0.001477817659262646,5500.0,75.41818181818182,52.40219149630202,-119.83739837398375,28.767123287671236,5500.0,2.5697248E7
5600.0,227.358886447,0.0015045859139120126,5600.0,75.82142857142857,52.94993670728984,-119.44894651539701,28.736842105263165,5600.0,2.5699512E7
5700.0,231.334724019,0.0015310203180415225,5700.0,76.03508771929825,53.15546343314104,-117.86283891547053,28.965158606344243,5700.0,2.57006E7
5800.0,235.178727441,0.0015565791029639525,5800.0,76.27586206896552,53.398415634887606,-115.33646322378708,29.035585353274897,5800.0,2.570152E7
5900.0,239.338104431,0.0015842364256010212,5900.0,76.54237288135593,53.758545262952126,-113.91035548686244,29.639044229791573,5900.0,2.5703024E7
6000.0,243.160042158,0.0016096532178947805,6000.0,76.8,54.09089584866705,-111.87214611872136,29.94464016104682,6000.0,2.5706296E7
6100.0,247.503713144,0.0016385416198465578,6100.0,76.85245901639344,54.09364040330994,-110.43219076005968,30.34040453872717,6100.0,2.570804E7
6200.0,251.373760915,0.0016642818634918536,6200.0,76.82258064516128,53.87368096247415,-108.56313497822943,30.411622276029032,6200.0,2.57098E7
6300.0,255.262113058,0.0016901449948692174,6300.0,76.93650793650794,53.95120484764193,-107.86838340486418,30.7105388650453,6300.0,2.5710936E7
6400.0,259.212870325,0.00171642404403448,6400.0,77.203125,54.3194480292728,-106.36492220650639,31.14676734308634,6400.0,2.5711752E7
6500.0,263.054831561,0.0017419808673738981,6500.0,77.46153846153845,54.7447982062354,-105.18207282913173,32.01856148491879,6500.0,2.5713208E7
