learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.567410308,1.167058349269463E-7,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,1.068600447,2.1979140246856956E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,1.468803853,3.021058616514959E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.875621433,3.8578073443308055E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,2.234318088,4.595580204940835E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,3.332805225,6.871698122135922E-7,600.0,34.0,-3.262145036376434,-69.95708154506438,-122.47191011235957,600.0,800944.0
700.0,3.754396337,7.745255081914324E-7,700.0,38.57142857142858,-2.8314520757604744,-54.67625899280576,-107.72946859903381,700.0,800944.0
800.0,4.173942838,8.614575509853578E-7,800.0,41.875,-2.470305647986961,-46.68769716088328,-97.03389830508472,800.0,800944.0
900.0,4.540730543,9.374577187649616E-7,900.0,44.888888888888886,-1.7190148932679425,-39.718309859154914,-87.16981132075475,900.0,800944.0
1000.0,4.852391929,1.0020354494345974E-6,1000.0,46.9,-2.4123805188893988,-33.08270676691729,-78.18791946308723,1000.0,800944.0
1100.0,5.620852895,1.1612642391457367E-6,1100.0,49.63636363636363,-0.4271532346310546,-26.773455377574397,-71.51702786377713,1100.0,800944.0
1200.0,5.982380453,1.2361744792939183E-6,1200.0,51.16666666666667,-0.1709401709401749,-23.368421052631554,-67.90830945558734,1200.0,800944.0
1300.0,6.300455685,1.3020811895489318E-6,1300.0,51.53846153846153,-1.809954751131238,-21.38728323699422,-61.95372750642678,1300.0,800944.0
1400.0,6.593408854,1.3627824881259018E-6,1400.0,52.35714285714286,-2.2007416065807632,-17.22319859402459,-56.94117647058822,1400.0,800944.0
1500.0,6.908593095,1.4280901712105546E-6,1500.0,53.666666666666664,-1.6347349990055968,-15.257048092868992,-54.44444444444444,1500.0,800944.0
1600.0,8.019564469,1.6582887565811764E-6,1600.0,54.3125,-1.7577927885602733,-12.634822804314332,-51.65975103734441,1600.0,800944.0
1700.0,8.420625717,1.741390566490255E-6,1700.0,55.529411764705884,-1.067611180663468,-10.043668122270727,-49.70297029702967,1700.0,800944.0
1800.0,8.744147323,1.8084257915023009E-6,1800.0,56.49999999999999,-0.47507157440887887,-7.70288858321873,-47.18045112781956,1800.0,800944.0
1900.0,9.088976175,1.8798759798537565E-6,1900.0,57.10526315789474,-0.5328859722701931,-6.3968668407310565,-45.01779359430606,1900.0,800944.0
2000.0,9.407042854,1.945780917886239E-6,2000.0,57.599999999999994,-0.6456513482719198,-4.950495049504955,-43.972835314091704,2000.0,800944.0
2100.0,10.610028624,2.1950453264532486E-6,2100.0,58.666666666666664,0.30409766129209526,-2.965599051008293,-42.52873563218389,2100.0,800944.0
2200.0,10.985513845,2.2728476611709885E-6,2200.0,58.909090909090914,-0.050709530977097086,-2.49433106575964,-40.1550387596899,2200.0,800944.0
2300.0,11.364109488,2.3512944902124007E-6,2300.0,59.434782608695656,0.14889953934207234,-1.4130434782608503,-38.4272997032641,2300.0,800944.0
2400.0,11.744176662,2.4300462275191894E-6,2400.0,59.75,-0.07381220620798863,-0.5202913631633697,-37.21590909090908,2400.0,800944.0
2500.0,12.11801785,2.5075079107316254E-6,2500.0,60.199999999999996,0.02234676389921157,0.9950248756218913,-35.92896174863391,2500.0,800944.0
2600.0,13.435188588,2.780431991113176E-6,2600.0,60.38461538461538,-0.2774667770043494,2.5543992431409506,-34.81675392670157,2600.0,800944.0
2700.0,13.827444518,2.8617092969938203E-6,2700.0,60.7037037037037,-0.27302320697262494,4.328223624887287,-33.627204030226714,2700.0,800944.0
2800.0,14.192566243,2.9373642657446905E-6,2800.0,61.035714285714285,-0.301021265865363,4.882301656495209,-32.56379100850548,2800.0,800944.0
2900.0,14.57082019,3.0157402937396784E-6,2900.0,61.41379310344828,-0.18832973139855738,6.04534005037785,-31.802120141342744,2900.0,800944.0
3000.0,14.934319608,3.091059112716417E-6,3000.0,61.7,-0.24988308542790538,7.263922518159813,-31.16438356164382,3000.0,800944.0
3100.0,16.650771724,3.4467162054252793E-6,3100.0,61.806451612903224,-0.3773997702783745,7.788161993769465,-29.967069154775,3100.0,800944.0
3200.0,16.997185667,3.5184948322175652E-6,3200.0,61.84375,-0.6514315625908472,7.918552036199099,-29.06976744186046,3200.0,800944.0
3300.0,17.339563573,3.5894371728285444E-6,3300.0,62.03030303030304,-0.6458038812491791,8.137829912023472,-28.118609406952938,3300.0,800944.0
3400.0,17.722532461,3.66879015916261E-6,3400.0,62.26470588235294,-0.6571721292561379,8.35714285714286,-27.408142999006955,3400.0,800944.0
3500.0,18.100053034,3.7470142285551545E-6,3500.0,62.37142857142857,-0.7369235409045393,8.731808731808712,-26.756496631376358,3500.0,800944.0
3600.0,20.080787694,4.157431929134503E-6,3600.0,62.44444444444445,-0.8631140491757308,9.01749663526246,-25.884543761638724,3600.0,800944.0
3700.0,20.466244978,4.237300523028267E-6,3700.0,62.37837837837837,-1.1386741140841934,8.96010464355787,-25.179856115107913,3700.0,800944.0
3800.0,20.85508648,4.317870343087184E-6,3800.0,62.71052631578947,-0.9909665919196496,9.282970550576174,-24.626209322779243,3800.0,800944.0
3900.0,21.220829433,4.39365403325261E-6,3900.0,62.871794871794876,-0.994673779263178,10.00621504039777,-23.972602739726014,3900.0,800944.0
4000.0,21.629433939,4.478318842318394E-6,4000.0,63.0,-1.0376843255051649,10.465819721718091,-23.436196830692257,4000.0,800944.0
4100.0,23.851392622,4.9387193148678964E-6,4100.0,62.951219512195124,-1.1530463018124988,10.699588477366264,-22.697899838449093,4100.0,800944.0
4200.0,24.239233653,5.0190818325477475E-6,4200.0,63.11904761904762,-1.125879943444857,11.181192660550447,-22.1608832807571,4200.0,800944.0
4300.0,24.62744887,5.099521883357508E-6,4300.0,63.32558139534884,-1.0613596300621813,11.154929577464786,-21.682098765432087,4300.0,800944.0
4400.0,24.983633421,5.173325026885732E-6,4400.0,63.38636363636364,-1.1121711186985144,11.532125205930809,-21.127819548872175,4400.0,800944.0
4500.0,25.353459208,5.249954699794817E-6,4500.0,63.48888888888888,-1.1224060499196156,12.044967880085638,-20.631424375917796,4500.0,800944.0
4600.0,27.877309206,5.772887604049405E-6,4600.0,63.65217391304348,-1.0799808227704104,12.689295039164481,-20.20129403306973,4600.0,800912.0
4700.0,28.271410911,5.854544100802638E-6,4700.0,63.59574468085106,-1.2416858364119476,12.793068297655456,-19.81792717086836,4700.0,800912.0
4800.0,28.722548283,5.9480181885434665E-6,4800.0,63.5625,-1.3575674570155027,13.071570576540758,-19.38566552901025,4800.0,800912.0
4900.0,29.117702594,6.029892781583346E-6,4900.0,63.65306122448979,-1.2855884751997635,13.543689320388353,-19.050802139037444,4900.0,800912.0
5000.0,29.509441958,6.11105980953259E-6,5000.0,63.75999999999999,-1.2261548719947597,13.549618320610676,-18.664047151277032,5000.0,800912.0
5100.0,31.959652636,6.618755187771554E-6,5100.0,63.745098039215684,-1.29569633741814,13.67880485527545,-18.222506393861902,5100.0,800944.0
5200.0,32.328808088,6.695245964060676E-6,5200.0,63.76923076923077,-1.332230037236278,14.090287277701774,-17.823639774859295,5200.0,800944.0
5300.0,32.720530275,6.776412675837433E-6,5300.0,63.698113207547166,-1.4295547412438492,14.374721851357364,-17.38865161683955,5300.0,800944.0
5400.0,33.171530064,6.8698619904281875E-6,5400.0,63.70370370370371,-1.4691941674003457,14.373088685015295,-17.0149253731343,5400.0,800944.0
5500.0,33.529813013,6.94409993206413E-6,5500.0,63.727272727272734,-1.5126283652511876,14.487783969138468,-16.734932709186637,5500.0,800944.0
5600.0,36.72739545,7.606601373519825E-6,5600.0,63.92857142857142,-1.4188053345287732,14.839797639123095,-16.49365628604386,5600.0,800880.0
5700.0,37.055628828,7.674607465729567E-6,5700.0,63.807017543859644,-1.5501749801979394,14.892739273927372,-16.159909909909917,5700.0,800880.0
5800.0,37.434232022,7.753049590899624E-6,5800.0,63.724137931034484,-1.6318122096757643,15.127067365873344,-15.795266923500268,5800.0,800880.0
5900.0,37.813727759,7.83167664047295E-6,5900.0,63.62711864406779,-1.716946451065578,15.345167652859962,-15.438407746100074,5900.0,800880.0
6000.0,38.217220635,7.915275614771138E-6,6000.0,63.68333333333334,-1.7062756366093963,15.575358388221632,-15.169133192388989,6000.0,800880.0
6100.0,41.71410392,8.639759720113537E-6,6100.0,63.65573770491804,-1.7432456303752262,15.831435079726669,-14.87046632124353,6100.0,800848.0
6200.0,42.231661435,8.746987260371007E-6,6200.0,63.564516129032256,-1.1797001986635565,15.708955223880592,-14.43768996960488,6200.0,800848.0
6300.0,42.637225699,8.831012044447519E-6,6300.0,63.36507936507937,-1.3259819430081219,15.48883192969609,-14.087988136431026,6300.0,800848.0
6400.0,43.042458225,8.914968099061663E-6,6400.0,63.31250000000001,-1.298930669095223,15.751704341585937,-13.759689922480604,6400.0,800848.0
6500.0,43.443065071,8.997965805523103E-6,6500.0,63.26153846153846,-1.0777853532936188,15.64818085482161,-13.498098859315588,6500.0,800848.0
6600.0,46.920798719,9.718511280172573E-6,6600.0,62.95454545454545,-1.0810542646846804,15.631469979296059,-13.404452690166984,6600.0,800880.0
6700.0,47.313942855,9.7999661173602E-6,6700.0,63.07462686567165,-1.0339525963649938,15.821708063967352,-13.226544622425635,6700.0,800880.0
6800.0,47.712886574,9.882622559877182E-6,6800.0,62.98529411764706,-0.903697561983271,15.903775476110937,-13.02200269420744,6800.0,800880.0
6900.0,48.112420443,9.965401274527368E-6,6900.0,62.88405797101449,-1.0054763100205892,15.784281486353184,-12.819383259911904,6900.0,800880.0
7000.0,48.514127691,1.0048630287723002E-5,7000.0,62.828571428571436,-0.9891659816325387,15.79288025889968,-12.54325259515569,7000.0,800880.0
7100.0,52.520322075,1.087868318872239E-5,7100.0,62.87323943661972,-0.9843867981081478,15.89023611997447,-12.361466325660682,7100.0,800896.0
7200.0,52.918374186,1.0961156548178948E-5,7200.0,62.625,-1.0093637711330226,15.483668341708528,-12.265331664580744,7200.0,800896.0
7300.0,53.32564882,1.1045540744014605E-5,7300.0,62.57534246575342,-1.0568312170123448,15.600864998455355,-12.059064807219018,7300.0,800896.0
7400.0,53.723097346,1.112788904526574E-5,7400.0,62.32432432432432,-0.4618541793596237,15.232593493463042,-12.283527990334298,7400.0,800896.0
7500.0,54.126585069,1.1211488622043986E-5,7500.0,61.986666666666665,-0.24101911726209505,14.461446144614468,-13.134920634920643,7500.0,800896.0
7600.0,58.216439176,1.2058824392843335E-5,7600.0,61.76315789473684,-0.4009838619974718,14.277286135693215,-13.250194855806713,7600.0,800848.0
7700.0,58.602476403,1.2138803566363836E-5,7700.0,61.50649350649351,0.06626693990796573,13.937282229965161,-13.563218390804607,7700.0,800848.0
7800.0,59.268265041,1.2276741623323768E-5,7800.0,61.53846153846154,0.3914615560845997,14.064737897450605,-13.293051359516623,7800.0,800848.0
7900.0,59.657731784,1.235743132379885E-5,7900.0,61.58227848101265,0.3772422755330928,14.458850056369771,-13.119642191576625,7900.0,800848.0
8000.0,60.062895817,1.2441373188036656E-5,8000.0,61.4875,0.24906975215729524,14.345287739783153,-12.939882697947239,8000.0,800848.0
8100.0,64.32002183,1.3323346722870197E-5,8100.0,61.34567901234568,0.30517244334348126,14.172149122807024,-12.828828828828845,8100.0,800832.0
8200.0,64.731254102,1.3408544102385368E-5,8200.0,61.23170731707317,0.3947254193021439,14.127498649378703,-12.730496453900722,8200.0,800832.0
8300.0,65.137002942,1.3492605447428153E-5,8300.0,61.18072289156626,0.859884594923706,14.034151547492,-12.186629526462385,8300.0,800832.0
8400.0,65.543494787,1.3576820725134488E-5,8400.0,61.011904761904766,1.1711168763089013,13.702239789196312,-12.465659340659322,8400.0,800832.0
8500.0,65.943485052,1.3659689032730684E-5,8500.0,60.83529411764705,1.0791052529646596,13.5773624091381,-12.3144399460189,8500.0,800832.0
8600.0,70.475978851,1.4598618307237356E-5,8600.0,60.72093023255813,1.2222937013860342,13.317936874518852,-12.263210368893333,8600.0,800752.0
