learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.325051186,6.685703365142975E-8,100.0,56.00000000000001,3.0409872190392555,12.00000000000001,-4.76190476190474,100.0,795056.0
200.0,0.665253655,1.3683040676268025E-7,200.0,53.5,6.155398587285586,3.1250000000000027,0.0,200.0,795056.0
300.0,0.883659322,1.8175242414698833E-7,300.0,56.99999999999999,14.403255772803671,13.99999999999999,6.5217391304347645,300.0,795056.0
400.0,1.096826513,2.255969836375904E-7,400.0,57.25,14.61100569259963,18.181818181818187,8.064516129032254,400.0,795056.0
500.0,1.305442082,2.685053584338145E-7,500.0,55.800000000000004,11.404380872967524,12.648221343873528,5.555555555555561,500.0,795056.0
600.0,1.510613622,3.10705359987095E-7,600.0,55.666666666666664,11.333333333333329,11.333333333333329,5.338078291814951,600.0,795056.0
700.0,1.719324392,3.536333158731129E-7,700.0,56.14285714285714,12.512823853181123,14.48467966573815,4.953560371517015,700.0,795056.0
800.0,1.936503497,3.9830305207697467E-7,800.0,56.375,12.997955825896193,13.613861386138609,5.9299191374663005,800.0,795056.0
900.0,2.151393271,4.42501915119013E-7,900.0,56.44444444444444,13.081183357313202,12.69487750556793,6.888361045130627,900.0,795056.0
1000.0,2.375876514,4.886739777904997E-7,1000.0,57.599999999999994,15.362503992334704,14.170040485829949,9.594882729211072,1000.0,795056.0
1100.0,2.582223443,5.311157351819715E-7,1100.0,57.99999999999999,16.236752319889234,13.80597014925373,9.41176470588234,1100.0,795056.0
1200.0,2.795054848,5.748912296856773E-7,1200.0,58.416666666666664,17.026017359686936,13.667820069204145,10.892857142857132,1200.0,795056.0
1300.0,3.001678712,6.17389947498805E-7,1300.0,57.769230769230774,15.694103194103201,12.44019138755982,10.586319218241051,1300.0,795056.0
1400.0,3.204327091,6.590709813720691E-7,1400.0,58.357142857142854,16.785612332286604,13.501483679525212,13.244047619047606,1400.0,795056.0
1500.0,3.40881089,7.011295272864815E-7,1500.0,58.733333333333334,17.498933750355427,14.265927977839334,14.620689655172415,1500.0,795056.0
1600.0,3.619955578,7.445580952134314E-7,1600.0,59.0,17.986672834335568,14.583333333333323,15.025906735751295,1600.0,795056.0
1700.0,3.828410597,7.874334478358717E-7,1700.0,59.1764705882353,18.322983516445486,15.262515262515276,15.262515262515276,1700.0,795056.0
1800.0,4.034998878,8.299248468821991E-7,1800.0,59.5,18.96458452212448,16.206896551724125,16.013824884792623,1800.0,795056.0
1900.0,4.250119365,8.74171163333021E-7,1900.0,59.68421052631578,19.38369572081079,16.55773420479302,16.466739367502715,1900.0,795056.0
2000.0,4.465162708,9.184016126859022E-7,2000.0,59.95,19.880450830002534,17.166494312306117,16.908713692946062,2000.0,795056.0
2100.0,4.672500904,9.610472554161481E-7,2100.0,59.952380952380956,19.838596937154485,17.951219512195138,16.23505976095619,2100.0,795056.0
2200.0,4.87513739,1.002725843118669E-6,2200.0,59.77272727272728,19.507137281879647,17.750929368029755,16.43059490084986,2200.0,795056.0
2300.0,5.078608858,1.0445761712180159E-6,2300.0,59.95652173913043,19.870145983634323,18.495575221238937,16.726943942133808,2300.0,795056.0
2400.0,5.283468552,1.086712031800846E-6,2400.0,59.958333333333336,19.894860267517274,18.902953586497897,17.1551724137931,2400.0,795056.0
2500.0,5.488293108,1.1288406651451684E-6,2500.0,60.08,20.15448107773209,19.059205190592046,17.927631578947377,2500.0,795056.0
2600.0,5.691726826,1.1706832287657839E-6,2600.0,60.23076923076923,20.472079440358215,18.83830455259027,18.066561014263083,2600.0,795056.0
2700.0,5.897931593,1.21309574605592E-6,2700.0,60.44444444444444,20.89357667693767,19.879969992498133,18.721461187214615,2700.0,795056.0
2800.0,6.128805895,1.2605823316857424E-6,2800.0,60.60714285714286,21.21645628130654,20.303468208092497,19.01615271659325,2800.0,795056.0
2900.0,6.343595629,1.3047606183449383E-6,2900.0,60.689655172413794,21.379310344827584,19.943820224719104,18.861209964412815,2900.0,795056.0
3000.0,6.557499021,1.3487566008026027E-6,3000.0,61.06666666666667,22.125026669511417,20.97428958051422,19.281271596406356,3000.0,795056.0
3100.0,6.768315654,1.3921176938667643E-6,3100.0,61.29032258064516,22.580645161290324,21.77314211212517,19.839679358717436,3100.0,795056.0
3200.0,6.979811414,1.4356184708288723E-6,3200.0,61.15625,22.308797528632223,21.428571428571434,19.28571428571428,3200.0,795056.0
3300.0,7.186029627,1.4780337537132077E-6,3300.0,61.303030303030305,22.599351128325548,21.75245098039215,19.279393173198482,3300.0,795056.0
3400.0,7.39128451,1.5202508973843932E-6,3400.0,61.29411764705882,22.57829638337654,21.899109792284865,19.214241866175563,3400.0,795056.0
3500.0,7.596707953,1.5625027107386248E-6,3500.0,61.31428571428571,22.62713134579157,22.004608294930865,19.64391691394658,3500.0,795056.0
3600.0,7.809498035,1.6062697058634003E-6,3600.0,61.416666666666664,22.826425822064323,22.358859698155385,19.757365684575383,3600.0,795056.0
3700.0,8.067360617,1.6593072829120149E-6,3700.0,61.54054054054055,23.066245061136716,22.45231607629429,19.830985915492963,3700.0,795056.0
3800.0,8.281910859,1.703436310484049E-6,3800.0,61.71052631578947,23.41243918291087,22.688629117959614,20.448332422088576,3800.0,795056.0
3900.0,8.492105506,1.7466694725000442E-6,3900.0,61.89743589743589,23.78324635973402,22.96526697770864,20.78891257995735,3900.0,795056.0
4000.0,8.717567252,1.7930427951909267E-6,4000.0,62.025,24.04487302892944,23.282828282828273,21.336095287415844,4000.0,795056.0
4100.0,8.921692355,1.8350275639539994E-6,4100.0,61.97560975609756,23.940179300267257,23.428290766208253,21.103238866396758,4100.0,795056.0
4200.0,9.128701844,1.8776055977170827E-6,4200.0,61.92857142857143,23.848163502272396,23.41954022988506,21.153846153846164,4200.0,795056.0
4300.0,9.378580649,1.9290010590911693E-6,4300.0,62.06976744186047,24.13218198324034,23.749415614773266,21.548821548821564,4300.0,795056.0
4400.0,9.637998092,1.9823584423693183E-6,4400.0,62.272727272727266,24.540543444459708,24.408014571948996,22.102299389957768,4400.0,795056.0
4500.0,9.862823049,2.028600789307964E-6,4500.0,62.2,24.399044254584158,24.500665778961384,22.115384615384606,4500.0,795056.0
4600.0,10.099350972,2.0772502205009754E-6,4600.0,62.39130434782608,24.778627224125263,24.684370918589448,22.351885098743253,4600.0,795056.0
4700.0,10.33476689,2.1256709327755284E-6,4700.0,62.46808510638297,24.93708089010055,24.90421455938697,22.563652326602266,4700.0,795056.0
4800.0,10.551905852,2.1703324123046956E-6,4800.0,62.60416666666667,25.20916434261841,24.98955286251568,22.729229444683615,4800.0,795056.0
4900.0,10.760542406,2.213245103328368E-6,4900.0,62.83673469387755,25.675029562061667,25.582345729464645,23.00211416490486,4900.0,795056.0
5000.0,10.974834371,2.2573210080852144E-6,5000.0,62.86000000000001,25.716814737015923,25.690276110444188,22.978017420157613,5000.0,795056.0
5100.0,11.193873366,2.302373289357895E-6,5100.0,62.84313725490196,25.68167997467893,25.773599686643166,22.936152907686054,5100.0,795056.0
5200.0,11.416194868,2.348100721777263E-6,5200.0,62.80769230769231,25.611588165372346,25.985457328740917,22.948207171314735,5200.0,795056.0
5300.0,11.62385815,2.390813228701758E-6,5300.0,62.96226415094339,25.92522448347228,26.25845229151013,23.260359655981222,5300.0,795056.0
5400.0,11.846548312,2.4366164876834877E-6,5400.0,63.0,25.99927927967474,26.4359351988218,23.301343570057583,5400.0,795056.0
5500.0,12.065624658,2.481676451367959E-6,5500.0,63.14545454545455,26.290304793242612,26.69077757685354,23.595929136826236,5500.0,795056.0
5600.0,12.289633117,2.5277508597276563E-6,5600.0,63.28571428571429,26.574566010253392,26.962699822380117,23.682256867112113,5600.0,795056.0
5700.0,12.496086546,2.570214522204821E-6,5700.0,63.21052631578947,26.426759143335143,26.755151938526012,23.43921139101862,5700.0,795056.0
5800.0,12.711395349,2.614499571783505E-6,5800.0,63.1551724137931,26.312079691821776,26.71467764060356,23.569384835479266,5800.0,795056.0
5900.0,12.918243375,2.657044395585544E-6,5900.0,63.28813559322034,26.57741861201594,27.07070707070708,23.919915700737622,5900.0,795056.0
