learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.6302667,7.5446322946707825E-6,100.0,53.0,6.000000000000005,52.52525252525253,6.000000000000005,100.0,1.7888824E7
200.0,3.89936721,1.8056507853288534E-5,200.0,60.5,20.999999999999996,60.30150753768844,20.999999999999996,200.0,1.7907248E7
300.0,6.008663016,2.78337312229863E-5,300.0,67.0,34.00000000000001,66.88963210702342,34.00000000000001,300.0,1.7917624E7
400.0,8.109527783,3.757843960176977E-5,400.0,69.25,38.5,69.17293233082708,38.5,400.0,1.7929704E7
500.0,10.270850382,4.761132462012106E-5,500.0,70.19999999999999,40.39999999999999,70.14028056112224,40.39999999999999,500.0,1.794356E7
600.0,12.756227084,5.9153894122297774E-5,600.0,72.33333333333334,44.66666666666668,72.28714524207011,44.66666666666668,600.0,1.7951992E7
700.0,15.082744454,6.996285515216112E-5,700.0,73.14285714285714,46.285714285714285,73.10443490701002,46.285714285714285,700.0,1.7958912E7
800.0,17.518510146,8.12883299775574E-5,800.0,73.625,47.24999999999999,73.59198998748435,47.24999999999999,800.0,1.7973112E7
900.0,20.029656242,9.296871534064476E-5,900.0,74.55555555555556,49.11111111111111,74.52725250278085,49.11111111111111,900.0,1.7979912E7
1000.0,22.57126756,1.0479784518601228E-4,1000.0,75.1,50.2,75.07507507507508,50.2,1000.0,1.7990616E7
1100.0,25.191206135,1.169953255838133E-4,1100.0,76.45454545454545,52.90909090909091,76.43312101910827,52.90909090909091,1100.0,1.7996224E7
1200.0,27.50002971,1.277475931707824E-4,1200.0,76.66666666666667,53.33333333333334,76.64720600500418,53.33333333333334,1200.0,1.8001624E7
1300.0,29.702653605,1.3800909630175997E-4,1300.0,76.61538461538461,53.23076923076924,76.59738260200155,53.23076923076924,1300.0,1.8008312E7
1400.0,31.860455252,1.4806389998206132E-4,1400.0,77.14285714285715,54.28571428571429,77.12651894210151,54.28571428571429,1400.0,1.8012104E7
1500.0,33.98916399,1.5798551276059576E-4,1500.0,78.0,56.00000000000001,77.9853235490327,56.00000000000001,1500.0,1.8016416E7
1600.0,36.070858367,1.6768974305450524E-4,1600.0,78.6875,57.375,78.67417135709819,57.375,1600.0,1.8019656E7
1700.0,38.152571198,1.7739613167960938E-4,1700.0,78.76470588235294,57.52941176470587,78.75220718069453,57.52941176470587,1700.0,1.8023504E7
1800.0,40.244095592,1.87150082310836E-4,1800.0,79.33333333333333,58.666666666666664,79.3218454697054,58.666666666666664,1800.0,1.8026856E7
