learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.346166289,7.120002088736743E-8,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,0.675679908,1.3897489470089475E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,0.882782694,1.8157211793608963E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.114782805,2.2929026171256684E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,1.32014122,2.7152870000658763E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,1.52194513,3.130360421821061E-7,600.0,29.833333333333336,0.0,-80.68669527896996,-136.5168539325843,600.0,795056.0
700.0,1.726845022,3.5518017075211636E-7,700.0,29.714285714285715,0.0,-76.97841726618705,-137.68115942028987,700.0,795056.0
800.0,1.92814003,3.9658284117252463E-7,800.0,29.625,0.0,-77.602523659306,-138.55932203389827,800.0,795056.0
900.0,2.12998182,4.3809797456537686E-7,900.0,29.555555555555557,0.0,-78.59154929577463,-139.24528301886795,900.0,795056.0
1000.0,2.33538023,4.803446390932219E-7,1000.0,29.9,0.0,-75.6892230576441,-135.23489932885903,1000.0,795056.0
1100.0,2.532874617,5.209655918733403E-7,1100.0,29.454545454545457,0.0,-77.57437070938217,-140.2476780185759,1100.0,795056.0
1200.0,2.744364711,5.644652034437532E-7,1200.0,29.166666666666668,0.0,-78.94736842105262,-143.5530085959885,1200.0,795056.0
1300.0,2.939019067,6.045020142292686E-7,1300.0,30.0,0.0,-75.33718689788053,-133.93316195372756,1300.0,795056.0
1400.0,3.139321391,6.457005078601382E-7,1400.0,30.428571428571427,0.0,-71.1775043936731,-129.17647058823528,1400.0,795056.0
1500.0,3.336292545,6.862138412627702E-7,1500.0,30.06666666666667,0.0,-73.96351575456052,-133.11111111111106,1500.0,795056.0
1600.0,3.533453346,7.267661815554152E-7,1600.0,30.1875,0.0,-72.11093990755008,-131.7427385892116,1600.0,795056.0
1700.0,3.734702356,7.681593910356197E-7,1700.0,29.764705882352942,0.0,-73.79912663755455,-136.43564356435638,1700.0,795056.0
1800.0,3.938315612,8.100388823114004E-7,1800.0,29.61111111111111,0.0,-74.27785419532327,-138.1578947368421,1800.0,795056.0
1900.0,4.139198474,8.513567819013115E-7,1900.0,29.63157894736842,0.0,-74.54308093994776,-137.90035587188615,1900.0,795056.0
2000.0,4.340730462,8.928081947368134E-7,2000.0,29.5,0.0,-74.5049504950495,-139.38879456706283,2000.0,795056.0
2100.0,4.547227502,9.352808271923081E-7,2100.0,29.04761904761905,0.0,-76.74970344009488,-144.66338259441704,2100.0,795056.0
2200.0,4.771571285,9.814242055140229E-7,2200.0,29.363636363636363,0.0,-76.1904761904762,-140.9302325581395,2200.0,795056.0
2300.0,4.990085571,1.0263685638232405E-6,2300.0,29.347826086956523,0.0,-76.63043478260867,-141.09792284866472,2300.0,795056.0
2400.0,5.193689388,1.0682461136708159E-6,2400.0,29.375,0.0,-76.37877211238295,-140.76704545454547,2400.0,795056.0
2500.0,5.3934701,1.1093373213340008E-6,2500.0,29.32,0.0,-75.82089552238804,-141.39344262295086,2500.0,795056.0
2600.0,5.594810042,1.1507492338494375E-6,2600.0,29.423076923076923,0.0,-73.60454115421004,-140.18324607329842,2600.0,795056.0
2700.0,5.802379929,1.1934425311450287E-6,2700.0,29.444444444444446,0.0,-71.77637511271415,-139.92443324937028,2700.0,795056.0
2800.0,6.012850778,1.2367325028180993E-6,2800.0,29.428571428571427,0.0,-72.27550130775936,-140.09720534629406,2800.0,795056.0
2900.0,6.211350062,1.2775601443765973E-6,2900.0,29.310344827586203,0.0,-72.12426532325776,-141.4605418138987,2900.0,795056.0
