learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.338062573,6.953323597271822E-8,100.0,33.0,0.0,-42.55319148936171,-179.16666666666669,100.0,795056.0
200.0,0.637071624,1.3103388278096914E-7,200.0,41.5,0.0,-17.000000000000004,-58.10810810810811,200.0,795056.0
300.0,0.85816889,1.7650951243518955E-7,300.0,38.666666666666664,0.0,-26.027397260273965,-71.96261682242991,300.0,795056.0
400.0,1.075035129,2.2111489787341406E-7,400.0,38.0,0.0,-31.914893617021285,-73.4265734265734,400.0,795056.0
500.0,1.274777839,2.621982892261156E-7,500.0,37.4,0.0,-28.80658436213992,-75.84269662921349,500.0,795056.0
600.0,1.478927315,3.0418807106574793E-7,600.0,36.333333333333336,0.0,-32.63888888888889,-82.77511961722486,600.0,795056.0
700.0,1.695762615,3.4878709292231753E-7,700.0,35.85714285714286,0.0,-34.029850746268664,-85.5371900826446,700.0,795056.0
800.0,1.894097093,3.8958083692633036E-7,800.0,36.875,0.0,-32.89473684210527,-76.57342657342654,800.0,795056.0
900.0,2.091410798,4.3016462675158354E-7,900.0,36.333333333333336,0.0,-36.10451306413302,-80.18867924528298,900.0,795056.0
1000.0,2.288996712,4.7080440494745976E-7,1000.0,37.3,0.0,-32.27848101265823,-72.25274725274727,1000.0,795056.0
1100.0,2.491481172,5.124517237057786E-7,1100.0,37.27272727272727,0.0,-31.931166347992345,-72.06982543640899,1100.0,795056.0
1200.0,2.69160076,5.536126319118673E-7,1200.0,36.833333333333336,0.0,-33.21616871704746,-75.05773672055427,1200.0,795056.0
1300.0,2.893597224,5.951595788936815E-7,1300.0,37.38461538461538,0.0,-31.502423263327955,-70.64989517819707,1300.0,795056.0
1400.0,3.09477037,6.365371845483368E-7,1400.0,37.142857142857146,0.0,-32.330827067669176,-72.21135029354208,1400.0,795056.0
1500.0,3.296477393,6.780245988549584E-7,1500.0,37.13333333333333,0.0,-31.88811188811188,-72.08029197080293,1500.0,795056.0
1600.0,3.496492509,7.191640190975495E-7,1600.0,37.625,0.0,-30.287206266318538,-68.29679595278247,1600.0,795056.0
1700.0,3.699014691,7.608190965755162E-7,1700.0,37.29411764705882,0.0,-32.09417596034696,-70.55999999999999,1700.0,795056.0
1800.0,3.895589689,8.012509479957283E-7,1800.0,37.44444444444445,0.0,-30.02309468822169,-69.32330827067668,1800.0,795056.0
1900.0,4.097834831,8.428490434554759E-7,1900.0,37.57894736842105,0.0,-28.913043478260885,-68.22695035460991,1900.0,795056.0
2000.0,4.293773185,8.831499489472766E-7,2000.0,37.5,0.0,-30.072840790842864,-68.69095816464235,2000.0,795056.0
2100.0,4.504404668,9.264729600713817E-7,2100.0,37.523809523809526,0.0,-30.158730158730158,-68.42105263157896,2100.0,795056.0
2200.0,4.708235209,9.683971428640146E-7,2200.0,38.31818181818182,0.0,-27.179006560449864,-62.70983213429254,2200.0,795056.0
2300.0,4.919172405,1.0117830335135882E-6,2300.0,38.173913043478265,0.0,-27.877697841726608,-63.636363636363626,2300.0,795056.0
2400.0,5.122873247,1.0536805396141154E-6,2400.0,38.416666666666664,0.0,-27.744165946413148,-61.883899233296844,2400.0,795056.0
