learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.320108972,6.584051138680842E-8,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,0.64912079,1.3351217398995327E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,0.870410712,1.7902742942998807E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.08513881,2.2319303870081075E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,1.293916755,2.6613481124533965E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,1.509811912,3.1054046302699384E-7,600.0,29.833333333333336,0.0,-80.68669527896996,-136.5168539325843,600.0,795056.0
700.0,1.727154412,3.5524380656866567E-7,700.0,29.714285714285715,0.0,-76.97841726618705,-137.68115942028987,700.0,795056.0
800.0,1.941509767,3.993327494793344E-7,800.0,29.625,0.0,-77.602523659306,-138.55932203389827,800.0,795056.0
900.0,2.177101391,4.47789601237331E-7,900.0,29.555555555555557,0.0,-78.59154929577463,-139.24528301886795,900.0,795056.0
1000.0,2.380311368,4.895861454609699E-7,1000.0,29.9,0.0,-75.6892230576441,-135.23489932885903,1000.0,795056.0
1100.0,2.591163948,5.32954632160018E-7,1100.0,29.454545454545457,0.0,-77.57437070938217,-140.2476780185759,1100.0,795056.0
1200.0,2.813958274,5.78779315755326E-7,1200.0,29.166666666666668,0.0,-78.94736842105262,-143.5530085959885,1200.0,795056.0
1300.0,3.017070498,6.205557539898406E-7,1300.0,30.0,0.0,-75.33718689788053,-133.93316195372756,1300.0,795056.0
1400.0,3.237245995,6.65841792762052E-7,1400.0,30.428571428571427,0.0,-71.1775043936731,-129.17647058823528,1400.0,795056.0
1500.0,3.443254785,7.082140011979268E-7,1500.0,30.06666666666667,0.0,-73.96351575456052,-133.11111111111106,1500.0,795056.0
1600.0,3.641411422,7.489711665883745E-7,1600.0,30.1875,0.0,-72.11093990755008,-131.7427385892116,1600.0,795056.0
1700.0,3.842584352,7.903487278158137E-7,1700.0,29.764705882352942,0.0,-73.79912663755455,-136.43564356435638,1700.0,795056.0
1800.0,4.039587016,8.308685422442689E-7,1800.0,29.61111111111111,0.0,-74.27785419532327,-138.1578947368421,1800.0,795056.0
1900.0,4.246998466,8.735292519712035E-7,1900.0,29.578947368421055,0.0,-74.67362924281981,-138.50267379679138,1900.0,795056.0
2000.0,4.45069994,9.154268880624739E-7,2000.0,29.45,0.0,-74.84510532837672,-139.9659863945578,2000.0,795056.0
2100.0,4.649927822,9.564043887911655E-7,2100.0,28.952380952380953,0.0,-77.40784780023785,-145.79901153212523,2100.0,795056.0
2200.0,4.850281137,9.97613370330247E-7,2200.0,29.272727272727273,0.0,-76.61748013620883,-141.99066874027997,2200.0,795056.0
2300.0,5.056902337,1.0401115402077098E-6,2300.0,29.304347826086957,0.0,-76.7391304347826,-141.6047548291233,2300.0,795056.0
2400.0,5.254839029,1.0808234669683667E-6,2400.0,29.375,0.0,-76.37877211238295,-140.76704545454547,2400.0,795056.0
2500.0,5.456728854,1.1223484802747518E-6,2500.0,29.360000000000003,0.0,-75.8964143426295,-140.9276944065484,2500.0,795056.0
2600.0,5.656405129,1.1634182071732937E-6,2600.0,29.46153846153846,0.0,-73.67424242424241,-139.7385620915033,2600.0,795056.0
2700.0,5.857527509,1.204785371198087E-6,2700.0,29.40740740740741,0.0,-72.17705510388436,-140.3530895334174,2700.0,795056.0
2800.0,6.053168644,1.2450251442235541E-6,2800.0,29.32142857142857,0.0,-73.44434706397898,-141.34146341463418,2800.0,795056.0
2900.0,6.264415781,1.2884747840202143E-6,2900.0,29.24137931034483,0.0,-72.87278854254421,-142.2668240850059,2900.0,795056.0
3000.0,6.461068387,1.328922597974609E-6,3000.0,29.2,0.0,-71.98380566801622,-142.74285714285716,3000.0,795056.0
3100.0,6.662464317,1.3703460261889918E-6,3100.0,29.419354838709676,0.0,-71.33907595927954,-140.17563117453352,3100.0,795056.0
3200.0,6.85854281,1.410675755688341E-6,3200.0,29.531249999999996,0.0,-70.70401211203632,-138.87711864406776,3200.0,795056.0
3300.0,7.057131031,1.4515216899473674E-6,3300.0,29.757575757575754,0.0,-69.69253294289898,-136.28950050968402,3300.0,795056.0
3400.0,7.264316815,1.4941359843403307E-6,3400.0,29.470588235294116,0.0,-72.14644651830584,-139.56043956043956,3400.0,795056.0
3500.0,7.466847492,1.535792809083114E-6,3500.0,29.714285714285715,0.0,-70.59639389736475,-136.76612127045237,3500.0,795056.0
3600.0,7.671582003,1.5779029218317445E-6,3600.0,29.916666666666668,0.0,-70.47297297297297,-134.47955390334573,3600.0,795056.0
3700.0,7.888157866,1.6224485822825217E-6,3700.0,29.81081081081081,0.0,-71.64573694646396,-135.6624319419238,3700.0,795056.0
3800.0,8.089363217,1.6638328119116814E-6,3800.0,29.68421052631579,0.0,-71.83279742765272,-137.08961845607809,3800.0,795056.0
3900.0,8.296260127,1.7063876902508942E-6,3900.0,29.641025641025642,0.0,-71.82216656230432,-137.57575757575762,3900.0,795056.0
4000.0,8.493375593,1.746930705970207E-6,4000.0,29.925,0.0,-70.3951367781155,-134.36454849498324,4000.0,795056.0
4100.0,8.695917952,1.7885899334849252E-6,4100.0,29.926829268292682,0.0,-70.50445103857565,-134.33931484502443,4100.0,795056.0
4200.0,8.898154983,1.8301863606615737E-6,4200.0,29.928571428571427,0.0,-71.20418848167542,-134.31528662420388,4200.0,795056.0
4300.0,9.094580386,1.8705874431494458E-6,4300.0,30.023255813953487,0.0,-70.67498581962562,-133.25581395348834,4300.0,795056.0
4400.0,9.295934752,1.9120023224156435E-6,4400.0,29.954545454545457,0.0,-70.37037037037037,-134.0167046317388,4400.0,795056.0
4500.0,9.492920336,1.9525186238031256E-6,4500.0,30.0,0.0,-69.90291262135922,-133.50630096367678,4500.0,795056.0
4600.0,9.689314005,1.9929131791925057E-6,4600.0,29.84782608695652,0.0,-70.29023746701847,-135.2040816326531,4600.0,795056.0
4700.0,9.89793453,2.0358225733465204E-6,4700.0,29.744680851063833,0.0,-70.82255561303671,-136.36363636363632,4700.0,795056.0
4800.0,10.095431338,2.0764440240816855E-6,4800.0,29.770833333333336,0.0,-70.33855482566955,-136.06442577030813,4800.0,795056.0
4900.0,10.292288364,2.116933883459717E-6,4900.0,29.591836734693878,0.0,-71.81274900398405,-138.0952380952381,4900.0,795056.0
5000.0,10.494574578,2.158540426672325E-6,5000.0,29.599999999999998,0.0,-70.790878214459,-137.99864773495608,5000.0,795056.0
5100.0,10.698949917,2.200576664365195E-6,5100.0,29.843137254901958,0.0,-69.33270231897777,-135.23997370151218,5100.0,795056.0
5200.0,10.910473153,2.2440830926337305E-6,5200.0,29.96153846153846,0.0,-68.68920796665124,-133.91136801541427,5200.0,795056.0
5300.0,11.131964597,2.2896397974322535E-6,5300.0,30.245283018867923,0.0,-66.98283649503162,-130.77403245942574,5300.0,795056.0
5400.0,11.338639574,2.332149028246743E-6,5400.0,30.5,0.0,-65.5491839435377,-128.0072904009721,5400.0,795056.0
5500.0,11.542958575,2.3741736782521224E-6,5500.0,30.636363636363633,0.0,-65.15151515151514,-126.54394299287408,5500.0,795056.0
5600.0,11.746598159,2.4160585847119042E-6,5600.0,30.892857142857146,0.0,-64.61080391322841,-123.82880277617122,5600.0,795056.0
5700.0,11.952294359,2.458366499150251E-6,5700.0,30.982456140350877,0.0,-63.848396501457714,-122.88951841359777,5700.0,795056.0
5800.0,12.159406915,2.5009657318942463E-6,5800.0,31.120689655172413,0.0,-63.06122448979592,-121.45232815964526,5800.0,795056.0
5900.0,12.367588081,2.543784758005586E-6,5900.0,31.35593220338983,0.0,-61.93522590963614,-119.03731746890212,5900.0,795056.0
6000.0,12.574059867,2.5862521961790703E-6,6000.0,31.55,0.0,-60.995687965503706,-117.07188160676532,6000.0,795056.0
6100.0,12.774508463,2.6274807752624698E-6,6100.0,31.639344262295083,0.0,-60.569888332691576,-116.17418351477447,6100.0,795056.0
6200.0,12.983198376,2.6704044412482783E-6,6200.0,31.758064516129032,0.0,-59.53996983408749,-114.98983739837401,6200.0,795056.0
6300.0,13.187990511,2.7125264061908803E-6,6300.0,32.03174603174603,0.0,-58.76900259547646,-112.29548834903318,6300.0,795056.0
6400.0,13.391260903,2.754335376665713E-6,6400.0,32.234375,0.0,-57.42286751361163,-110.32977691561594,6400.0,795056.0
6500.0,13.59592576,2.7964311628712553E-6,6500.0,32.353846153846156,0.0,-57.20414730067931,-109.18173168411036,6500.0,795056.0
6600.0,13.804214794,2.839272375440656E-6,6600.0,32.59090909090909,0.0,-55.50506815798671,-106.9302325581395,6600.0,795056.0
6700.0,14.012549425,2.8821229664719566E-6,6700.0,32.626865671641795,0.0,-55.1735991749742,-106.59038901601834,6700.0,795056.0
6800.0,14.221267033,2.925052328808453E-6,6800.0,32.76470588235294,0.0,-54.40729483282676,-105.29860799281545,6800.0,795056.0
6900.0,14.423391583,2.9666256207180238E-6,6900.0,32.869565217391305,0.0,-54.09181636726548,-104.32289369210407,6900.0,795056.0
7000.0,14.636599968,3.0104786530546355E-6,7000.0,33.02857142857143,0.0,-53.35296041871115,-102.85590653396794,7000.0,795056.0
7100.0,14.858276007,3.0560733256399516E-6,7100.0,33.028169014084504,0.0,-53.23880116016757,-102.85836177474404,7100.0,795056.0
7200.0,15.07440626,3.1005273323326483E-6,7200.0,33.263888888888886,0.0,-52.39454487789409,-100.71010860484544,7200.0,795056.0
7300.0,15.279936698,3.1428011525849425E-6,7300.0,33.42465753424658,0.0,-51.6380655226209,-99.2619926199262,7300.0,795056.0
7400.0,15.484246894,3.1848239915642233E-6,7400.0,33.56756756756757,0.0,-50.982800982801,-97.98630688683046,7400.0,795056.0
7500.0,15.699408026,3.2290786679418807E-6,7500.0,33.6,0.0,-50.954834798423775,-97.69749900754267,7500.0,795056.0
7600.0,15.899386915,3.27021063695875E-6,7600.0,33.75,0.0,-49.98510574918082,-96.37285491419658,7600.0,795056.0
7700.0,16.104783437,3.3124569131598177E-6,7700.0,33.87012987012987,0.0,-49.150556531927336,-95.32029152282318,7700.0,795056.0
7800.0,16.30555598,3.3537521221661745E-6,7800.0,33.98717948717949,0.0,-48.7720312048541,-94.30188679245283,7800.0,795056.0
7900.0,16.509778687,3.3957569662718198E-6,7900.0,33.98734177215189,0.0,-48.32195676905576,-94.29955290611029,7900.0,795056.0
8000.0,16.716680964,3.4383129485039424E-6,8000.0,34.1,0.0,-47.840717891194615,-93.3259992665933,8000.0,795056.0
8100.0,16.92538313,3.4812391347058543E-6,8100.0,34.25925925925926,0.0,-47.221454243848505,-91.96106705118959,8100.0,795056.0
8200.0,17.135771096,3.5245120588745355E-6,8200.0,34.40243902439024,0.0,-46.566757493188035,-90.74468085106385,8200.0,795056.0
8300.0,17.357216888,3.570059373898673E-6,8300.0,34.6144578313253,0.0,-46.04413347685683,-88.96239554317546,8300.0,795056.0
8400.0,17.568336892,3.6134828647820997E-6,8400.0,34.67857142857143,0.0,-45.737051792828694,-88.42719780219778,8400.0,795056.0
8500.0,17.772007634,3.6553741798677973E-6,8500.0,34.87058823529412,0.0,-44.84563055991627,-86.83766452919338,8500.0,795056.0
8600.0,17.973521517,3.6968218688387316E-6,8600.0,35.0,0.0,-44.55650374967674,-85.77600531738119,8600.0,795056.0
8700.0,18.178315212,3.7389441546445605E-6,8700.0,34.97701149425288,0.0,-44.79140005119018,-85.9631821170283,8700.0,795056.0
8800.0,18.380509441,3.7805317782392575E-6,8800.0,35.04545454545455,0.0,-44.52591656131478,-85.4038274408044,8800.0,795056.0
8900.0,18.582611575,3.8221004595910734E-6,8900.0,35.12359550561798,0.0,-44.061876247505,-84.76799999999999,8900.0,795056.0
9000.0,18.78817205,3.864380457900259E-6,9000.0,35.333333333333336,0.0,-43.597335307179854,-83.07643913180246,9000.0,795056.0
9100.0,18.989630387,3.905816722083495E-6,9100.0,35.42857142857142,0.0,-43.35203708221517,-82.31461371393114,9100.0,795056.0
9200.0,19.189369645,3.9468994034234656E-6,9200.0,35.54347826086956,0.0,-43.0984555984556,-81.40104007341692,9200.0,795056.0
9300.0,19.404479551,3.991143543557746E-6,9300.0,35.612903225806456,0.0,-42.91169451073984,-80.85170643310175,9300.0,795056.0
9400.0,19.608394391,4.033085065099851E-6,9400.0,35.648936170212764,0.0,-42.59783121169261,-80.56716417910447,9400.0,795056.0
9500.0,19.816657495,4.075920944346509E-6,9500.0,35.73684210526316,0.0,-42.2082459818309,-79.87625220978197,9500.0,795056.0
9600.0,20.018575317,4.117451716119412E-6,9600.0,35.66666666666667,0.0,-42.3369439963125,-80.42652643879636,9600.0,795056.0
9700.0,20.220155502,4.1589130421888585E-6,9700.0,35.63917525773196,0.0,-42.63193968471556,-80.64236111111113,9700.0,795056.0
9800.0,20.423917331,4.200823092190429E-6,9800.0,35.76530612244898,0.0,-42.16350496838302,-79.65182648401829,9800.0,795056.0
9900.0,20.624934824,4.242168682893879E-6,9900.0,35.75757575757576,0.0,-42.31371671514881,-79.71178298954504,9900.0,795056.0
10000.0,20.822202395,4.2827429838062376E-6,10000.0,35.88,0.0,-41.88979862801506,-78.75662113186506,10000.0,795056.0
