learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.742594219,0.0,100.0,100.0,?,?,?,100.0,0.0
200.0,4.695745868,0.0,200.0,98.0,59.01639344262287,0.0,33.33333333333333,200.0,0.0
300.0,7.420937142,0.0,300.0,98.66666666666667,59.3495934959351,0.0,33.33333333333352,300.0,0.0
400.0,10.130223959,0.0,400.0,99.0,59.51417004048588,0.0,33.33333333333333,400.0,0.0
500.0,12.821793632,0.0,500.0,98.8,49.46091644204845,0.0,25.0,500.0,0.0
600.0,15.576776107,0.0,600.0,98.66666666666667,42.3076923076929,0.0,20.0000000000004,600.0,0.0
700.0,18.281628727,0.0,700.0,97.28571428571429,28.800856531049252,-58.333333333333435,13.636363636363779,700.0,0.0
800.0,20.983463901,0.0,800.0,85.125,5.16039051603899,-815.3846153846164,2.459016393442571,800.0,0.0
900.0,23.740536107,0.0,900.0,78.0,2.8300343530181626,-607.1428571428576,1.4925373134328699,900.0,0.0
1000.0,26.462785961,0.0,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,1000.0,0.0
1100.0,29.190624124,0.0,1100.0,70.72727272727273,1.5427380125086922,-235.41666666666666,0.9230769230769104,1100.0,0.0
1200.0,31.9874812,0.0,1200.0,70.33333333333334,1.3873179289490187,-204.27350427350413,0.8356545961002979,1200.0,0.0
1300.0,34.758908961,0.0,1300.0,68.0,1.135262609458715,-232.79999999999998,0.7159904534606317,1300.0,0.0
1400.0,37.532768457,0.0,1400.0,66.07142857142857,0.9561824193500471,-227.58620689655186,0.6276150627614976,1400.0,0.0
1500.0,40.293003976,0.0,1500.0,64.53333333333333,0.826446280991717,-197.20670391061466,0.5607476635514024,1500.0,0.0
1600.0,43.066683094,0.0,1600.0,63.0625,0.7202402200617422,-165.02242152466366,0.5050505050504943,1600.0,0.0
1700.0,45.840690694,0.0,1700.0,61.76470588235294,0.6357513465879275,-170.8333333333332,0.4594180704441198,1700.0,0.0
1800.0,48.61210234,0.0,1800.0,61.27777777777778,0.5863708399366021,-145.4225352112676,0.42857142857140995,1800.0,0.0
1900.0,51.400888171,0.0,1900.0,59.73684210526316,0.5147089019999624,-153.31125827814574,0.39062499999999023,1900.0,0.0
2000.0,54.177185613,0.0,2000.0,59.8,0.6367159693110868,-140.71856287425146,0.4950495049504955,2000.0,0.0
2100.0,56.95715701,0.0,2100.0,58.333333333333336,0.9553563343294584,-135.8490566037736,0.7936507936508118,2100.0,0.0
2200.0,59.73749969,0.0,2200.0,57.09090909090909,1.3288862916138149,-137.1859296482412,1.1518324607329853,2200.0,0.0
2300.0,62.51868747,0.0,2300.0,56.913043478260875,2.657248283166495,-143.48894348894345,2.36453201970444,2300.0,0.0
2400.0,65.302008198,0.0,2400.0,56.791666666666664,3.2315258064817014,-140.60324825986083,2.902621722846422,2400.0,0.0
2500.0,68.083165318,0.0,2500.0,57.199999999999996,4.7432519051349615,-133.1154684095861,4.293381037567082,2500.0,0.0
2600.0,70.86839909,0.0,2600.0,56.230769230769226,6.963230540511319,-147.93028322440088,6.568144499178982,2600.0,0.0
2700.0,73.667244588,0.0,2700.0,55.2962962962963,8.607584429103778,-162.96296296296288,8.421851289833079,2700.0,0.0
2800.0,76.466540225,0.0,2800.0,55.07142857142857,11.152993213888621,-174.0740740740741,8.972503617945003,2800.0,0.0
2900.0,79.485883068,0.0,2900.0,54.48275862068965,12.502857142857144,-187.5816993464053,4.486251808972494,2900.0,0.0
3000.0,82.317378501,0.0,3000.0,54.06666666666666,13.819126066733256,-200.21786492374724,0.2894356005788634,3000.0,0.0
3100.0,85.158717358,0.0,3100.0,54.12903225806451,15.64338519524378,-209.80392156862746,-2.8943560057887194,3100.0,0.0
3200.0,88.023761743,0.0,3200.0,54.03125,16.73046795948605,-217.7105831533478,-5.979827089337189,3200.0,0.0
3300.0,90.870877532,0.0,3300.0,54.81818181818182,18.29567192730752,-215.2219873150106,-4.926108374384216,3300.0,0.0
3400.0,93.730840721,0.0,3400.0,55.17647058823529,19.78661778979747,-219.49685534591202,-6.79747722494745,3400.0,0.0
3500.0,96.564845435,0.0,3500.0,55.800000000000004,20.692556334723267,-218.31275720164592,-5.095108695652155,3500.0,0.0
3600.0,99.405633508,0.0,3600.0,56.25,21.354860186418108,-219.47261663286008,-3.960396039603973,3600.0,0.0
3700.0,102.250033507,0.0,3700.0,56.99999999999999,22.45951408471481,-220.1207243460766,-1.9218449711723322,3700.0,0.0
3800.0,105.096737499,0.0,3800.0,57.23684210526315,23.18696355268067,-213.70656370656383,-2.5236593059936983,3800.0,0.0
3900.0,107.939847522,0.0,3900.0,57.692307692307686,23.717077725125886,-208.41121495327118,-0.7941356139279354,3900.0,0.0
4000.0,110.786328441,0.0,4000.0,58.175,25.17721773742705,-212.7102803738317,-2.1991447770311567,4000.0,0.0
4100.0,113.643806042,0.0,4100.0,58.21951219512195,25.70137948544346,-218.99441340782127,-4.0072859744990925,4100.0,0.0
4200.0,116.487469867,0.0,4200.0,58.738095238095234,26.740922179063514,-216.81901279707492,-3.89688249400481,4200.0,0.0
4300.0,119.342198143,0.0,4300.0,59.0,27.57387924808064,-221.71532846715328,-5.568862275449109,4300.0,0.0
4400.0,122.197892199,0.0,4400.0,59.63636363636363,28.52867706347103,-218.27956989247315,-3.9812646370023534,4400.0,0.0
4500.0,125.050042731,0.0,4500.0,60.28888888888889,29.55830433265264,-218.53832442067724,-2.6421596783457844,4500.0,0.0
4600.0,127.906495965,0.0,4600.0,60.76086956521739,30.540055875811007,-221.17437722419933,-3.3199771036061865,4600.0,0.0
4700.0,130.758219025,0.0,4700.0,61.38297872340426,31.43108206824531,-221.23893805309737,-1.4533258803801057,4700.0,0.0
4800.0,133.617467278,0.0,4800.0,61.75000000000001,32.06274760117393,-218.19757365684563,-1.1570247933884048,4800.0,0.0
4900.0,136.545680923,0.0,4900.0,62.04081632653061,32.633492345098055,-219.03945111492285,-1.583833970507908,4900.0,0.0
5000.0,139.548036493,0.0,5000.0,62.519999999999996,33.500662793287276,-217.0896785109984,-1.9032082653616111,5000.0,0.0
5100.0,142.429552781,0.0,5100.0,62.66666666666667,33.828592175768016,-221.07925801011788,-2.8077753779697465,5100.0,0.0
5200.0,145.308818293,0.0,5200.0,63.11538461538462,34.60805747063736,-221.2730318257957,-3.3405172413793114,5200.0,0.0
5300.0,148.25602766,0.0,5300.0,63.50943396226415,35.27008204941151,-220.7296849087894,-3.8668098818474883,5300.0,0.0
5400.0,151.260103721,0.0,5400.0,63.81481481481481,35.71729353210553,-220.85385878489333,-3.7154989384288717,5400.0,0.0
