learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,10.614587251,1.0877196785239789E-5,1000.0,66.9,-1.7547311338735807,18.271604938271622,-14.532871972318311,1000.0,3961104.0
2000.0,20.496558846,2.100365268250875E-5,2000.0,67.7,-0.9130601182525917,22.355769230769248,-6.7768595041322195,2000.0,3961104.0
3000.0,30.079385963,3.0823563136466453E-5,3000.0,68.30000000000001,-0.6342106933989844,23.49155269509253,-4.505494505494485,3000.0,3961104.0
4000.0,39.845834127,4.083163750249173E-5,4000.0,68.72500000000001,-0.46941946986518773,26.063829787234056,-3.3884297520661097,4000.0,3961104.0
5000.0,49.416557253,5.063914450741458E-5,5000.0,68.7,-0.40124571963505595,25.93469001419783,-2.6902887139107565,5000.0,3961104.0
6000.0,59.037153558,6.0497758575613715E-5,6000.0,69.1,-0.31304089370589594,26.457754859182852,-2.2614451185879836,6000.0,3961104.0
7000.0,68.764423622,7.046568555829805E-5,7000.0,69.44285714285714,-0.2507037568605201,27.07125809751108,-1.9542421353670285,7000.0,3961104.0
8000.0,78.29881228,8.023595916458019E-5,8000.0,69.15,-0.2437348427299525,27.2191094072545,-1.6893283889575763,8000.0,3961104.0
9000.0,87.917484805,9.009260185762016E-5,9000.0,69.1,-0.22311846901970955,27.407987470634282,-1.4963503649635335,9000.0,3961104.0
10000.0,97.528730733,9.994163421639996E-5,10000.0,69.13,-0.2018578924073137,27.24487390996937,-1.3460275771503587,10000.0,3961104.0
11000.0,107.127170491,1.0977754357492913E-4,11000.0,69.18181818181817,-0.1830160208467036,27.30002144542139,-1.2242460435951275,11000.0,3961104.0
12000.0,116.730600559,1.1961856670591179E-4,12000.0,69.38333333333333,-0.16055950331924884,27.391304347826072,-1.1285439031103996,12000.0,3961104.0
13000.0,126.289268725,1.294137205058482E-4,13000.0,69.54615384615384,-0.1428271335595907,27.755474452554747,-1.0464522715671327,13000.0,3961104.0
14000.0,135.902405845,1.392646908455458E-4,14000.0,69.59285714285714,-0.1318020673273576,27.90855207451314,-0.9724857685009364,14000.0,3961104.0
15000.0,146.166440262,1.4978266196624717E-4,15000.0,69.76,-0.11787835442348162,28.079911209766923,-0.9121245828698662,15000.0,3961104.0
16000.0,155.826676506,1.5968189668288623E-4,16000.0,69.69999999999999,-0.1131202885314361,27.932213468113567,-0.8529228208862153,16000.0,3961104.0
17000.0,165.609513856,1.6970676571054615E-4,17000.0,69.73529411764706,-0.10588230015838146,27.77933745087031,-0.803291536050151,17000.0,3961104.0
18000.0,175.325206984,1.7966282933876702E-4,18000.0,69.79444444444445,-0.09868925192135869,27.805072367547485,-0.759822090437339,18000.0,3961104.0
19000.0,184.95461101,1.8953046903483854E-4,19000.0,69.73157894736842,-0.09561705981299001,27.79661016949153,-0.718038528896683,19000.0,3961104.0
20000.0,194.571454729,1.9938523767641767E-4,20000.0,69.72,-0.09145575799818398,27.91334364956554,-0.681629260182875,20000.0,3961104.0
21000.0,204.283945814,2.093380200416933E-4,21000.0,69.64761904761905,-0.08918700741942388,27.822443664364172,-0.6474024948681427,21000.0,3961104.0
22000.0,213.838611306,2.191290721397231E-4,22000.0,69.67727272727274,-0.08465753660070519,27.59144686855532,-0.6184012066364761,22000.0,3961104.0
23000.0,223.682363634,2.292163632085992E-4,23000.0,69.80434782608695,-0.07826071745540705,27.663785022393483,-0.5938586326767064,23000.0,3961104.0
24000.0,233.279991835,2.39051440931853E-4,24000.0,69.84583333333333,-0.07426173049333615,27.695074433010276,-0.5697609783213196,24000.0,3961104.0
25000.0,242.804488424,2.4881157773501867E-4,25000.0,69.972,-0.06875537961206003,27.93510607660556,-0.5491561746584432,25000.0,3961104.0
26000.0,252.72013867,2.589725455078534E-4,26000.0,70.05384615384615,-0.06456081076238712,28.17343173431735,-0.5293737895416244,26000.0,3961104.0
27000.0,262.797431835,2.692991553162499E-4,27000.0,70.03703703703704,-0.06263225384336986,28.063311399608757,-0.509380047210819,27000.0,3961104.0
28000.0,272.619127136,2.7936384365762437E-4,28000.0,70.12857142857143,-0.058744436221186205,28.150502534146543,-0.4926108374384174,28000.0,3961104.0
29000.0,282.325460427,2.893103158823814E-4,29000.0,70.08965517241379,-0.05754703139479831,28.231011087208337,-0.474921811652987,29000.0,3961104.0
30000.0,292.00712974,2.9923151393152804E-4,30000.0,70.06,-0.05625444383483581,28.109492556427085,-0.45856168213844994,30000.0,3961104.0
31000.0,301.718885665,3.091835429486235E-4,31000.0,70.12903225806451,-0.05332110767681218,28.072083268603382,-0.4447337021369049,31000.0,3961104.0
32000.0,311.986727244,3.19705415422179E-4,32000.0,70.15,-0.051376229815361,28.175050755695917,-0.43107980233414334,32000.0,3961104.0
33000.0,322.48355731,3.3046194165812354E-4,33000.0,70.0909090909091,-0.05085695858212945,28.124089717448296,-0.4171329738528927,33000.0,3961104.0
34000.0,333.13731635,3.413792793595674E-4,34000.0,70.12352941176471,-0.04890627106458623,28.186638388123015,-0.4052584758327539,34000.0,3961104.0
35000.0,343.763966604,3.5226883759178096E-4,35000.0,70.13142857142857,-0.047444948926908835,28.126503953248534,-0.3937385959857969,35000.0,3961104.0
36000.0,353.970832919,3.6272822624661827E-4,36000.0,70.1,-0.04665198225898647,28.120200333889798,-0.38235568404365206,36000.0,3961104.0
37000.0,363.527952542,3.725217931919231E-4,37000.0,70.1054054054054,-0.045361269904334665,28.13332467026185,-0.37205081669692214,37000.0,3961104.0
38000.0,373.120112015,3.823512668884527E-4,38000.0,70.10263157894737,-0.04425215161488025,28.144962367971683,-0.36219081272085335,38000.0,3961104.0
39000.0,382.69193747,3.9215990349447747E-4,39000.0,70.05641025641025,-0.04379774517329391,28.108840187146,-0.35232448225490376,39000.0,3961104.0
40000.0,392.197870377,4.0190101734202574E-4,40000.0,70.06,-0.04269315247402497,28.154058431819546,-0.3435274403016519,40000.0,3961104.0
41000.0,401.83548495,4.1177707071762354E-4,41000.0,70.11219512195122,-0.04100172931103435,28.28466085328027,-0.3357078522885452,41000.0,3961104.0
42000.0,411.359256337,4.2153646437697434E-4,42000.0,70.15,-0.03957247019430225,28.232869654817105,-0.32810499359794715,42000.0,3961104.0
43000.0,420.989548266,4.314050139431547E-4,43000.0,70.16744186046512,-0.03846374867223173,28.291128626530277,-0.3206381481191655,43000.0,3961104.0
