learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,10.939016115,1.1192989525878243E-5,1000.0,34.9,0.0,-42.139737991266394,-86.5329512893983,1000.0,3955216.0
2000.0,22.008303917,2.268014271250673E-5,2000.0,45.9,-2.3476585371852052,-21.1646136618141,-48.4224965706447,2000.0,4011392.0
3000.0,32.636229274,3.370927203100308E-5,3000.0,49.833333333333336,-2.1271398067388096,-12.734082397003753,-38.83763837638378,3000.0,4011392.0
4000.0,42.979822987,4.444333619184369E-5,4000.0,52.87500000000001,-0.8076915466466797,-4.490022172949001,-31.084840055632796,4000.0,4011392.0
5000.0,53.359843899,5.521520267769E-5,5000.0,54.339999999999996,-1.1101477917685465,-2.1476510067114214,-26.69256381798,5000.0,4011392.0
6000.0,63.661101753,6.590533280173262E-5,6000.0,55.43333333333334,-1.3080252701768227,1.618837380426778,-24.662004662004644,6000.0,4011392.0
7000.0,74.130837087,7.677030042714616E-5,7000.0,56.39999999999999,-1.1220266058281148,3.9345294302801244,-21.836327345309392,7000.0,4011392.0
8000.0,84.797584706,8.783971754722671E-5,8000.0,57.3375,-0.8603270646556688,6.158922188616974,-19.754385964912306,8000.0,4011392.0
9000.0,94.943321652,9.836845585222233E-5,9000.0,57.74444444444444,-0.8618833138782542,7.221273481336904,-17.594310451453328,9000.0,4011392.0
10000.0,105.342717416,1.0916042859032925E-4,10000.0,57.95,-1.1618918414100943,8.247872572550742,-16.224433388612486,10000.0,4011392.0
11000.0,115.16377347,1.1935222930639514E-4,11000.0,58.54545454545455,-0.7976518487687937,9.970384995064164,-14.745848012078502,11000.0,4011392.0
12000.0,125.590214851,1.3017226863298208E-4,12000.0,58.916666666666664,-0.7138459849683457,10.785378212088304,-13.777982921763233,12000.0,4011392.0
13000.0,136.281100749,1.4126673525159358E-4,13000.0,59.15384615384616,-0.7530042800249642,11.779365343080245,-12.95469049138482,13000.0,4011392.0
14000.0,146.353791989,1.5171967037670478E-4,14000.0,59.47857142857143,-0.5863547951836309,12.669334975369445,-12.092471843509184,14000.0,4011392.0
15000.0,156.684808625,1.6244068267614985E-4,15000.0,59.63333333333334,-0.5546876674527385,13.438170121515386,-11.223365172667144,15000.0,4011392.0
16000.0,167.282550159,1.7343848873295484E-4,16000.0,59.724999999999994,-0.564263601735097,13.792642140468212,-10.550694801852806,16000.0,4011392.0
17000.0,177.787790964,1.8434030216016122E-4,17000.0,59.95294117647059,-0.48744084111885244,14.170448814926873,-10.019392372333556,17000.0,4011392.0
18000.0,188.348544181,1.9529972359176766E-4,18000.0,60.172222222222224,-0.5254132002529566,14.481689132768716,-9.701606732976263,18000.0,4011392.0
19000.0,198.270868115,2.0559661504820033E-4,19000.0,60.4,-0.4314965807654572,14.684204558339944,-9.201741654571851,19000.0,4011392.0
20000.0,209.058735311,2.1679172400679712E-4,20000.0,60.6,-0.4314998607150529,14.957910641053317,-8.85481420085648,20000.0,4011392.0
21000.0,219.467981102,2.275939186102187E-4,21000.0,59.74761904761905,0.8960197240330025,13.391393442622945,-10.266110096530124,21000.0,4011392.0
22000.0,229.865279606,2.3838371491680417E-4,22000.0,59.07727272727272,2.3207523222455975,12.037127503663886,-10.929029078363723,22000.0,4011392.0
23000.0,240.825750234,2.4975794308337417E-4,23000.0,58.36521739130435,3.075168329706503,10.496308066174398,-12.091771040618047,23000.0,4011392.0
24000.0,251.981472201,2.6133479332293626E-4,24000.0,57.733333333333334,3.7357858586234074,9.420483971783193,-13.025069637883016,24000.0,4011392.0
25000.0,263.021862015,2.7279195762311794E-4,25000.0,57.16,4.282433592618134,8.147512864494002,-13.827186736103721,25000.0,4011392.0
26000.0,274.167939645,2.8435879945215857E-4,26000.0,56.53846153846154,4.441622967898893,7.2478043174915925,-15.083002342397405,26000.0,4011392.0
27000.0,285.401398624,2.9601632127430915E-4,27000.0,56.05555555555556,4.819956275918158,6.360981769394693,-15.710942071386771,27000.0,4011392.0
28000.0,296.996628754,3.080492711008964E-4,28000.0,55.557142857142864,4.98777893472014,5.5555555555555545,-16.57142857142857,28000.0,4011392.0
29000.0,308.110360717,3.195825462146796E-4,29000.0,55.15517241379311,5.2746097214459535,4.829857299670692,-17.014576210185332,29000.0,4011392.0
30000.0,319.295129423,3.311895397070357E-4,30000.0,54.83,5.627995097642131,4.192590497737565,-17.142116182572593,30000.0,4011392.0
31000.0,332.227993809,3.4461061945500576E-4,31000.0,54.461290322580645,5.76552044098395,3.684246435150447,-17.622062989501753,31000.0,4011392.0
32000.0,345.253073703,3.581273958444876E-4,32000.0,54.096875,5.828587144719022,3.0493036763249934,-18.173773129525344,32000.0,4011392.0
33000.0,358.072109253,3.7143034972026274E-4,33000.0,53.769696969696966,5.903994300381643,2.5984804954350964,-18.60374718183939,33000.0,4011392.0
34000.0,369.28502334,3.83066551081167E-4,34000.0,53.4264705882353,5.883602200999692,2.0414475719146417,-19.203553146642584,34000.0,4011392.0
35000.0,380.117664058,3.943081237612894E-4,35000.0,53.20285714285714,6.058549629809088,1.8222142300545487,-19.206695778748188,35000.0,4011392.0
36000.0,391.210390322,4.058196002113716E-4,36000.0,52.986111111111114,6.191512301641393,1.5644992439222967,-19.24052416514021,36000.0,4011392.0
37000.0,401.674220611,4.1667843987645907E-4,37000.0,52.6918918918919,6.128615166471016,1.0570346503872172,-19.767362299007853,37000.0,4011392.0
38000.0,411.882592154,4.272721772331906E-4,38000.0,52.37631578947368,5.994653651144375,0.3798304524936704,-20.469977366529108,38000.0,4011392.0
39000.0,422.648630518,4.3844463332183277E-4,39000.0,52.13076923076924,5.963214772675771,-0.11798144473641646,-20.834951456310655,39000.0,4011392.0
40000.0,433.679305881,4.4989171645069094E-4,40000.0,51.885000000000005,5.904847981364067,-0.585345458346381,-21.249921249921247,40000.0,4011392.0
41000.0,443.957643647,4.605580612538876E-4,41000.0,51.65609756097561,5.852922422203807,-0.8959022652074328,-21.616149220763273,41000.0,4011392.0
42000.0,454.287642657,4.7127801751197234E-4,42000.0,51.426190476190484,5.77902501896875,-1.2305860169701681,-22.03014714678787,42000.0,4011392.0
43000.0,465.079553991,4.8247732327469465E-4,43000.0,51.27209302325581,5.810797192797761,-1.4280182011811309,-22.061050914598624,43000.0,4011392.0
44000.0,476.129229435,4.93944123737216E-4,44000.0,51.05227272727273,5.718259757271848,-1.7383910435070125,-22.494596746672723,44000.0,4011392.0
45000.0,486.526514225,5.047339058120982E-4,45000.0,50.866666666666674,5.665692080770114,-2.129428611021283,-22.771947359653495,45000.0,4011392.0
46000.0,497.474063815,5.160947251717521E-4,46000.0,50.63913043478261,5.536752118796935,-2.616712613549059,-23.31504915005704,46000.0,4011392.0
47000.0,508.289781946,5.273187364375667E-4,47000.0,50.49361702127659,5.519990715214399,-2.8556272654937693,-23.43111771258821,47000.0,4011392.0
48000.0,519.019623206,5.384536289822846E-4,48000.0,50.297916666666666,5.418639062281143,-3.2100367726584507,-23.855259059287707,48000.0,4011392.0
49000.0,530.621279665,5.504932477316581E-4,49000.0,50.114285714285714,5.3266093101476475,-3.6421454314182693,-24.238881829733174,49000.0,4011392.0
50000.0,541.231061665,5.615035487818045E-4,50000.0,50.016000000000005,5.344910941476419,-3.7658293543699264,-24.171510905748484,50000.0,4011392.0
51000.0,551.503421143,5.721636896167533E-4,51000.0,49.6078431372549,4.934750155779872,-4.893677809069023,-25.863166658504333,51000.0,4011392.0
52000.0,561.717384337,5.82763229709194E-4,52000.0,49.275000000000006,4.6318819316883095,-5.876450046160624,-27.167100568894025,52000.0,4011392.0
53000.0,571.900164427,5.933304095361063E-4,53000.0,48.888679245283015,4.264283833773074,-7.041530011459277,-28.81122206371849,53000.0,4011392.0
54000.0,582.059992993,6.038737714194642E-4,54000.0,48.525925925925925,3.933669886353263,-8.004351880634132,-30.35689161937815,54000.0,4011392.0
55000.0,592.23685352,6.144348082199962E-4,55000.0,48.199999999999996,3.654462747359008,-8.960875052587287,-31.721300106338727,55000.0,4011392.0
56000.0,602.44671839,6.25030095276791E-4,56000.0,47.871428571428574,3.376430566567627,-9.785633696878518,-33.13266748757241,56000.0,4011392.0
57000.0,613.079054551,6.360638019070467E-4,57000.0,47.56842105263158,3.133130122516343,-10.66019920761284,-34.421805424369204,57000.0,4011392.0
58000.0,625.063993085,6.485011716217911E-4,58000.0,47.255172413793105,2.881596352933161,-11.551925320886802,-35.801482665246155,58000.0,4011392.0
59000.0,635.524877037,6.59356953725718E-4,59000.0,47.01525423728813,2.7169290288007617,-12.179280152151296,-36.761746434508694,59000.0,4011392.0
60000.0,645.814309382,6.700348119280415E-4,60000.0,46.755,2.5307540229655645,-12.823138861421105,-37.86897980321077,60000.0,4011392.0
61000.0,656.069495002,6.806771305922075E-4,61000.0,46.47868852459016,2.3292798888537174,-13.562210859508154,-39.09931404712198,61000.0,4011392.0
62000.0,666.30082689,6.912946950464859E-4,62000.0,46.208064516129035,2.1367842842527516,-14.399890234281209,-40.31891618983506,62000.0,4011392.0
63000.0,676.392590624,7.017674226518496E-4,63000.0,45.950793650793656,1.9609938227866746,-15.06826169234927,-41.47831145088913,63000.0,4011392.0
64000.0,686.366008961,7.121173373239343E-4,64000.0,45.6828125,1.776644226937834,-15.753196590303695,-42.72869108227952,64000.0,4011392.0
65000.0,696.475736515,7.226087068831297E-4,65000.0,45.47846153846154,1.6588749461255985,-16.269685039370085,-43.594003241491095,65000.0,4011392.0
66000.0,706.500237705,7.330116327848543E-4,66000.0,45.24848484848485,1.5164865335802549,-16.95633880312003,-44.6423568026258,66000.0,4011392.0
67000.0,716.511264058,7.434005751747621E-4,67000.0,45.00746268656716,1.365079979456506,-17.674299766855096,-45.78222679433409,67000.0,4011392.0
68000.0,726.58919614,7.538589489835499E-4,68000.0,44.78823529411765,1.2364305325997778,-18.356924434916937,-46.799608993157385,68000.0,4011392.0
69000.0,736.603587772,7.642513836916699E-4,69000.0,44.54492753623188,1.0868211665771683,-19.16165799881662,-47.9945851866177,69000.0,4011392.0
70000.0,746.508621988,7.745303327436071E-4,70000.0,44.33571428571428,0.9706588401100008,-19.74124950062997,-48.98294715913437,70000.0,4011392.0
71000.0,756.610972988,7.850140472840424E-4,71000.0,44.12676056338028,0.8559754558767383,-20.33975428484758,-49.98676698551931,71000.0,4011392.0
72000.0,766.621584944,7.954025596334719E-4,72000.0,43.90972222222223,0.7354703765458164,-20.960253991074378,-51.06231764793895,72000.0,4011392.0
73000.0,776.607065232,8.057649915949564E-4,73000.0,43.72191780821918,0.6419112588301207,-21.49342007984621,-51.95665039206981,73000.0,4011392.0
74000.0,787.318023826,8.168802886534249E-4,74000.0,43.5527027027027,0.5649937962003796,-21.84883754849627,-52.73877431622056,74000.0,4011392.0
75000.0,797.317330762,8.272570692185843E-4,75000.0,43.348,0.45865719508693437,-22.524367033854332,-53.77850162866452,75000.0,4011392.0
76000.0,808.801448131,8.391747117797515E-4,76000.0,43.14605263157895,0.3559826339224261,-23.197331280472167,-54.815478323181644,76000.0,4011392.0
77000.0,819.416102492,8.501900691224245E-4,77000.0,42.96363636363637,0.270492069989079,-23.796369376479863,-55.73206623878585,77000.0,4011392.0
78000.0,830.025354374,8.611998200426274E-4,78000.0,42.77307692307693,0.1793654741346268,-24.319732627767728,-56.720033705498196,78000.0,4011392.0
79000.0,841.195068069,8.727911901976309E-4,79000.0,42.60506329113924,0.10705263102653477,-24.84374569784412,-57.56333182750113,79000.0,4011392.0
80000.0,852.780919892,8.848144076863237E-4,80000.0,42.5,0.08402276629200102,-25.04417321336342,-57.97245784539303,80000.0,4011392.0
81000.0,864.221766025,8.966871455232306E-4,81000.0,42.501234567901236,0.1413796492636338,-24.9269064671012,-57.637502115417135,81000.0,4011392.0
