learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.473996477,9.749233283353763E-8,100.0,56.00000000000001,3.0409872190392555,12.00000000000001,-4.76190476190474,100.0,795056.0
200.0,0.985050767,2.026067742994966E-7,200.0,53.5,6.155398587285586,3.1250000000000027,0.0,200.0,795056.0
300.0,1.293294288,2.6600678126434486E-7,300.0,56.99999999999999,14.403255772803671,13.99999999999999,6.5217391304347645,300.0,795056.0
400.0,1.590436285,3.271234095011114E-7,400.0,57.25,14.61100569259963,18.181818181818187,8.064516129032254,400.0,795056.0
500.0,1.868058244,3.8422512595274387E-7,500.0,55.800000000000004,11.404380872967524,12.648221343873528,5.555555555555561,500.0,795056.0
600.0,2.506406911,5.156247210689469E-7,600.0,53.666666666666664,7.333333333333325,7.333333333333325,1.0676156583629903,600.0,795680.0
700.0,2.776984478,5.713212151470449E-7,700.0,52.85714285714286,5.898647547661724,8.077994428969358,-2.1671826625387016,700.0,795680.0
800.0,2.964725894,6.099664686334795E-7,800.0,51.24999999999999,2.6460309535696425,3.4653465346534573,-5.121293800539094,800.0,795680.0
900.0,3.143778625,6.46823217263379E-7,900.0,50.44444444444445,0.9436755967070193,0.6681514476614853,-5.9382422802850385,900.0,795680.0
1000.0,3.396477522,6.988395125400026E-7,1000.0,50.7,1.4118305803303515,0.20242914979757104,-5.117270788912585,1000.0,795680.0
1100.0,3.669718399,7.550842302986068E-7,1100.0,50.727272727272734,1.3740144845543554,-1.1194029850746112,-6.274509803921561,1100.0,795680.0
1200.0,3.956513846,8.141190612070427E-7,1200.0,51.24999999999999,2.3660244891601057,-1.2110726643598664,-4.464285714285722,1200.0,795680.0
1300.0,4.266751893,8.779793868767468E-7,1300.0,51.0,1.853651598833766,-1.5948963317384313,-3.7459283387622113,1300.0,795680.0
1400.0,4.519263535,9.299571370252054E-7,1400.0,50.57142857142857,1.0736086689253677,-2.6706231454006026,-2.9761904761904887,1400.0,795680.0
1500.0,4.782050722,9.840500360294512E-7,1500.0,50.93333333333333,1.8289689907590965,-1.9390581717451696,-1.5172413793103616,1500.0,795680.0
1600.0,5.05005812,1.0392174788485134E-6,1600.0,51.0,2.0171469992751323,-2.0833333333333353,-1.55440414507771,1600.0,795680.0
1700.0,5.30515246,1.0917268592627676E-6,1700.0,51.0,2.032542823145252,-1.7094017094016984,-1.7094017094016984,1700.0,795680.0
1800.0,5.563853217,1.1449785953176268E-6,1800.0,51.0,2.030479406406901,-1.3793103448275952,-1.6129032258064506,1800.0,795680.0
1900.0,5.824358854,1.198601853259338E-6,1900.0,51.21052631578947,2.407427518966634,-0.9803921568627435,-1.0905125408942238,1900.0,795680.0
2000.0,6.085000125,1.2522530305084833E-6,2000.0,51.349999999999994,2.718288961675204,-0.6204756980351608,-0.9336099585062364,2000.0,795680.0
2100.0,6.392326764,1.3155140632647772E-6,2100.0,51.28571428571429,2.632013096612896,0.19512195121952966,-1.8924302788844458,2100.0,795680.0
2200.0,6.673806887,1.37345477201456E-6,2200.0,51.0,2.0386178341265513,-0.18587360594794522,-1.794145420207749,2200.0,795680.0
2300.0,6.940411617,1.4283334854654719E-6,2300.0,51.0,2.0488829771153836,0.26548672566372883,-1.8987341772151833,2300.0,795680.0
2400.0,7.210272578,1.4838824712254272E-6,2400.0,50.66666666666667,1.3629244559965616,0.08438818565402162,-2.0689655172413812,2400.0,795680.0
2500.0,7.47908506,1.5392156349382632E-6,2500.0,50.6,1.2069550303658658,-0.16220600162206467,-1.5624999999999876,2500.0,795680.0
2600.0,7.677559164,1.5800701369601985E-6,2600.0,50.69230769230769,1.3724766125061572,-0.6279434850863446,-1.58478605388272,2600.0,795680.0
2700.0,7.917522645,1.6294649361915638E-6,2700.0,50.85185185185185,1.697338977228691,0.45011252813203584,-0.9893455098934576,2700.0,795680.0
2800.0,8.167373614,1.6808950054674678E-6,2800.0,50.464285714285715,0.9252352375131048,-0.21676300578033258,-1.835535976505133,2800.0,795680.0
2900.0,8.390898075,1.7269059477507819E-6,2900.0,50.275862068965516,0.5517241379310311,-1.2640449438202226,-2.633451957295372,2900.0,795680.0
3000.0,8.660808127,1.782465038548716E-6,3000.0,50.4,0.8098749280071645,-0.6765899864681933,-2.833448514167253,3000.0,795680.0
3100.0,8.854768273,1.8223903739815535E-6,3100.0,50.58064516129033,1.1612903225806548,0.13037809647980741,-2.3380093520373966,3100.0,795680.0
3200.0,9.061135141,1.864869546105522E-6,3200.0,50.625,1.2543201234945935,0.12642225031605292,-2.5974025974026116,3200.0,795680.0
3300.0,9.321946272,1.9185556878441073E-6,3300.0,50.54545454545455,1.0990463961826438,0.0,-3.1605562579013884,3300.0,795680.0
3400.0,9.582731823,1.972236564119135E-6,3400.0,50.5,1.0119881675229658,0.11869436201780821,-3.314917127071821,3400.0,795680.0
3500.0,9.854693257,2.0282179175114216E-6,3500.0,50.6,1.2018065955365322,0.4032258064516132,-2.6112759643916905,3500.0,795680.0
3600.0,10.129350016,2.0847540846473803E-6,3600.0,50.527777777777786,1.0650215565794687,0.44717719396311073,-2.888503755054871,3600.0,795680.0
3700.0,10.412396441,2.1430172056763284E-6,3700.0,50.45945945945945,0.939295467053667,0.1089918256130779,-3.2676056338028303,3700.0,795680.0
3800.0,10.684094443,2.198944333439378E-6,3800.0,50.368421052631575,0.7493515360252295,-0.21253985122211377,-3.1164570803717906,3800.0,795680.0
3900.0,10.884908027,2.2402804010079718E-6,3900.0,50.256410256410255,0.5321778273261637,-0.5702436495593687,-3.4115138592750505,3900.0,795680.0
4000.0,11.046941109,2.273633774283255E-6,4000.0,50.2,0.40684702926673333,-0.6060606060606066,-3.1589849818746734,4000.0,795680.0
4100.0,11.238554721,2.313076092153018E-6,4100.0,50.29268292682927,0.5962464548794135,-0.09823182711198436,-3.1376518218623506,4100.0,795680.0
4200.0,11.416661788,2.3497381824823056E-6,4200.0,50.642857142857146,1.2944881089934932,0.7183908045976987,-2.2189349112425956,4200.0,795680.0
4300.0,11.681796875,2.404314380231144E-6,4300.0,50.604651162790695,1.2160339533379405,0.7012622720897538,-2.1645021645021636,4300.0,795680.0
4400.0,11.948446577,2.4592023508527796E-6,4400.0,50.65909090909091,1.322871020591993,1.1384335154827059,-1.8770530267479946,4400.0,795680.0
4500.0,12.215490106,2.5141713879996874E-6,4500.0,50.62222222222223,1.2454002914342237,1.375943186861962,-1.7399267399267466,4500.0,795680.0
4600.0,12.483122716,2.5692616833380696E-6,4600.0,50.65217391304348,1.3076313529077181,1.1754462342185326,-1.885098743267521,4600.0,795680.0
4700.0,12.735811053,2.6212758049127713E-6,4700.0,50.5531914893617,1.1055413237559504,1.0642826734780828,-2.0193151887620777,4700.0,795680.0
4800.0,12.995743469,2.674781069332751E-6,4800.0,50.604166666666664,1.2076129721778872,0.9193480986209658,-2.066293585880329,4800.0,795680.0
4900.0,13.257081149,2.72857559748927E-6,4900.0,50.69387755102041,1.3865722337693935,1.2668573763792328,-2.1564482029598335,4900.0,795680.0
5000.0,13.509256576,2.7804841401385106E-6,5000.0,50.760000000000005,1.5222689269239424,1.4805922368947726,-2.115304852758189,5000.0,795680.0
5100.0,13.781631165,2.8365505385892842E-6,5100.0,50.68627450980392,1.3750061128811524,1.4884449667058355,-2.277348515656772,5100.0,795680.0
5200.0,14.048571898,2.891498415900701E-6,5200.0,50.80769230769231,1.6173493576681588,2.1048603138155415,-1.912350597609569,5200.0,795680.0
5300.0,14.316228316,2.9465936119488714E-6,5300.0,50.81132075471698,1.6222772772102871,2.066115702479338,-1.915559030492579,5300.0,795680.0
5400.0,14.582019626,3.001304888598886E-6,5400.0,50.77777777777778,1.5558391395580349,2.13549337260677,-2.0345489443378155,5400.0,795680.0
5500.0,14.84734567,3.05592039350662E-6,5500.0,50.8,1.6002992652055361,2.133815551537076,-1.9977384093479142,5500.0,795680.0
5600.0,15.116160076,3.1112539532613595E-6,5600.0,50.910714285714285,1.8200510466345834,2.3445825932504447,-2.041573867854484,5600.0,795680.0
5700.0,15.378565607,3.1652682910553043E-6,5700.0,50.96491228070176,1.9270474879559445,2.3751309814879504,-2.044541803577941,5700.0,795680.0
5800.0,15.552166504,3.201002817900662E-6,5800.0,50.98275862068965,1.964538052460919,2.5034293552811935,-1.680972818311874,5800.0,795680.0
5900.0,15.798346514,3.2516772460180198E-6,5900.0,51.0,1.9993018048505538,2.6599326599326623,-1.545486476993325,5900.0,795680.0
6000.0,15.952621373,3.283433643512321E-6,6000.0,51.083333333333336,2.167775431878447,2.6533996683250476,-1.3466850828729178,6000.0,795680.0
6100.0,16.112015157,3.316243735808855E-6,6100.0,51.16393442622951,2.329254774347733,2.742409402546518,-1.4991482112436112,6100.0,795680.0
6200.0,16.32742521,3.3605843841275582E-6,6200.0,51.20967741935484,2.420512389343136,2.858060372511238,-1.306095110515751,6200.0,795680.0
6300.0,16.596523459,3.415976370972702E-6,6300.0,51.17460317460317,2.3495114300978215,2.689022461246442,-1.2508229098090897,6300.0,795680.0
6400.0,16.854609823,3.4691016385384493E-6,6400.0,51.265625,2.531250000000007,3.0161691542288636,-1.2991230919129542,6400.0,795680.0
6500.0,17.123419933,3.5244343139917247E-6,6500.0,51.2,2.4008778145900758,2.699386503067488,-1.5690041626640956,6500.0,795680.0
6600.0,17.396944054,3.5807373355407855E-6,6600.0,51.15151515151515,2.304824521129089,2.7744270205066304,-1.767676767676779,6600.0,795680.0
6700.0,17.667934396,3.6365187964570364E-6,6700.0,51.16417910447761,2.3288368825102674,2.792632204396913,-1.5203226807322308,6700.0,795680.0
6800.0,17.937702171,3.692048600532587E-6,6800.0,51.33823529411765,2.6772114537536478,3.1606672519754264,-1.192660550458716,6800.0,795680.0
6900.0,18.202788927,3.746614849684115E-6,6900.0,51.30434782608696,2.60898203617971,3.1141868512110813,-1.174345076784085,6900.0,795680.0
7000.0,18.470111463,3.8016413184647516E-6,7000.0,51.31428571428571,2.6285714285714246,2.9888983774551585,-0.977777777777792,7000.0,795680.0
7100.0,18.682851775,3.845432419326711E-6,7100.0,51.2112676056338,2.4225971528841628,2.614562833848748,-1.286549707602333,7100.0,795680.0
7200.0,18.927555031,3.895802867992529E-6,7200.0,51.31944444444444,2.638964013145032,2.8008874098724292,-1.0960484568791562,7200.0,795680.0
7300.0,19.162781812,3.944222650756621E-6,7300.0,51.21917808219179,2.4380632405726894,2.5718194254446103,-1.251066249644569,7300.0,795680.0
7400.0,19.337695697,3.9802274469712294E-6,7400.0,51.27027027027027,2.539857109297468,2.4878312601406134,-1.1784511784511895,7400.0,795680.0
7500.0,19.541172079,4.022111632828721E-6,7500.0,51.373333333333335,2.746279380739234,2.6947705442903023,-0.8852005532503404,7500.0,795680.0
7600.0,19.79219938,4.073783841794912E-6,7600.0,51.421052631578945,2.842132176694687,2.9442691903259726,-0.6543075245365388,7600.0,795680.0
7700.0,20.039311604,4.124650159624732E-6,7700.0,51.44155844155844,2.883156195045554,2.9083354972734425,-0.5918751681463387,7700.0,795680.0
7800.0,20.265756739,4.171262302162557E-6,7800.0,51.47435897435897,2.9489476553507052,2.8490759753593284,-0.7184672698243859,7800.0,795680.0
7900.0,20.514200472,4.222402701779555E-6,7900.0,51.45569620253164,2.9114297408377885,2.8375981758297324,-0.5506030414263363,7900.0,795680.0
8000.0,20.756886159,4.2723578480198734E-6,8000.0,51.4875,2.975012128123469,2.780561122244483,-0.51800051800053,8000.0,795680.0
8100.0,21.001685947,4.3227481671207234E-6,8100.0,51.55555555555556,3.111105204152111,2.9193468579910853,-0.5895924122020123,8100.0,795680.0
8200.0,21.246154587,4.373070321728761E-6,8200.0,51.51219512195122,3.0243902439024417,2.9533805223334175,-0.9137055837563459,8200.0,795680.0
8300.0,21.493946112,4.424076468904167E-6,8300.0,51.578313253012055,3.156626506024107,2.969579913085475,-0.9545340366741808,8300.0,795680.0
8400.0,21.749762542,4.476734486479494E-6,8400.0,51.654761904761905,3.3070242632122464,3.263458789899945,-0.9194831013916515,8400.0,795680.0
8500.0,22.009174495,4.530132617241947E-6,8500.0,51.6235294117647,3.243710855046875,2.9272898961284075,-0.9575251657255144,8500.0,795680.0
8600.0,22.275589959,4.58497237161445E-6,8600.0,51.58139534883721,3.1589935246244245,2.8917910447761304,-1.0924981791696895,8600.0,795680.0
8700.0,22.540078926,4.63941557009379E-6,8700.0,51.643678160919535,3.2829402277900126,3.1091662828189723,-0.9841574651944338,8700.0,795680.0
8800.0,22.806425275,4.694241097628383E-6,8800.0,51.63636363636363,3.2658919287272035,3.0082041932543326,-1.0926365795724506,8800.0,795680.0
8900.0,23.074253648,4.749371689407047E-6,8900.0,51.7191011235955,3.4303020875839674,3.0460288808664093,-0.821210699202252,8900.0,795680.0
9000.0,23.327864607,4.8015757262482985E-6,9000.0,51.71111111111111,3.4150105430094264,3.0559892928842127,-0.7884972170686437,9000.0,795680.0
9100.0,23.578531598,4.853173767928547E-6,9100.0,51.65934065934066,3.3096953437430847,3.0416574829182217,-0.8713597798670045,9100.0,795680.0
9200.0,23.823603727,4.903620146513788E-6,9200.0,51.71739130434783,3.4242806838305135,3.3927794693344913,-0.7484690405987744,9200.0,795680.0
9300.0,24.068157488,4.953959822682556E-6,9300.0,51.784946236559136,3.5581173976149634,3.4868704261730366,-0.6735518634935024,9300.0,795680.0
9400.0,24.250613712,4.9915171564711625E-6,9400.0,51.72340425531915,3.4329595118032463,3.3233915636983498,-0.75488454706926,9400.0,795680.0
9500.0,24.431844863,5.028822317576549E-6,9500.0,51.83157894736842,3.6469300092647092,3.663157894736835,-0.6156552330694951,9500.0,795680.0
9600.0,24.651107966,5.073956089208788E-6,9600.0,51.927083333333336,3.836169338636651,3.7940379403793973,-0.34790171776473955,9600.0,795680.0
