learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.45798704,9.419948692388005E-8,100.0,35.0,0.0,-35.41666666666667,-91.17647058823532,100.0,795056.0
200.0,0.81688926,1.6801905391390125E-7,200.0,27.500000000000004,0.0,-93.33333333333333,-168.51851851851848,200.0,795056.0
300.0,1.051702547,2.163158161068004E-7,300.0,30.0,0.0,-74.99999999999999,-135.9550561797753,300.0,795056.0
400.0,1.307467137,2.6892187489679706E-7,400.0,29.75,0.0,-86.0927152317881,-138.13559322033896,400.0,795056.0
500.0,1.549499642,3.1870349707960256E-7,500.0,28.999999999999996,0.0,-87.83068783068784,-146.52777777777774,500.0,795056.0
600.0,2.128329557,4.3862305422707567E-7,600.0,34.833333333333336,-2.065677044358983,-67.81115879828327,-119.66292134831464,600.0,800832.0
700.0,2.379258887,4.906095417065836E-7,700.0,39.85714285714286,-1.5660541226099036,-51.438848920863315,-103.38164251207729,700.0,800832.0
800.0,2.606706754,5.377312380425053E-7,800.0,44.0,-0.25455257489720295,-41.32492113564669,-89.83050847457625,800.0,800832.0
900.0,2.850778915,5.882970859723704E-7,900.0,46.55555555555556,-0.5827245859588511,-35.49295774647886,-81.50943396226418,900.0,800832.0
1000.0,3.084957186,6.368131592162368E-7,1000.0,48.199999999999996,-1.398834109158387,-29.82456140350877,-73.82550335570468,1000.0,800832.0
1100.0,3.312789526,6.840145090577917E-7,1100.0,50.36363636363637,-0.7785757433384672,-24.94279176201374,-69.0402476780186,1100.0,800832.0
1200.0,3.535939816,7.30245851392837E-7,1200.0,52.33333333333333,-0.20437956204380422,-20.421052631578938,-63.89684813753579,1200.0,800832.0
1300.0,3.745357119,7.73632051006895E-7,1300.0,52.69230769230769,-1.9562334217506423,-18.49710982658958,-58.09768637532136,1300.0,800832.0
1400.0,4.009960011,8.284513697848138E-7,1400.0,53.5,-2.579224836913213,-14.411247803163423,-53.17647058823527,1400.0,800832.0
