learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,68.357660543,4.6368969656987154E-4,1000.0,95.6,87.7953389289855,31.249999999999883,82.8793774319066,1000.0,2.62206E7
2000.0,142.479583896,9.67683342088248E-4,2000.0,74.7,41.75016577027924,-51.49700598802392,37.37623762376238,2000.0,2.6283352E7
3000.0,218.433646763,0.0014849311673427964,3000.0,74.56666666666666,50.72769744868923,-66.23093681917206,44.79015918958032,3000.0,2.6323888E7
4000.0,295.574347921,0.00201059846939878,4000.0,78.85,59.170977804407265,-58.1308411214953,48.32009773976787,4000.0,2.6340848E7
5000.0,373.324946875,0.0025411659187902836,5000.0,81.3,62.960392418598424,-58.20642978003393,49.157150625339845,5000.0,2.637784E7
6000.0,452.579364721,0.0030823716515400697,6000.0,83.26666666666667,65.32743301097746,-52.81582952815824,49.4715651736286,6000.0,2.6396192E7
7000.0,532.584420076,0.003629036417755117,7000.0,83.91428571428573,65.78583495368066,-50.33377837116153,50.592365072400206,7000.0,2.6412288E7
8000.0,613.332387515,0.0041809640805331744,8000.0,85.46249999999999,67.38321233851289,-53.22793148880102,50.277896536981615,8000.0,2.6421224E7
9000.0,694.837168375,0.004738423663408537,9000.0,87.03333333333333,69.03967272785154,-52.54901960784325,50.36154827732878,9000.0,2.6438248E7
9324.0,721.293415039,0.0049194066571653485,9324.0,87.16216216216216,68.94835203101107,-53.06905370843992,49.85337243401759,9324.0,2.6443072E7
