learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,340.006748405,3.884313113150497E-7,10000.0,79.9,53.85682346240491,55.48172757475084,44.49047224523613,10000.0,4416.0
20000.0,769.162910534,8.787089060883721E-7,20000.0,84.69,66.12883414517938,67.36999147485079,59.98431782540512,20000.0,4416.0
30000.0,1321.120304876,1.5092773741557202E-6,30000.0,87.50333333333333,72.68914707062581,73.77954958735488,67.84182535597873,30000.0,4416.0
40000.0,2091.112473865,2.3889336436438063E-6,40000.0,89.14999999999999,76.4599179864085,77.23457826269407,72.34788149092066,40000.0,4416.0
50000.0,3013.892116482,3.443137739056647E-6,50000.0,90.128,78.6671894784172,79.29877537325952,74.97718746831592,50000.0,4416.0
60000.0,4148.356051087,4.739174702515255E-6,60000.0,90.85166666666666,80.28097475849091,80.8076923076923,76.8767377201112,60000.0,4416.0
70000.0,5467.143734931,6.245787238250822E-6,70000.0,91.34142857142858,81.40466956565474,81.8815018534019,78.25182101977107,70000.0,4416.0
80000.0,6995.573204755,7.99189923750187E-6,80000.0,91.73125,82.27555113075191,82.68143261074458,79.28864397758227,80000.0,4416.0
90000.0,8682.372393784,9.918936344833772E-6,90000.0,92.06111111111112,83.01233613109798,83.40533259011521,80.16544985148379,90000.0,4416.0
100000.0,10529.727103045,1.2029395668210338E-5,100000.0,92.367,83.69013351111836,84.07535675540349,80.96271355530614,100000.0,4416.0
