learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,149.997619133,1.7136063377355534E-7,10000.0,77.05,54.070954471607834,53.21100917431192,53.125,10000.0,4416.0
20000.0,791.543278351,9.042767386671404E-7,20000.0,75.595,51.17521780894383,50.88054744892825,50.60716454159078,20000.0,4416.0
30000.0,1992.010408939,2.2757172289290527E-6,30000.0,72.48333333333333,44.951981323230875,44.90422478809317,44.27944650691866,30000.0,4416.0
40000.0,3736.618145226,4.268796113143266E-6,40000.0,73.565,47.12185253503859,47.23552894211577,46.74121083912562,40000.0,4416.0
50000.0,5893.201562454,6.732525226297082E-6,50000.0,74.3,48.59078746911446,48.639034333906224,48.13110519092597,50000.0,4416.0
60000.0,8966.358670943,1.0243368617280773E-5,60000.0,73.79833333333333,47.59106135598223,47.484633885622664,47.27150763038739,60000.0,4416.0
70000.0,12490.567477796,1.4269503553177319E-5,70000.0,73.63285714285715,47.26169627274543,47.153982706293306,47.03113789639834,70000.0,4416.0
80000.0,16442.564130648,1.8784352888907195E-5,80000.0,72.98125,45.95864718930305,45.749567050673896,45.70596066413804,80000.0,4416.0
90000.0,20898.627672727,2.387505950891579E-5,90000.0,72.09222222222222,44.180873233191406,43.924002589805994,43.9377706352395,90000.0,4416.0
100000.0,26182.455409975,2.9911422452798734E-5,100000.0,71.60600000000001,43.20967841165347,42.9277803461237,43.04340848912782,100000.0,4416.0
