learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.040995367,5.183983436268237E-11,10000.0,87.96000000000001,69.21677714281273,71.61046922895545,60.01328462304885,10000.0,4888.0
20000.0,0.07600289,9.610786576651864E-11,20000.0,88.11,69.381472131352,71.68710560781045,60.09397549924485,20000.0,4888.0
30000.0,0.114043622,1.4421147820436293E-10,30000.0,88.22333333333333,69.63847110443537,71.88221249502585,60.352373470990905,30000.0,4888.0
40000.0,0.149916808,1.8957416565881836E-10,40000.0,88.3325,69.86096093434199,72.06058429118775,60.56944913822239,40000.0,4888.0
50000.0,0.184612385,2.3344773226935003E-10,50000.0,88.302,69.71460736034891,71.85680604340087,60.36188669015995,50000.0,4888.0
60000.0,0.226032172,2.85824258070853E-10,60000.0,81.90333333333332,58.95545992650653,57.76247714630255,43.07135741624283,60000.0,4888.0
70000.0,0.269100884,3.4028589751157494E-10,70000.0,78.63142857142857,54.312211978511414,51.25940890872952,35.893369905284366,70000.0,4888.0
80000.0,0.309732815,3.9166615647781223E-10,80000.0,76.67125,51.75264426848346,47.65083728366666,32.48073513982852,80000.0,4888.0
90000.0,0.350537205,4.4326449486737445E-10,90000.0,75.43222222222222,50.183832046097606,45.398197308309676,30.606032074820323,90000.0,4888.0
100000.0,0.392124506,4.958528469958238E-10,100000.0,74.385,48.765708000890655,43.48219407793125,28.922248737443816,100000.0,4888.0
