learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,44.741067901,3.304014418557063E-4,1000.0,90.4,72.01345686282514,-50.000000000000085,62.64591439688717,1000.0,2.854552E7
2000.0,90.780768904,6.711403678072643E-4,2000.0,71.1,34.160166217102855,-73.05389221556885,28.465346534653463,2000.0,2.8608272E7
3000.0,136.961177484,0.001013404947512013,3000.0,64.0,30.92002585808415,-135.29411764705878,21.85238784370478,3000.0,2.8648808E7
4000.0,183.40566838,0.0013578305428006044,4000.0,66.0,35.483641426617986,-154.20560747663544,16.92119731215639,4000.0,2.8665768E7
5000.0,229.731332911,0.0017018182690122054,5000.0,68.60000000000001,38.97485530821586,-165.65143824027075,14.627514953779247,5000.0,2.870276E7
6000.0,277.314682333,0.0020553709467372302,6000.0,70.65,40.91427525872792,-168.03652968036516,11.373930548565696,6000.0,2.8721128E7
7000.0,323.954376535,0.002402106309625434,7000.0,72.15714285714286,42.27758444362495,-160.21361815754346,14.480035103115402,7000.0,2.8737224E7
8000.0,370.674376854,0.0027495470872332226,8000.0,74.6125,44.85097952643529,-167.58893280632395,13.168020521590451,8000.0,2.8746192E7
9000.0,417.068557672,0.0030947691814358414,9000.0,77.06666666666668,47.215231201890674,-169.8039215686275,12.207571246278208,9000.0,2.8763216E7
9324.0,432.911444075,0.003212676893298573,9324.0,77.46675246675247,47.33745270116166,-168.67007672634273,11.981566820276479,9324.0,2.876804E7
