learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.903001478,1.0316090779503186E-9,10000.0,76.53,53.02607731199163,52.15086646279307,52.06290849673203,10000.0,4416.0
20000.0,1.398564401,1.5977512410779792E-9,20000.0,75.9,51.78422765655102,51.49441481332394,51.224448492208055,20000.0,4416.0
30000.0,1.872670267,2.139380382547776E-9,30000.0,75.42666666666666,50.83961889794936,50.79757057999065,50.239622004724936,30000.0,4416.0
40000.0,2.270951555,2.594385830809673E-9,40000.0,77.3275,54.64946542075996,54.74550898203594,54.32154729525537,40000.0,4416.0
50000.0,2.646289775,3.0231806052227817E-9,50000.0,77.578,55.1487181611668,55.190055557776084,54.74691208525068,50000.0,4416.0
60000.0,3.047246143,3.481242124686639E-9,60000.0,76.61666666666666,53.22932960804554,53.13335114911811,52.94314942143217,60000.0,4416.0
70000.0,3.511191343,4.011263494143884E-9,70000.0,76.06857142857143,52.13401617293073,52.03573269197732,51.924235901851056,70000.0,4416.0
80000.0,3.903363485,4.459289717425903E-9,80000.0,74.97625,49.9493177776243,49.75528951133198,49.714902916279414,80000.0,4416.0
90000.0,4.307468911,4.920948791156213E-9,90000.0,74.8111111111111,49.619315916053345,49.3871536692639,49.39958037587607,90000.0,4416.0
100000.0,4.726540865,5.399705961098274E-9,100000.0,74.869,49.736218209252044,49.48644248356817,49.58878279707935,100000.0,4416.0
