learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.91397638,1.6116182749470074E-9,10000.0,71.28,36.32348944439894,38.30290010741139,20.64106106659298,10000.0,6816.0
20000.0,1.395030538,2.459863031854232E-9,20000.0,71.045,35.88764654920434,37.72448650392516,19.36786410470621,20000.0,6816.0
30000.0,1.895477416,3.3423030509551364E-9,30000.0,68.98333333333333,35.15987241079537,34.57779652675243,19.07991999304286,30000.0,6816.0
40000.0,2.337641365,4.121972543870409E-9,40000.0,69.25,36.14449825150138,35.9575132771009,21.95431472081219,40000.0,6816.0
50000.0,2.832733412,4.99497036765019E-9,50000.0,69.46,36.70539897773723,36.814664625315515,23.90491852294813,50000.0,6816.0
60000.0,3.257331267,5.743665495440363E-9,60000.0,64.21333333333334,28.154287356263115,24.41565756125036,6.963039993067302,60000.0,6816.0
70000.0,3.683287533,6.494755914881824E-9,70000.0,64.10571428571428,28.096083713351856,22.84828200325484,3.461789679947766,70000.0,6816.0
80000.0,4.095312438,7.2212811087071886E-9,80000.0,64.8525,29.150559199079506,23.448857912934578,2.967768652080899,80000.0,6816.0
90000.0,4.587567548,8.089276549915472E-9,90000.0,63.69777777777777,28.063292465835872,21.567121183022838,1.8740989908697776,90000.0,6816.0
100000.0,5.017164135,8.846785962209105E-9,100000.0,63.690000000000005,28.33415971422324,22.146701258603315,3.3202864978565865,100000.0,6816.0
