learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,71.012477339,8.112624182288845E-8,10000.0,80.53,55.356807107838335,56.87707641196014,46.23032311516156,10000.0,4416.0
20000.0,369.581592914,4.2221827492227157E-7,20000.0,84.93,66.6822989399444,67.88150042625747,60.61160480920022,20000.0,4416.0
30000.0,935.027332049,1.0681961296561859E-6,30000.0,87.69333333333333,73.11965272571672,74.17820674220171,68.33075999313776,30000.0,4416.0
40000.0,1774.08271978,2.0267517643640443E-6,40000.0,89.305,76.8070360990107,77.55979857322703,72.74291175533611,40000.0,4416.0
50000.0,2817.042880443,3.218252770612091E-6,50000.0,90.41,79.29903491176879,79.8901191075323,75.69198012775018,50000.0,4416.0
60000.0,4303.297896685,4.916183731146405E-6,60000.0,91.16,80.9691267903893,81.45454545454544,77.65607886089812,60000.0,4416.0
70000.0,6062.605483091,6.926056052798678E-6,70000.0,91.70142857142856,82.20451019592858,82.63482004065526,79.15605152678602,70000.0,4416.0
80000.0,7953.887023764,9.086698370504974E-6,80000.0,92.105,83.10306959607068,83.46423709288932,80.22480353173236,80000.0,4416.0
90000.0,10074.047815285,1.1508817461706945E-5,90000.0,92.44555555555556,83.86084482863394,84.20893719806764,81.12594731143993,90000.0,4416.0
100000.0,12277.553504515,1.4026151627493152E-5,100000.0,92.768,84.5731585924711,84.91195860802803,81.96283825913454,100000.0,4416.0
