learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.158853565,2.100803538225591E-10,10000.0,88.02,69.3514788269629,71.75194529592078,60.21255396878114,10000.0,5112.0
20000.0,0.302513806,4.000678700581193E-10,20000.0,88.145,69.45729988824796,71.77044886295987,60.21144487330088,20000.0,5112.0
30000.0,0.433517948,5.733179730921983E-10,30000.0,88.23333333333333,69.64837009081947,71.90608834062871,60.38603972618112,30000.0,5112.0
40000.0,0.559818022,7.403470494225621E-10,40000.0,88.3425,69.87567497901215,72.084530651341,60.60324433930383,40000.0,5112.0
50000.0,0.73283041,9.691521359607577E-10,50000.0,88.294,69.68103039135801,71.83755954385795,60.334779072919474,50000.0,5112.0
60000.0,0.906376483,1.198663009200245E-9,60000.0,83.17,61.28572041970158,60.718870346598194,47.05604781628479,60000.0,5112.0
70000.0,1.039843603,1.3751703465916215E-9,70000.0,81.06,58.57942596804345,56.79885300922155,43.1791882741182,70000.0,5112.0
80000.0,1.182646612,1.5575221819803118E-9,80000.0,79.7675,57.05679917040985,54.598748983198234,41.442060706920884,80000.0,4936.0
90000.0,1.320662193,1.7400447592325507E-9,90000.0,78.87222222222222,56.00514018527684,53.04358562785529,40.32263126510372,90000.0,5112.0
100000.0,1.461376524,1.9261363741382956E-9,100000.0,78.05,54.91559206361145,51.568774546577814,39.09206948221321,100000.0,5112.0
