learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,47.320917593,3.494537611668048E-4,1000.0,87.2,59.96171338842768,-100.00000000000017,50.19455252918288,1000.0,2.8545584E7
2000.0,97.185299878,7.184999040198064E-4,2000.0,74.5,41.470804260007355,-52.694610778443085,36.881188118811885,2000.0,2.8608336E7
3000.0,147.474933368,0.0010912207016648182,3000.0,76.86666666666667,54.92015541070728,-51.19825708060996,49.78292329956586,3000.0,2.8648872E7
4000.0,197.904461003,0.0014651995852682682,4000.0,77.425,56.46965530040998,-68.78504672897192,44.838118509468536,4000.0,2.8665832E7
5000.0,248.471021205,0.001840678599487004,5000.0,78.25999999999999,57.596307484895384,-83.92554991539771,40.89178901576943,5000.0,2.8702824E7
6000.0,299.195144667,0.0022175686220491497,6000.0,80.45,60.237629597757135,-78.53881278538807,40.96628082536488,6000.0,2.8721192E7
7000.0,351.104780581,0.002603483384976721,7000.0,81.34285714285714,61.0918092853448,-74.36582109479312,42.694164107064495,7000.0,2.8737288E7
8000.0,401.983536808,0.0029818522604704656,8000.0,83.25,63.228542225056,-76.54808959156776,42.710560068405314,8000.0,2.8746256E7
9000.0,453.19318631,0.0033629074158586193,9000.0,85.04444444444445,65.1345296577825,-75.94771241830072,42.74776690769886,9000.0,2.876328E7
9324.0,469.085642956,0.003481184308090505,9324.0,85.31746031746032,65.29483370141392,-75.06393861892586,42.6476749057394,9324.0,2.8768104E7
