learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,12.126266878,1.6036721846796572E-8,10000.0,72.92,30.295411033906955,36.14713510964395,10.063101959481896,10000.0,5112.0
20000.0,24.531045603,3.2441769499573854E-8,20000.0,73.11,30.224176435422528,35.96856768662936,9.749958046652129,20000.0,5112.0
30000.0,36.482797679,4.824769935028627E-8,30000.0,73.37666666666667,30.947823528769618,36.43454038997214,10.369206598586032,30000.0,5112.0
40000.0,48.849189039,6.460198055522517E-8,40000.0,73.5125,31.051410736292993,36.572078544061306,10.484961135518782,40000.0,5112.0
50000.0,60.724871961,8.03073106190376E-8,50000.0,74.902,34.61219492725276,39.618919309050675,14.95662781241531,50000.0,5112.0
60000.0,72.669266203,9.610350989574567E-8,60000.0,71.13833333333334,33.83547644272195,32.63702493484266,9.206732029570597,60000.0,5112.0
70000.0,84.695697433,1.120082012888603E-7,70000.0,70.05,34.90057757859511,31.685620254814438,10.148716410234433,70000.0,5112.0
80000.0,96.488920433,1.2760447991533207E-7,80000.0,70.04,36.648165098703814,32.77046927154919,13.288231250678347,80000.0,5112.0
90000.0,108.245344489,1.4315209274588154E-7,90000.0,70.48666666666666,38.559888853585235,34.406716878626995,16.63685152057244,90000.0,5112.0
100000.0,120.335729601,1.5914136174453423E-7,100000.0,70.922,40.08252280538554,35.84131326949383,19.31294744436428,100000.0,5112.0
