learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,2.986718418,3.826242976598442E-9,10000.0,63.480000000000004,26.87885307598961,25.54536187563712,25.408496732026155,10000.0,4952.0
20000.0,5.842823766,7.48515938544025E-9,20000.0,68.525,37.0202660079877,36.650900674247765,36.2983201781016,20000.0,4952.0
30000.0,8.688397721,1.1130584174765066E-8,30000.0,69.83333333333334,39.63765169308251,39.59821130614697,38.913263584205204,30000.0,4952.0
40000.0,11.516967935,1.4754225710541423E-8,40000.0,71.80499999999999,43.59737032316276,43.722554890219556,43.19532587891607,40000.0,4952.0
50000.0,14.364491878,1.8402148602079184E-8,50000.0,72.87599999999999,45.73842575094881,45.79319717015068,45.25712440461774,50000.0,4952.0
60000.0,17.211240609,2.2049078380422044E-8,60000.0,72.61166666666666,45.21526829036257,45.106226616782465,44.883447928894846,60000.0,4952.0
70000.0,20.079132322,2.5723094135767055E-8,70000.0,72.61571428571429,45.225900903488395,45.11538681784344,44.9878031281389,70000.0,4952.0
80000.0,22.932210182,2.9378132072293924E-8,80000.0,72.09125,44.17722837656173,43.962553020605874,43.91751023586444,80000.0,4952.0
90000.0,25.791905085,3.3041647009582565E-8,90000.0,71.41222222222223,42.8197567375089,42.557656672099306,42.57176018927726,90000.0,4952.0
100000.0,28.657300086,3.6712464262284335E-8,100000.0,70.987,41.97101438547854,41.68358424956282,41.80173313006499,100000.0,4952.0
