learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,1.029037561,2.168036660175357E-9,10000.0,63.800000000000004,-0.0199984737279744,22.234156820622992,-0.027631942525556504,10000.0,8144.0
20000.0,2.061702706,4.343716126986676E-9,20000.0,68.405,19.930097036004547,32.04645660823745,12.016151489835707,20000.0,8144.0
30000.0,3.063361994,6.4540706365721096E-9,30000.0,65.47666666666667,15.559804660322648,27.18132602123322,9.93129837377164,30000.0,8144.0
40000.0,4.083712914,8.603805772239964E-9,40000.0,67.935,27.188809080042592,33.21878579610538,18.61675126903554,40000.0,8144.0
50000.0,5.097692986,1.074011843185458E-8,50000.0,70.476,35.20414223370781,38.91670459717798,26.436437932924722,50000.0,8144.0
60000.0,6.203919142,1.3070780549107327E-8,60000.0,70.37666666666667,32.298970230923246,37.43311743170938,22.98626456952208,60000.0,8144.0
70000.0,7.218349916,1.5208042774117658E-8,70000.0,70.39714285714285,29.886479368598945,36.37117327355913,20.382679525108554,70000.0,8144.0
80000.0,8.22070122,1.731985526358088E-8,80000.0,70.40875,27.759801587456778,35.55035256322996,18.306991510801296,80000.0,8144.0
90000.0,9.234434247,1.9455647434306643E-8,90000.0,68.55666666666667,24.332003565642385,32.0650086422124,15.007808745795298,90000.0,8144.0
100000.0,10.239840275,2.1573895795374282E-8,100000.0,67.696,24.069918662199136,30.736079246982133,13.986740154964448,100000.0,8144.0
