learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.185082631,2.114425357679526E-10,10000.0,75.39,50.74523401597785,49.82670744138635,49.734477124183016,10000.0,4416.0
20000.0,0.265711874,3.0355518569548926E-10,20000.0,75.33,50.644083704112894,50.347187279863135,50.07083586318558,20000.0,4416.0
30000.0,0.322284025,3.6818447584907215E-10,30000.0,75.04666666666667,50.07956927217304,50.03670826937194,49.4701316233547,30000.0,4416.0
40000.0,0.376653732,4.3029764473438264E-10,40000.0,77.0425,54.07946198311516,54.17664670658683,53.747355696585075,40000.0,4416.0
50000.0,0.433574604,4.953253215551376E-10,50000.0,77.35,54.6927090782532,54.734401854590494,54.286752240251865,50000.0,4416.0
60000.0,0.497408104,5.682501391569773E-10,60000.0,76.42666666666666,52.84933542848431,52.752538749331904,52.56079154787858,60000.0,4416.0
70000.0,0.546110801,6.238891891141732E-10,70000.0,75.88857142857142,51.77414927190595,51.67496993643703,51.56263452432199,70000.0,4416.0
80000.0,0.593180641,6.776628267268339E-10,80000.0,74.81875,49.63445080669489,49.43904826443792,49.39840747532089,80000.0,4416.0
90000.0,0.640254447,7.314409951865673E-10,90000.0,74.66222222222221,49.32164850102248,49.08798642584447,49.10048658542029,90000.0,4416.0
100000.0,0.688021123,7.860107138256232E-10,100000.0,74.735,49.468285438712236,49.2171011637957,49.31998716199951,100000.0,4416.0
