learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,45.302316005,3.345427415075086E-4,1000.0,82.89999999999999,42.95588588508446,-167.18750000000028,33.46303501945524,1000.0,2.8545232E7
2000.0,91.919002752,6.795484544427926E-4,2000.0,66.60000000000001,20.681662740329823,-99.99999999999993,17.326732673267344,2000.0,2.8607984E7
3000.0,138.53929209,0.0010250697224392417,3000.0,58.96666666666667,22.235932768720858,-168.19172113289756,10.92619392185239,3000.0,2.864852E7
4000.0,185.377242025,0.001372409663085373,4000.0,63.0,29.947841908372254,-176.6355140186915,9.590714722052537,4000.0,2.866548E7
5000.0,232.196610854,0.0017200598649917314,5000.0,66.8,34.99559771391266,-180.87986463620985,9.73355084284939,5000.0,2.8702472E7
6000.0,279.098387016,0.0020685448387420713,6000.0,69.35,37.21599541154419,-179.90867579908664,7.448414695520903,6000.0,2.872084E7
7000.0,325.978464576,0.002417063800502379,7000.0,70.14285714285714,36.35921278912731,-179.0387182910548,8.293111013602465,7000.0,2.8736936E7
8000.0,371.238862897,0.002753646641527327,8000.0,72.975,39.103467560379144,-184.8484848484847,7.567336468576334,8000.0,2.8745904E7
9000.0,416.478828501,0.0030902767751780917,9000.0,75.7,41.74304524490297,-185.88235294117658,6.975754997873255,9000.0,2.8762928E7
9324.0,431.822531904,0.0032044682679541314,9324.0,76.14757614757615,41.91701792505991,-184.3989769820972,6.828655215751975,9324.0,2.8767752E7
